Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Blackpool Marton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,London Bexley,London Bloomsbury,London Eltham,London N. Kensington,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Wigan Centre,Wirral Tranmere,York Bootham
01/01/2010,10.9,-2.8,-15.6,15.9,13.2,17.2,10.3,18,5,No data,26,No data,17,13,No data,No data,No data,17,No data,No data,9,16,9,No data,14,No data,16,No data,4,No data,16,14,16,20,21,No data,14,No data,14,No data,16,No data,18,No data,No data,9
02/01/2010,22.1,-6.2,-7.2,9.5,16.8,12.6,40.6,21,14,No data,16,No data,18,15,No data,No data,No data,19,No data,No data,9,13,10,No data,13,No data,15,No data,6,No data,20,16,11,28,24,No data,12,No data,18,No data,17,No data,12,No data,No data,10
03/01/2010,21.5,-9.2,-0.5,9.2,-21.9,14.3,86.8,0,7,No data,39,No data,21,16,No data,No data,No data,21,No data,No data,10,18,14,No data,16,No data,17,No data,8,No data,19,18,19,17,21,No data,20,No data,12,No data,23,No data,19,No data,No data,15
04/01/2010,16.7,4.9,-11.6,12.6,-10.8,13.7,337,17,5,No data,32,No data,44,29,No data,No data,No data,30,No data,No data,12,37,18,No data,26,No data,32,No data,9,No data,19,22,27,19,26,No data,28,No data,41,No data,26,No data,33,No data,No data,11
05/01/2010,14,-8.3,-15.5,17.6,34.2,24.5,28.2,21,9,No data,12,No data,32,19,No data,No data,No data,31,No data,No data,18,23,14,No data,21,No data,28,No data,6,No data,24,22,23,17,27,No data,31,No data,9,No data,No data,No data,19,No data,No data,15
06/01/2010,13.4,-10.7,-14.6,18.1,6.1,18.4,36.2,11,11,No data,21,No data,15,10,No data,No data,No data,18,No data,No data,10,16,9,No data,17,No data,17,No data,6,No data,20,14,18,8,11,No data,11,No data,9,No data,No data,No data,13,No data,No data,7
07/01/2010,17.4,-2.5,-6,6.5,15.5,10.1,22.1,20,7,No data,43,No data,31,16,No data,No data,No data,20,No data,No data,16,22,11,No data,14,No data,17,No data,11,No data,13,15,21,13,19,No data,18,No data,62,No data,No data,No data,33,No data,No data,11
08/01/2010,24.4,-4.3,-4,5.9,-22.6,12.7,47.1,0,10,No data,69,No data,27,19,No data,No data,No data,24,No data,No data,10,21,12,No data,19,No data,19,No data,13,No data,15,19,No data,18,18,No data,16,No data,48,No data,No data,No data,22,No data,No data,18
09/01/2010,26.2,-10.4,-1,10.4,-35.2,20.5,84.7,0,13,No data,40,No data,18,16,No data,No data,No data,14,No data,No data,10,17,15,No data,12,No data,12,No data,13,No data,12,16,18,12,14,No data,11,No data,12,No data,No data,No data,15,No data,No data,13
10/01/2010,25.3,-18.9,-2.3,19,-17.9,21.1,82.9,12,30,No data,21,No data,15,15,No data,No data,No data,16,No data,No data,16,14,17,No data,10,No data,13,No data,14,No data,9,15,13,11,17,No data,13,No data,13,No data,No data,No data,13,No data,No data,15
11/01/2010,19.8,-12.3,10,15.9,-9,16.5,129.1,13,40,No data,17,No data,34,34,No data,No data,No data,51,No data,No data,16,21,20,No data,No data,No data,41,No data,14,No data,14,21,35,23,43,No data,41,No data,10,No data,No data,No data,13,No data,No data,13
12/01/2010,6,-17.9,33.7,38.1,21.4,39.6,152,13,30,No data,24,No data,40,42,No data,No data,No data,53,No data,No data,16,35,26,No data,No data,No data,41,No data,11,No data,19,28,43,20,38,No data,46,No data,14,No data,37,No data,24,No data,No data,18
13/01/2010,3.1,-5.5,16.4,17.3,18.5,19.6,161.3,24,37,No data,19,No data,40,44,No data,No data,No data,49,No data,No data,32,44,43,No data,No data,No data,No data,No data,32,No data,38,43,51,20,39,No data,52,No data,22,No data,37,No data,34,No data,No data,38
14/01/2010,2.9,1.4,11.3,11.3,0.5,11.4,186.8,14,29,No data,24,No data,42,35,No data,No data,No data,29,32,No data,45,55,76,No data,No data,No data,29,No data,40,No data,33,56,36,30,27,No data,33,No data,35,No data,21,No data,49,No data,No data,54
15/01/2010,5.4,11.9,31.5,33.7,1.1,33.7,200.7,14,26,No data,20,No data,22,26,No data,No data,No data,29,14,No data,19,23,36,No data,18,No data,23,No data,21,No data,27,28,20,23,27,No data,17,No data,21,No data,21,No data,18,No data,No data,24
16/01/2010,0.8,13.1,20.6,24.4,25.3,27.5,212.4,25,28,No data,20,No data,15,21,No data,No data,No data,25,10,No data,16,16,24,No data,16,No data,19,No data,18,No data,25,20,16,23,30,No data,15,No data,14,No data,21,No data,18,No data,No data,24
17/01/2010,9.3,18,8.1,19.8,-11.7,20.6,245.7,15,17,No data,19,No data,24,25,No data,No data,No data,21,15,No data,20,17,25,No data,13,No data,20,No data,12,No data,18,22,14,23,26,No data,17,No data,19,No data,23,No data,16,No data,No data,20
18/01/2010,16.6,11.1,0.8,11.1,-19.9,14.9,266,6,12,No data,19,No data,17,18,No data,No data,No data,16,18,No data,16,21,18,No data,18,No data,25,No data,8,No data,18,21,16,17,25,No data,23,No data,16,No data,16,No data,18,No data,No data,16
19/01/2010,13.1,-6,26.8,27.4,-26.1,30.4,167.3,14,19,No data,23,No data,13,17,No data,No data,No data,30,18,No data,16,26,19,No data,30,No data,37,No data,19,No data,15,46,29,14,24,No data,32,No data,20,No data,19,No data,26,No data,No data,17
20/01/2010,12.9,-4.7,12.3,13.1,2.6,13.2,159,14,23,No data,24,No data,16,14,No data,No data,No data,25,19,No data,16,29,26,No data,24,No data,28,No data,15,No data,29,40,22,15,23,No data,20,No data,23,No data,15,No data,22,No data,No data,20
21/01/2010,10.5,1.8,38.5,38.5,5,38.6,182.6,14,23,No data,17,No data,28,29,No data,No data,No data,35,29,No data,39,36,48,No data,30,No data,38,No data,31,No data,42,64,31,20,35,No data,32,No data,37,No data,30,No data,No data,No data,No data,39
22/01/2010,17.7,5.8,5.6,8,17.4,11.9,226.2,20,43,No data,22,No data,12,14,No data,No data,No data,25,22,No data,23,23,25,No data,15,No data,17,No data,20,No data,25,24,13,17,28,No data,12,No data,18,No data,14,No data,No data,No data,No data,20
23/01/2010,22.5,-4.1,-5.4,6.8,-7.6,7.8,37.2,1,20,No data,21,No data,21,23,No data,No data,No data,23,13,No data,17,25,20,No data,17,No data,20,No data,10,No data,23,25,20,18,29,No data,19,No data,14,No data,17,No data,No data,No data,No data,16
24/01/2010,26.2,-1.6,0,1.6,5.6,3.2,90,20,31,No data,18,No data,23,19,No data,No data,No data,26,17,No data,21,22,22,No data,19,No data,25,No data,13,No data,36,24,18,20,31,No data,23,No data,16,No data,19,No data,No data,No data,No data,19
25/01/2010,27.9,0.9,6.9,7,-34.7,18.7,187.8,0,27,No data,33,No data,28,30,No data,No data,No data,38,28,No data,43,39,41,No data,No data,No data,32,No data,22,No data,55,80,29,21,36,No data,27,No data,30,No data,26,No data,No data,No data,No data,37
26/01/2010,32,9.8,3.5,10.5,-40.6,22.8,250.3,0,25,No data,47,No data,48,50,No data,No data,No data,51,25,No data,40,49,50,No data,No data,No data,48,No data,26,No data,56,54,49,40,50,No data,48,No data,38,No data,45,No data,No data,No data,No data,36
27/01/2010,25.3,15.3,-19.9,25.1,-2.9,25.2,322.3,17,12,No data,22,No data,44,44,No data,No data,No data,43,No data,No data,26,45,22,No data,No data,No data,44,No data,12,No data,43,40,40,37,54,No data,45,No data,33,No data,51,No data,No data,No data,No data,19
28/01/2010,12.2,13.5,-16,20.9,-6.3,21.2,319.7,17,No data,No data,16,No data,16,16,No data,No data,No data,28,No data,No data,12,22,16,No data,15,No data,20,No data,9,14,13,31,11,16,24,No data,18,No data,15,No data,14,No data,No data,No data,No data,10
29/01/2010,1,3,-29.6,29.8,19.7,31.4,354.3,18,6,No data,9,No data,8,8,No data,No data,No data,15,No data,No data,6,No data,12,No data,12,No data,12,No data,5,No data,7,20,No data,7,18,No data,10,No data,7,No data,8,No data,No data,No data,No data,6
30/01/2010,2.6,6.5,-16.5,17.7,4.9,17.9,338.3,18,5,No data,11,No data,18,16,No data,No data,No data,16,11,No data,6,16,14,No data,11,No data,14,No data,7,No data,11,18,No data,14,19,No data,12,No data,10,No data,14,No data,No data,No data,No data,9
31/01/2010,6.8,8.8,-17.8,19.9,7.8,20.3,333.7,17,5,No data,8,No data,22,17,No data,No data,No data,19,10,No data,9,19,15,No data,14,No data,20,No data,6,No data,18,19,No data,18,29,No data,19,No data,13,No data,24,No data,No data,No data,No data,10
01/02/2010,10.6,15.3,-6.2,16.6,-4.3,16.7,292.1,16,8,No data,13,No data,13,15,No data,No data,No data,18,13,No data,13,19,17,No data,13,No data,18,No data,8,No data,14,30,No data,18,26,No data,14,No data,15,No data,19,No data,No data,No data,No data,13
02/02/2010,6.7,8.9,-12.1,15,21.4,18.4,323.6,27,6,No data,14,No data,12,15,No data,No data,No data,20,11,No data,9,15,11,No data,11,No data,13,No data,No data,18,8,13,No data,9,22,No data,13,No data,10,No data,10,No data,9,No data,No data,9
03/02/2010,4.1,6.8,8.4,10.8,-3.5,11,219.2,15,12,No data,24,No data,13,13,No data,No data,No data,19,20,No data,17,29,24,No data,15,No data,18,No data,No data,22,20,31,No data,11,24,No data,15,No data,28,No data,16,No data,28,No data,No data,18
04/02/2010,0.2,-2,23.8,23.8,12.5,24.6,175.2,14,18,No data,23,No data,20,25,No data,No data,No data,28,20,No data,28,25,38,No data,19,No data,25,No data,No data,29,24,45,No data,22,33,No data,21,No data,23,No data,25,No data,22,No data,No data,29
05/02/2010,5.6,-11.4,17.7,21.1,56.6,35.3,147.3,20,41,No data,30,No data,17,20,No data,No data,No data,27,33,No data,40,27,40,No data,17,No data,21,No data,No data,22,27,39,No data,18,30,No data,18,No data,27,No data,21,No data,33,No data,No data,35
06/02/2010,19.2,-9.3,-3.6,10,-1.9,10.1,68.9,12,36,No data,31,No data,28,31,No data,No data,No data,28,26,No data,25,28,27,No data,25,No data,27,No data,18,29,16,24,No data,20,32,No data,23,No data,25,No data,22,No data,40,No data,No data,25
07/02/2010,19.8,-10.7,10.4,14.9,-29.4,21,134.3,3,30,No data,28,No data,24,26,No data,No data,No data,27,38,No data,33,26,34,No data,27,No data,25,No data,29,24,48,31,No data,25,29,No data,21,No data,27,No data,20,No data,29,No data,No data,33
08/02/2010,14.8,-14.2,-3.2,14.6,-24.2,18.9,77.2,2,12,No data,22,No data,20,20,No data,No data,No data,35,13,No data,16,19,15,No data,27,No data,27,No data,10,No data,20,20,No data,15,No data,No data,20,No data,15,No data,22,No data,17,No data,No data,12
09/02/2010,14.8,-8.4,-11.7,14.4,-24.5,18.9,35.6,1,7,No data,20,No data,17,16,No data,No data,No data,23,13,No data,8,17,10,No data,14,No data,13,No data,7,No data,10,16,No data,11,No data,No data,12,No data,11,No data,12,No data,16,No data,No data,7
10/02/2010,19.1,-7.3,-6.4,9.7,-28.5,17.3,48.6,0,No data,No data,30,No data,14,No data,No data,No data,No data,17,17,No data,11,17,12,No data,14,No data,13,No data,11,No data,9,19,15,14,20,No data,14,No data,13,No data,12,No data,15,No data,No data,8
11/02/2010,20.9,-2.2,-9.3,9.5,-36.1,20.4,13.6,0,5,No data,24,No data,17,No data,No data,No data,No data,15,21,No data,15,19,17,No data,13,No data,16,No data,11,No data,16,29,15,14,19,No data,16,No data,20,No data,15,No data,26,No data,No data,10
12/02/2010,24.6,-5.6,-7.1,9.1,-28.1,16.7,38.1,0,7,No data,17,No data,20,No data,No data,No data,No data,17,14,No data,9,18,10,No data,18,No data,20,No data,8,No data,13,16,17,17,28,No data,17,No data,15,No data,20,No data,22,No data,No data,10
13/02/2010,22.6,-1.5,-6.9,7.1,-21.1,12.7,12.6,0,8,No data,20,No data,14,17,No data,No data,No data,22,18,No data,8,17,12,No data,No data,No data,16,No data,7,No data,12,17,13,19,20,No data,14,No data,14,No data,13,No data,19,No data,No data,9
14/02/2010,16.5,5.8,-4,7.1,-9.5,8.5,304.7,7,12,No data,14,No data,20,19,No data,No data,No data,26,15,No data,8,24,15,No data,No data,No data,19,No data,13,No data,15,21,16,14,22,No data,20,No data,17,No data,16,No data,26,No data,No data,10
15/02/2010,6.4,14.8,1.1,14.8,36.8,23.6,265.8,20,9,No data,9,No data,25,14,No data,No data,No data,24,6,No data,18,40,32,No data,No data,No data,No data,No data,20,20,18,30,30,11,34,No data,27,No data,No data,No data,30,No data,21,No data,No data,23
16/02/2010,0.6,-5.3,5.5,7.6,67,34.3,136,20,14,No data,15,No data,10,11,No data,No data,No data,30,21,No data,16,19,22,No data,No data,No data,10,No data,13,11,17,17,8,8,18,No data,10,No data,14,No data,10,No data,15,No data,No data,15
17/02/2010,-1.3,-13.4,1.1,13.5,42.9,25.3,94.6,20,19,No data,30,No data,32,23,No data,No data,No data,50,31,No data,33,29,38,No data,No data,No data,42,No data,33,22,54,41,28,No data,43,No data,39,No data,37,No data,39,No data,24,No data,No data,29
18/02/2010,0,-4.2,-5.4,6.8,38.2,20.3,37.4,20,14,No data,44,No data,37,33,No data,No data,No data,38,30,No data,49,41,50,No data,No data,No data,46,No data,24,No data,48,58,34,No data,37,No data,42,No data,34,No data,29,No data,35,No data,No data,47
19/02/2010,0.1,3.8,-8.3,9.1,35.8,20.1,335.3,20,14,No data,15,No data,17,23,No data,No data,No data,25,35,No data,21,24,30,No data,No data,No data,21,No data,15,No data,17,30,16,9,26,No data,22,No data,22,No data,20,No data,22,No data,No data,24
20/02/2010,0.4,3.1,-1.6,3.5,29.7,15.3,296.8,20,15,No data,23,No data,21,22,No data,No data,No data,23,25,No data,27,21,38,No data,No data,No data,24,No data,19,No data,28,34,20,15,24,No data,27,No data,28,No data,25,No data,19,No data,No data,28
21/02/2010,-3.7,-1.1,1.2,1.6,38.5,19.3,135.6,20,21,No data,24,No data,14,11,No data,No data,No data,26,22,No data,23,18,34,No data,No data,No data,15,No data,22,No data,23,23,15,6,24,No data,23,No data,19,No data,15,No data,18,No data,No data,28
22/02/2010,-6.9,-11,-3.7,11.6,20.5,15.5,71.6,22,17,No data,22,No data,17,16,No data,No data,No data,19,23,No data,18,21,18,No data,No data,No data,13,No data,14,No data,17,23,14,7,19,No data,16,No data,17,No data,10,No data,16,No data,No data,18
23/02/2010,-5,-12.3,8.6,15,11.6,16.1,124.8,13,19,No data,18,No data,20,21,No data,No data,No data,30,22,No data,21,19,20,No data,No data,No data,24,No data,14,No data,18,22,18,20,25,No data,21,No data,19,No data,17,No data,18,No data,No data,18
24/02/2010,0.6,-14.4,4.3,15,56.2,31.9,106.5,20,15,No data,12,No data,22,25,No data,No data,No data,24,8,No data,26,24,37,No data,No data,No data,20,No data,19,No data,21,33,19,23,25,No data,16,No data,23,No data,17,No data,30,No data,No data,31
25/02/2010,-2.5,-15.4,-1.7,15.5,50.5,29.6,83.9,20,17,No data,18,No data,16,16,No data,No data,No data,25,19,No data,16,24,30,No data,No data,No data,19,No data,24,No data,19,23,14,15,25,No data,15,No data,24,No data,16,No data,26,No data,No data,27
26/02/2010,-2,-2.5,-8.7,9.1,45.6,24.5,16.3,20,22,No data,22,No data,13,17,No data,No data,No data,21,14,No data,9,13,10,No data,No data,No data,13,No data,7,No data,10,11,10,12,22,No data,10,No data,14,No data,15,No data,15,No data,No data,5
27/02/2010,-3.8,-6.9,5.4,8.8,16.9,12.2,127.6,23,34,No data,11,No data,14,12,No data,No data,No data,23,19,No data,19,10,16,No data,No data,No data,18,No data,6,21,14,17,11,14,26,No data,15,No data,17,No data,17,No data,17,No data,No data,11
28/02/2010,-2.7,-3,-13.4,13.7,16.2,15.9,12.5,28,23,No data,17,No data,15,14,No data,No data,No data,13,18,No data,10,15,15,No data,No data,No data,15,No data,10,No data,18,17,10,12,18,No data,10,No data,14,No data,10,No data,19,No data,No data,12
01/03/2010,7.7,2.9,-4.2,5.1,-18,10.3,325.2,0,12,No data,25,No data,28,22,No data,No data,No data,24,20,No data,23,25,20,No data,No data,No data,19,No data,10,No data,16,28,16,21,25,No data,21,No data,20,No data,28,No data,30,No data,No data,15
02/03/2010,17.1,1.2,3.5,3.7,-31,15.9,199.5,0,14,No data,No data,No data,34,20,No data,No data,No data,30,25,No data,24,32,25,No data,No data,No data,32,No data,16,No data,27,32,21,20,37,No data,25,No data,40,No data,No data,No data,41,No data,No data,21
03/03/2010,19.1,-4.2,8.7,9.7,-6.2,10.1,154.2,13,25,13,No data,No data,24,26,No data,No data,No data,26,33,No data,38,20,29,No data,No data,No data,20,No data,30,No data,24,22,24,No data,27,No data,22,No data,25,No data,No data,No data,21,No data,No data,26
04/03/2010,23.6,-3.3,-3.3,4.7,-28.4,14.9,45.8,0,27,19,No data,No data,22,23,No data,No data,No data,23,47,No data,28,20,28,No data,No data,No data,15,No data,28,No data,14,26,14,21,28,No data,14,No data,25,No data,21,No data,27,No data,No data,21
05/03/2010,24.7,7.5,-12.2,14.3,-31.7,21.3,328.4,0,8,13,No data,No data,37,35,No data,No data,No data,30,18,No data,25,35,30,No data,No data,No data,27,No data,21,No data,20,40,25,21,34,No data,25,No data,33,No data,29,No data,46,No data,No data,21
06/03/2010,22.5,1.4,0.6,1.5,-43.6,21.9,246.5,0,8,5,No data,No data,19,19,No data,No data,No data,28,14,No data,16,19,16,No data,No data,No data,19,No data,9,10,14,21,17,15,27,No data,18,No data,20,No data,18,No data,22,No data,No data,12
07/03/2010,23.7,-0.1,7.8,7.8,-57.1,29.6,178.9,0,20,19,No data,No data,19,21,No data,No data,No data,19,36,No data,22,20,33,No data,No data,No data,17,No data,20,No data,10,22,17,20,21,No data,16,No data,25,No data,17,No data,25,No data,No data,25
08/03/2010,24.2,-5.4,3.3,6.3,-46.6,24.1,121.5,0,20,28,No data,No data,16,18,No data,No data,No data,20,46,No data,35,22,41,No data,No data,No data,16,No data,27,No data,15,30,16,17,26,No data,15,No data,41,No data,18,No data,33,No data,No data,32
09/03/2010,25.8,-1.4,-1.3,1.9,-47.1,23.6,47,0,26,13,No data,No data,22,23,No data,No data,No data,24,No data,No data,22,23,31,No data,No data,No data,16,No data,16,No data,14,24,17,13,24,No data,14,No data,32,No data,15,No data,27,No data,No data,29
10/03/2010,24.1,0.2,-3.1,3.1,-47.6,24,355.4,0,22,14,No data,No data,No data,13,No data,No data,No data,22,28,No data,24,11,28,No data,No data,No data,No data,No data,18,No data,10,18,11,10,22,No data,11,No data,28,No data,12,No data,26,No data,No data,24
11/03/2010,21.6,9.1,-9.4,13.1,-21.1,16.8,316.2,7,17,12,No data,No data,No data,31,No data,No data,No data,22,19,No data,29,33,32,No data,No data,No data,No data,No data,18,No data,22,No data,28,17,30,No data,No data,No data,35,No data,24,No data,45,No data,No data,27
12/03/2010,24.4,1.5,-14.4,14.5,-13.2,16,354.1,18,8,4,No data,No data,No data,20,No data,No data,No data,29,11,No data,13,17,13,No data,17,No data,22,No data,7,No data,19,No data,19,23,37,No data,No data,No data,15,No data,27,No data,19,No data,No data,9
13/03/2010,25.9,11.8,-13.5,18,-22.8,21.3,318.8,7,6,3,No data,No data,16,16,No data,No data,No data,18,9,No data,13,14,14,No data,10,No data,15,No data,8,12,15,No data,14,14,26,No data,14,No data,15,No data,17,No data,19,No data,No data,10
14/03/2010,24.8,9.9,-13.7,16.9,-26.5,21.5,324.2,7,6,6,No data,No data,14,16,No data,No data,No data,24,10,No data,10,14,15,No data,9,No data,15,No data,7,11,11,No data,9,12,23,No data,7,No data,18,No data,11,No data,23,No data,No data,10
