Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
2010-06-05,-1,15,No data,22,No data,No data,No data,17,No data,No data,No data,No data,35,No data,No data,31,26,27,No data,41,34,37,32,39,No data,No data,25,28,25,No data,26,18,34,23,No data,No data,34,No data,37,41,41,36,30,15,30
2010-06-06,-1,14,No data,5,No data,No data,No data,9,No data,No data,No data,No data,23,No data,No data,11,20,24,No data,27,24,30,28,26,No data,No data,18,8,36,No data,19,5,14,16,No data,No data,19,No data,10,28,23,23,21,6,25
2010-08-14,-1,6,No data,10,No data,No data,7,8,No data,No data,No data,No data,12,5,No data,5,14,9,No data,14,14,15,12,15,No data,No data,6,11,11,No data,9,5,9,6,9,10,9,No data,No data,20,12,9,No data,4,10
2010-08-16,-1,5,No data,14,No data,No data,11,12,No data,No data,No data,No data,11,10,No data,5,21,12,No data,11,No data,14,10,12,No data,No data,8,16,6,No data,16,13,14,13,14,9,13,No data,No data,13,19,11,No data,6,14
2011-03-29,-1,5,15,45,No data,57,42,48,No data,No data,No data,No data,53,17,No data,58,55,73,No data,48,47,52,55,46,No data,53,25,58,45,54,48,41,58,67,43,No data,65,No data,59,No data,63,26,No data,58,65
2011-06-11,-1,6,9,12,No data,1,7,10,No data,No data,No data,No data,9,12,No data,5,No data,9,No data,9,11,12,9,10,No data,113,7,12,11,11,No data,4,9,8,9,9,13,No data,No data,No data,12,23,No data,5,No data
2011-06-28,-1,6,2,11,No data,No data,11,7,No data,No data,No data,No data,21,10,No data,8,No data,No data,No data,21,21,23,No data,20,No data,7,8,No data,14,10,11,6,18,5,17,18,11,No data,No data,No data,10,16,No data,4,No data
2011-08-01,-1,20,1,No data,No data,No data,17,No data,No data,No data,No data,No data,17,9,No data,11,No data,No data,No data,15,17,18,14,13,No data,No data,18,No data,13,15,10,6,16,14,13,18,No data,No data,15,14,19,28,No data,6,No data
2012-04-02,-1,3,2,12,10,6,22,17,No data,No data,No data,No data,17,13,No data,17,14,16,No data,No data,21,No data,No data,22,No data,13,8,17,22,16,17,11,25,10,19,22,12,No data,23,No data,15,13,No data,11,15
2012-05-03,-1,10,No data,16,16,8,18,17,No data,No data,No data,No data,12,16,No data,8,13,12,No data,10,13,15,10,13,No data,12,6,15,11,10,No data,No data,12,11,9,13,14,No data,11,No data,19,No data,11,13,5
2012-05-31,-1,4,3,8,6,No data,No data,No data,No data,No data,No data,No data,13,13,No data,10,7,No data,No data,No data,15,13,12,17,No data,10,9,10,19,10,10,No data,8,7,10,15,No data,No data,9,No data,10,No data,6,6,7
2012-06-18,-1,6,1,8,6,No data,No data,No data,No data,No data,No data,No data,12,No data,No data,9,6,17,No data,9,10,9,No data,No data,No data,6,6,No data,8,8,5,No data,6,6,8,10,10,No data,8,No data,12,No data,6,6,7
2012-09-20,-1,5,0,8,6,No data,4,6,No data,No data,No data,No data,11,1,No data,8,7,14,No data,8,9,8,5,7,No data,9,8,4,10,12,6,11,6,5,3,9,10,No data,10,4,8,4,6,4,8
2013-07-27,-1,No data,No data,No data,12,No data,11,14,No data,No data,No data,No data,12,7,No data,18,8,No data,No data,18,12,No data,12,14,No data,13,10,No data,20,14,11,6,9,No data,8,No data,13,No data,13,15,15,No data,12,10,13
2013-09-13,-1,7,No data,9,7,No data,7,11,No data,No data,No data,No data,4,6,No data,6,6,6,No data,11,10,10,11,12,10,6,6,No data,8,6,No data,1,No data,7,5,10,10,No data,7,7,11,5,6,6,6
2014-04-28,-1,23,21,16,21,13,20,17,No data,No data,No data,No data,16,20,20,20,21,No data,18,21,23,18,21,25,22,16,24,21,16,21,No data,13,22,No data,17,26,18,16,21,19,18,25,18,19,18
2014-04-29,-1,23,11,23,28,36,22,19,No data,No data,No data,No data,24,17,11,24,28,No data,29,30,28,28,29,33,26,28,30,18,15,29,No data,20,27,No data,21,25,34,29,21,15,32,30,35,28,27
2014-05-26,-1,14,7,14,9,5,9,8,No data,No data,No data,No data,9,10,7,8,9,10,8,13,8,9,9,11,14,6,9,10,11,7,No data,5,12,7,No data,15,11,8,12,10,10,11,8,No data,9
2014-07-11,-1,13,9,12,14,5,No data,8,No data,No data,11,No data,11,13,7,No data,No data,No data,11,13,14,10,11,18,No data,10,7,12,9,No data,9,No data,16,11,No data,No data,14,10,14,No data,14,10,10,4,9
2014-07-20,-1,21,8,10,15,8,No data,9,No data,No data,16,No data,12,8,6,14,17,17,12,19,18,14,16,20,No data,12,10,10,14,13,9,No data,16,No data,No data,12,16,4,12,No data,16,No data,11,4,17
2014-07-26,-1,No data,No data,14,15,13,No data,No data,No data,No data,16,No data,15,11,12,13,19,15,18,18,17,14,15,No data,No data,14,12,No data,12,16,11,18,20,No data,9,10,19,16,15,No data,16,No data,16,11,19
2014-09-19,-1,20,13,27,34,24,No data,26,No data,No data,37,No data,No data,No data,No data,27,40,33,32,44,41,34,35,No data,No data,36,No data,24,32,35,34,No data,37,35,37,41,39,38,37,No data,38,No data,No data,42,28
2014-11-26,-1,13,8,20,19,13,21,22,No data,No data,17,No data,20,No data,14,15,19,18,17,25,26,16,20,26,23,17,18,21,21,15,14,20,16,18,17,20,26,28,20,22,19,13,No data,20,16
2014-12-01,-1,8,5,11,24,22,19,21,No data,No data,22,No data,19,No data,5,21,24,29,22,23,26,14,22,25,21,18,26,19,25,No data,21,20,18,24,16,19,25,28,21,23,23,22,28,20,26
2014-12-04,-1,14,5,22,24,16,24,22,No data,No data,21,No data,40,No data,No data,18,22,14,20,22,19,No data,16,19,16,14,12,22,26,No data,18,20,19,16,14,23,21,26,21,22,26,17,35,24,20
2015-03-17,-1,51,23,49,53,46,46,40,No data,No data,53,No data,No data,39,No data,54,53,42,58,67,69,71,61,63,62,43,39,39,No data,51,53,40,56,49,55,58,49,No data,52,86,51,42,52,No data,45
2015-08-18,-1,2,3,10,7,7,No data,No data,7,No data,No data,No data,No data,8,6,No data,14,10,11,12,10,15,10,11,13,11,No data,10,9,9,12,No data,13,8,No data,11,9,9,11,12,13,3,6,6,3
2015-08-30,-1,2,1,4,8,4,10,7,6,No data,11,No data,11,5,3,11,No data,9,13,9,10,11,8,19,12,10,No data,No data,8,11,12,No data,14,7,8,7,9,11,10,8,11,5,7,3,6
2015-11-04,-1,23,5,24,17,25,15,17,24,No data,21,No data,8,18,17,32,15,42,22,13,16,14,13,17,12,22,33,15,23,26,16,13,8,28,11,10,24,No data,10,11,25,34,26,18,35
2016-04-14,-1,6,2,9,23,No data,7,9,15,13,20,10,18,6,8,10,20,7,16,11,11,11,12,12,8,16,7,11,28,15,No data,No data,15,9,10,16,16,14,14,15,21,No data,17,14,6
2016-05-06,-1,12,8,9,21,20,16,19,25,15,19,No data,21,11,12,28,16,22,18,28,27,27,21,24,18,24,21,17,21,22,No data,15,11,20,15,31,22,27,16,No data,22,20,20,23,22
2016-06-10,-1,5,5,24,18,26,14,19,15,15,20,18,13,8,11,24,17,19,22,12,12,12,14,12,7,No data,15,19,10,22,No data,13,No data,28,11,11,25,17,18,13,20,11,23,22,16
2016-09-04,-1,6,2,5,4,2,5,4,4,3,4,5,No data,5,5,5,5,4,6,5,7,5,6,5,3,1,5,4,No data,6,No data,6,8,4,4,6,4,2,No data,5,5,4,4,2,4
2016-09-13,-1,5,4,5,14,8,15,11,12,10,15,No data,No data,5,4,28,16,13,15,17,18,15,15,17,12,11,16,11,No data,15,No data,12,17,12,15,24,12,14,No data,22,14,No data,11,6,14
