Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
2010-02-01,16,5,1,8,No data,4,7,9,No data,No data,No data,No data,11,7,No data,3,13,9,No data,No data,13,15,9,13,No data,11,6,9,11,22,9,16,No data,7,10,No data,14,No data,12,12,12,3,12,3,9
2010-03-19,16,4,2,No data,No data,No data,10,11,No data,No data,No data,No data,16,6,No data,9,10,15,No data,13,13,16,11,11,No data,9,8,12,12,12,11,7,No data,9,11,No data,12,No data,No data,12,16,6,14,8,12
2010-04-01,16,2,0,10,No data,No data,5,7,No data,No data,No data,No data,7,5,No data,3,4,8,No data,7,9,11,6,No data,No data,No data,4,6,5,4,5,3,No data,4,7,No data,8,No data,5,6,8,No data,10,4,6
2010-04-04,16,4,2,5,No data,No data,6,4,No data,No data,No data,No data,7,7,No data,4,7,9,No data,10,9,14,8,8,No data,No data,7,6,12,8,7,4,No data,4,8,No data,7,No data,No data,9,9,No data,12,4,8
2010-04-07,16,5,1,8,No data,No data,6,7,No data,No data,No data,No data,21,6,No data,8,9,10,No data,22,20,24,15,17,No data,No data,7,6,28,11,13,6,No data,8,14,No data,14,No data,No data,21,17,9,15,6,11
2010-04-19,16,4,2,6,No data,No data,42,34,No data,No data,No data,No data,19,7,No data,3,23,13,No data,15,19,21,17,22,No data,No data,9,39,8,16,28,17,31,6,25,No data,16,No data,No data,13,24,11,15,12,11
2010-04-29,16,4,0,6,No data,No data,12,11,No data,No data,No data,No data,23,6,No data,10,19,11,No data,23,No data,27,22,24,No data,No data,6,11,23,No data,17,10,36,6,No data,No data,10,No data,No data,23,15,7,13,4,11
2010-05-15,16,4,3,8,No data,No data,10,10,No data,No data,No data,No data,16,8,No data,7,15,11,No data,17,15,20,14,16,No data,No data,7,12,19,14,13,7,10,9,11,No data,13,No data,No data,17,20,9,16,5,10
2010-05-28,16,3,1,7,No data,No data,6,No data,No data,No data,No data,No data,10,5,No data,5,11,10,No data,11,10,14,8,10,No data,No data,4,9,11,8,8,9,8,5,7,No data,7,No data,No data,9,10,7,11,2,7
2010-07-17,16,3,No data,6,No data,No data,6,No data,No data,No data,No data,No data,8,4,No data,5,10,9,No data,8,No data,10,7,7,No data,No data,5,8,7,No data,6,6,6,4,6,5,7,No data,6,8,9,7,No data,3,9
2010-07-26,16,7,No data,6,No data,No data,7,No data,No data,No data,No data,No data,9,7,No data,6,10,8,No data,8,No data,11,No data,8,No data,No data,No data,10,No data,No data,10,6,6,7,6,8,9,No data,6,9,13,No data,No data,2,8
