Date,LWT,57.15736,55.79216,54.59965,51.45258,53.80489,51.462839,51.48178,53.244131,51.149617,52.411563,55.002818,50.805778,55.945589,55.865782,53.74878,52.28881,53.80378,52.619823,51.46603,51.52229,51.45258,51.617333,51.52105,51.425286,53.48152,54.97825,51.601203,52.614193,52.95473,51.744806,50.37167,50.82881,53.76559,51.45309,51.45617,53.48481,53.378622,50.90814,51.544206,53.02821,54.88361,53.54914,53.37287,53.967513
10/01/2010,12,7,2,7,NaN,3,10,9,NaN,NaN,NaN,NaN,10,8,NaN,8,9,8,NaN,8,11,13,6,9,NaN,NaN,7,9,5,7,9,10,NaN,5,9,NaN,9,NaN,11,9,9,4,12,5,7
06/02/2010,12,18,5,24,NaN,23,22,23,NaN,NaN,NaN,NaN,18,18,NaN,16,22,23,NaN,20,25,24,17,20,NaN,25,18,22,14,19,20,15,NaN,21,17,NaN,26,NaN,17,25,29,15,35,14,23
08/02/2010,2,6,3,11,NaN,7,17,17,NaN,NaN,NaN,NaN,25,6,NaN,7,14,11,NaN,27,29,31,21,23,NaN,10,7,16,17,12,18,16,NaN,8,17,NaN,14,NaN,21,32,14,2,15,8,10
22/02/2010,22,11,12,17,NaN,11,13,12,NaN,NaN,NaN,NaN,8,15,NaN,8,16,12,NaN,13,15,16,10,11,NaN,8,12,14,16,15,12,10,NaN,NaN,11,NaN,12,NaN,10,16,13,7,17,11,15
07/05/2010,12,6,3,7,NaN,NaN,10,11,NaN,NaN,NaN,NaN,11,8,NaN,6,12,10,NaN,12,NaN,16,10,12,NaN,NaN,7,10,9,11,11,10,13,NaN,10,NaN,10,NaN,NaN,10,16,9,13,5,10
09/06/2010,12,6,NaN,10,NaN,NaN,9,10,NaN,NaN,NaN,NaN,12,NaN,NaN,19,15,17,NaN,13,12,17,10,12,NaN,NaN,9,9,13,NaN,12,9,8,10,NaN,NaN,NaN,NaN,8,12,25,12,18,10,NaN
26/08/2010,2,5,NaN,9,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,6,7,NaN,NaN,9,9,NaN,6,8,9,NaN,8,NaN,NaN,6,10,4,NaN,4,6,6,7,6,5,NaN,NaN,7,5,9,8,NaN,6,7
10/10/2010,12,17,25,26,NaN,NaN,30,30,NaN,NaN,NaN,NaN,22,30,NaN,24,34,32,NaN,26,29,28,NaN,NaN,NaN,NaN,29,30,19,37,36,24,25,29,NaN,20,30,NaN,28,26,31,31,NaN,25,30
20/11/2010,12,NaN,2,17,NaN,NaN,16,18,NaN,NaN,NaN,NaN,15,8,NaN,12,23,19,NaN,20,25,NaN,NaN,22,NaN,NaN,NaN,17,14,24,18,12,16,12,21,14,17,NaN,12,18,25,14,NaN,19,20
29/11/2010,12,NaN,1,10,NaN,NaN,NaN,32,NaN,NaN,NaN,NaN,17,6,NaN,5,28,13,NaN,16,20,12,14,15,NaN,16,7,32,NaN,15,26,18,16,22,18,10,24,NaN,19,13,25,8,NaN,27,13
30/11/2010,12,NaN,2,7,NaN,NaN,16,16,NaN,NaN,NaN,NaN,30,8,NaN,0,14,6,NaN,12,16,NaN,11,13,NaN,4,5,16,NaN,3,12,15,19,5,15,11,9,NaN,14,13,8,7,NaN,NaN,7
01/12/2010,12,NaN,1,7,NaN,NaN,10,12,NaN,NaN,NaN,NaN,16,7,NaN,0,13,6,NaN,12,13,NaN,8,11,NaN,5,4,12,NaN,3,8,10,10,6,10,9,9,NaN,10,13,9,7,NaN,NaN,6
19/12/2010,22,NaN,4,19,NaN,NaN,31,28,NaN,NaN,NaN,NaN,16,12,NaN,23,40,23,NaN,18,21,NaN,14,19,NaN,26,10,31,17,26,31,20,20,20,19,10,NaN,NaN,21,18,27,14,NaN,31,18
