Date,LWT,57.15736,55.79216,54.59965,51.45258,53.80489,51.462839,51.48178,53.244131,51.149617,52.411563,55.002818,50.805778,55.945589,55.865782,53.74878,52.28881,53.80378,52.619823,51.46603,51.52229,51.45258,51.617333,51.52105,51.425286,53.48152,54.97825,51.601203,52.614193,52.95473,51.744806,50.37167,50.82881,53.76559,51.45309,51.45617,53.48481,53.378622,50.90814,51.544206,53.02821,54.88361,53.54914,53.37287,53.967513
04/01/2010,17,3,4,27,NaN,28,43,22,NaN,NaN,NaN,NaN,22,9,NaN,14,33,17,NaN,31,29,34,26,NaN,NaN,NaN,8,25,18,17,25,18,19,NaN,27,NaN,39,NaN,24,28,32,2,47,10,12
27/01/2010,17,6,2,12,NaN,15,38,33,NaN,NaN,NaN,NaN,32,NaN,NaN,17,35,18,NaN,NaN,39,43,NaN,39,NaN,26,9,32,38,30,38,35,NaN,21,42,NaN,28,NaN,46,39,31,3,28,14,17
28/01/2010,17,NaN,1,8,NaN,6,7,9,NaN,NaN,NaN,NaN,11,NaN,NaN,3,11,8,NaN,NaN,15,15,NaN,12,NaN,7,6,9,7,12,9,8,NaN,5,9,NaN,11,NaN,9,11,13,2,13,4,6
31/01/2010,17,3,0,6,NaN,5,17,12,NaN,NaN,NaN,NaN,11,5,NaN,1,13,10,NaN,15,15,21,13,16,NaN,10,4,12,17,14,15,18,NaN,6,14,NaN,14,NaN,21,17,10,2,14,2,8
02/02/2010,27,4,0,8,NaN,5,6,NaN,NaN,NaN,NaN,NaN,6,8,NaN,2,11,9,NaN,NaN,10,12,9,8,NaN,8,NaN,7,6,10,7,6,NaN,8,8,NaN,13,NaN,8,8,9,1,14,2,8
14/02/2010,7,13,7,14,NaN,12,17,10,NaN,NaN,NaN,NaN,17,12,NaN,NaN,18,10,NaN,NaN,14,17,10,13,NaN,14,12,13,11,15,16,15,NaN,18,17,NaN,18,NaN,16,15,22,7,26,8,10
11/03/2010,7,6,8,34,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,11,10,NaN,15,22,21,NaN,18,21,20,17,17,NaN,20,14,29,17,NaN,24,14,NaN,NaN,NaN,NaN,26,NaN,NaN,17,28,11,NaN,15,23
13/03/2010,7,2,1,7,NaN,NaN,11,11,NaN,NaN,NaN,NaN,11,4,NaN,2,8,9,NaN,12,13,16,9,10,NaN,8,5,11,11,11,13,12,NaN,7,15,NaN,11,NaN,NaN,10,12,3,NaN,5,8
14/03/2010,7,2,1,5,NaN,NaN,10,11,NaN,NaN,NaN,NaN,14,5,NaN,3,7,9,NaN,11,12,14,8,9,NaN,6,4,9,8,11,7,11,NaN,5,8,NaN,10,NaN,NaN,10,13,2,NaN,5,8
15/03/2010,7,3,1,7,NaN,NaN,14,19,NaN,NaN,NaN,NaN,9,5,NaN,5,7,9,NaN,10,11,15,8,9,NaN,6,5,15,9,10,9,10,NaN,5,11,NaN,9,NaN,NaN,11,11,2,NaN,5,9
20/03/2010,17,5,3,NaN,NaN,NaN,6,7,NaN,NaN,NaN,NaN,9,8,NaN,4,7,11,NaN,8,8,12,7,6,NaN,NaN,9,6,8,10,7,6,NaN,10,7,NaN,11,NaN,3,8,14,4,16,7,14
27/03/2010,27,1,0,7,NaN,NaN,11,12,NaN,NaN,NaN,NaN,8,5,NaN,8,7,10,NaN,10,10,14,8,9,NaN,NaN,5,11,10,10,9,9,NaN,6,9,NaN,10,NaN,NaN,9,12,NaN,12,5,11
