Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/01/2010,18,3,1,20,NaN,5,14,10,NaN,NaN,NaN,NaN,10,11,NaN,11,14,7,NaN,12,14,15,10,NaN,NaN,NaN,2,13,13,12,13,18,11,18,13,NaN,15,NaN,13,13,19,1,16,4,11
29/01/2010,18,3,1,5,NaN,1,5,5,NaN,NaN,NaN,NaN,5,NaN,NaN,-1,8,6,NaN,9,12,12,7,9,NaN,5,3,6,5,7,7,5,NaN,3,6,NaN,7,NaN,6,8,10,1,9,1,5
30/01/2010,18,3,0,8,NaN,1,13,9,NaN,NaN,NaN,NaN,7,6,NaN,NaN,11,7,NaN,10,11,15,8,10,NaN,7,4,10,9,10,9,11,NaN,5,9,NaN,10,NaN,10,12,11,1,12,2,8
28/02/2010,28,5,1,10,NaN,5,12,10,NaN,NaN,NaN,NaN,6,6,NaN,2,9,8,NaN,14,14,17,9,12,NaN,6,5,13,14,9,9,8,NaN,8,9,NaN,9,NaN,8,14,11,3,18,6,9
12/03/2010,18,2,0,7,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN,18,6,NaN,4,11,10,NaN,19,20,23,14,17,NaN,7,4,15,16,12,18,19,NaN,5,NaN,NaN,10,NaN,NaN,18,13,2,NaN,6,8
20/04/2010,18,2,1,7,NaN,NaN,12,11,NaN,NaN,NaN,NaN,19,5,NaN,4,13,9,NaN,14,16,17,13,14,NaN,NaN,4,17,10,11,14,11,18,5,13,NaN,11,NaN,NaN,16,11,7,12,5,8
05/05/2010,18,4,2,6,NaN,NaN,10,17,NaN,NaN,NaN,NaN,11,7,NaN,14,18,17,NaN,15,NaN,19,16,17,NaN,NaN,10,10,8,20,19,12,17,NaN,18,NaN,16,NaN,NaN,9,23,11,17,7,17
10/05/2010,8,2,1,6,NaN,NaN,9,12,NaN,NaN,NaN,NaN,7,4,NaN,3,12,9,NaN,11,NaN,13,8,9,NaN,NaN,6,12,5,10,10,9,10,NaN,8,NaN,11,NaN,NaN,7,14,6,13,6,7
11/05/2010,18,2,1,8,NaN,NaN,11,12,NaN,NaN,NaN,NaN,6,5,NaN,4,10,15,NaN,8,NaN,11,6,8,NaN,NaN,7,11,4,9,8,13,7,9,6,NaN,17,NaN,NaN,6,17,8,17,7,12
24/05/2010,8,5,6,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,11,NaN,10,21,23,NaN,15,14,20,13,16,NaN,NaN,14,16,14,NaN,17,13,16,18,11,NaN,23,NaN,NaN,14,28,15,22,9,19
26/05/2010,18,3,3,4,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,10,6,NaN,3,12,19,NaN,10,13,15,11,12,NaN,NaN,11,14,6,10,12,17,10,10,10,NaN,15,NaN,NaN,8,16,10,17,7,13
30/05/2010,18,5,3,5,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,8,7,NaN,6,10,10,NaN,8,7,11,7,6,NaN,NaN,8,6,9,8,7,6,7,6,NaN,NaN,9,NaN,NaN,7,11,10,13,4,13
19/06/2010,8,4,NaN,6,NaN,NaN,11,14,NaN,NaN,NaN,NaN,7,5,NaN,0,10,6,NaN,8,7,10,7,7,NaN,NaN,5,13,5,11,10,10,6,4,NaN,4,7,NaN,7,6,9,8,12,3,6
22/07/2010,18,3,NaN,7,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,8,5,NaN,NaN,11,9,NaN,9,NaN,10,8,9,NaN,NaN,NaN,NaN,NaN,NaN,10,6,6,6,6,7,10,NaN,6,8,14,NaN,NaN,5,6
07/08/2010,28,8,NaN,6,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,6,7,NaN,5,10,9,NaN,8,NaN,12,8,9,NaN,NaN,NaN,9,6,NaN,8,3,7,5,7,7,8,NaN,6,7,10,11,NaN,3,9
11/08/2010,28,5,NaN,9,NaN,NaN,9,9,NaN,NaN,NaN,NaN,8,7,NaN,NaN,11,8,NaN,9,NaN,12,7,9,NaN,NaN,6,11,6,NaN,8,NaN,10,6,9,8,9,NaN,NaN,10,10,9,NaN,4,9
12/08/2010,18,6,NaN,7,NaN,NaN,8,8,NaN,NaN,NaN,NaN,9,5,NaN,NaN,12,9,NaN,8,9,11,8,9,NaN,NaN,5,11,8,NaN,9,NaN,7,5,8,6,8,NaN,NaN,9,12,9,NaN,4,10
13/08/2010,18,4,NaN,7,NaN,NaN,6,7,NaN,NaN,NaN,NaN,9,6,NaN,3,NaN,8,NaN,10,11,12,9,10,NaN,NaN,5,11,6,NaN,9,6,8,6,8,7,7,NaN,NaN,10,11,9,NaN,4,10
27/08/2010,18,6,NaN,7,NaN,NaN,6,7,NaN,NaN,NaN,NaN,7,10,NaN,1,11,7,NaN,6,9,8,NaN,NaN,NaN,NaN,7,11,4,NaN,7,4,7,4,7,5,NaN,NaN,8,5,11,10,NaN,4,8
29/08/2010,18,5,NaN,7,NaN,NaN,10,6,NaN,NaN,NaN,NaN,7,4,NaN,2,11,5,NaN,5,6,8,5,6,NaN,NaN,4,11,5,NaN,7,5,6,3,7,3,NaN,NaN,8,5,8,7,NaN,3,6
24/09/2010,18,4,0,6,NaN,NaN,6,7,NaN,NaN,NaN,NaN,6,6,NaN,NaN,13,6,NaN,9,12,10,8,10,NaN,NaN,5,12,6,10,11,4,6,3,6,6,7,NaN,9,9,NaN,8,NaN,2,6
15/10/2010,18,3,1,9,NaN,NaN,20,15,NaN,NaN,NaN,NaN,13,8,NaN,6,21,14,NaN,12,14,13,12,12,NaN,NaN,9,20,6,14,18,19,17,12,NaN,9,15,NaN,18,11,19,10,NaN,5,13
19/10/2010,18,2,0,7,NaN,NaN,6,8,NaN,NaN,NaN,NaN,6,6,NaN,2,12,9,NaN,6,8,9,NaN,7,NaN,NaN,6,7,5,6,8,5,5,5,NaN,5,7,NaN,8,7,8,8,NaN,3,7
23/11/2010,18,NaN,1,10,NaN,NaN,21,13,NaN,NaN,NaN,NaN,10,10,NaN,2,16,10,NaN,12,13,8,NaN,10,NaN,NaN,5,16,4,9,13,17,12,11,12,6,14,NaN,9,9,16,8,NaN,8,8
24/11/2010,28,NaN,0,8,NaN,NaN,25,11,NaN,NaN,NaN,NaN,19,7,NaN,2,22,9,NaN,17,20,17,16,19,NaN,NaN,5,17,NaN,12,17,14,16,14,19,11,30,NaN,13,13,22,8,NaN,11,7
25/11/2010,18,NaN,1,9,NaN,NaN,11,NaN,NaN,NaN,NaN,NaN,17,7,NaN,NaN,15,7,NaN,13,17,11,11,13,NaN,5,4,11,NaN,6,14,15,16,8,16,7,12,NaN,13,10,14,7,NaN,5,7
06/12/2010,28,NaN,2,15,NaN,NaN,25,27,NaN,NaN,NaN,NaN,18,11,NaN,31,24,32,NaN,25,28,NaN,18,25,NaN,40,22,20,NaN,40,26,NaN,19,38,20,14,49,NaN,19,22,50,17,NaN,NaN,NaN
07/12/2010,18,NaN,5,24,NaN,NaN,28,29,NaN,NaN,NaN,NaN,22,13,NaN,63,31,21,NaN,27,29,NaN,21,23,NaN,23,11,27,NaN,53,37,NaN,21,30,19,18,43,NaN,21,26,49,11,NaN,36,NaN
08/12/2010,8,NaN,6,20,NaN,NaN,24,19,NaN,NaN,NaN,NaN,16,12,NaN,2,21,8,NaN,21,23,18,13,17,NaN,13,8,16,NaN,13,23,NaN,17,17,17,12,23,NaN,20,20,32,8,NaN,10,9
16/12/2010,18,NaN,0,8,NaN,NaN,8,11,NaN,NaN,NaN,NaN,9,7,NaN,NaN,NaN,6,NaN,12,13,9,8,9,NaN,8,4,8,10,7,9,7,11,5,7,6,10,NaN,9,10,9,6,NaN,5,5
06/01/2011,18,NaN,1,NaN,NaN,NaN,27,13,NaN,NaN,NaN,NaN,12,9,NaN,9,NaN,11,NaN,18,18,NaN,16,18,NaN,13,7,16,NaN,19,22,NaN,15,7,22,12,21,NaN,14,19,18,9,NaN,4,9
27/03/2011,8,NaN,6,26,NaN,23,52,53,NaN,NaN,NaN,NaN,47,14,NaN,8,39,24,NaN,39,46,45,48,46,NaN,23,20,55,19,22,NaN,78,49,30,48,NaN,33,NaN,55,NaN,35,19,NaN,30,27
26/05/2011,28,12,4,9,NaN,2,NaN,4,NaN,NaN,NaN,NaN,9,13,NaN,1,NaN,7,NaN,6,8,10,8,NaN,NaN,4,10,9,8,7,NaN,4,6,5,6,8,10,NaN,6,NaN,10,14,NaN,4,11
19/07/2011,28,6,4,9,NaN,NaN,8,6,NaN,NaN,NaN,NaN,8,13,NaN,8,NaN,11,NaN,9,13,12,9,10,NaN,10,8,NaN,7,9,5,3,9,8,8,11,12,NaN,6,7,14,16,NaN,4,NaN
20/07/2011,28,4,2,10,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,10,11,NaN,9,NaN,10,NaN,8,12,12,10,10,NaN,8,9,NaN,9,9,7,3,8,6,8,12,11,NaN,9,8,NaN,14,NaN,3,NaN
21/07/2011,8,2,2,10,NaN,NaN,14,NaN,NaN,NaN,NaN,NaN,16,10,NaN,3,NaN,7,NaN,11,17,13,12,12,NaN,8,5,NaN,8,7,9,5,16,7,13,14,12,NaN,13,10,12,12,NaN,6,NaN
23/07/2011,18,5,2,10,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,10,9,NaN,3,NaN,7,NaN,7,9,9,7,8,NaN,9,5,NaN,6,7,4,6,9,6,9,8,NaN,NaN,8,4,12,11,NaN,4,NaN
25/07/2011,28,5,3,10,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,11,NaN,NaN,5,NaN,10,NaN,9,11,13,9,10,NaN,9,6,NaN,7,10,5,3,10,8,8,12,NaN,NaN,8,7,13,13,NaN,4,NaN
18/09/2011,18,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,8,NaN,NaN,3,9,NaN,7,8,NaN,7,7,NaN,5,6,NaN,5,8,4,5,6,5,6,7,NaN,NaN,6,6,10,9,NaN,3,13
16/12/2011,28,9,2,12,8,7,7,7,NaN,NaN,NaN,NaN,5,11,NaN,11,8,14,NaN,6,10,NaN,7,10,NaN,17,11,NaN,8,13,5,3,7,14,6,5,16,NaN,5,6,20,13,NaN,7,11
13/02/2012,18,5,3,6,16,15,14,10,NaN,NaN,NaN,NaN,21,10,NaN,10,19,13,NaN,17,23,22,18,22,NaN,16,8,NaN,13,14,18,NaN,28,12,22,20,15,NaN,23,15,18,11,NaN,13,7
05/03/2012,8,7,1,11,7,4,7,6,NaN,NaN,NaN,NaN,7,13,NaN,5,7,8,NaN,5,10,8,NaN,NaN,NaN,9,5,4,9,3,6,2,7,7,7,5,7,NaN,6,3,10,10,NaN,5,4
07/04/2012,18,5,0,4,14,4,15,15,NaN,NaN,NaN,NaN,13,11,NaN,5,11,9,NaN,NaN,12,14,12,12,NaN,8,6,8,9,NaN,9,NaN,17,6,10,11,8,NaN,14,10,12,9,5,6,6
12/04/2012,28,6,2,6,10,6,12,NaN,NaN,NaN,NaN,NaN,12,10,NaN,7,9,11,NaN,NaN,13,18,13,15,NaN,12,1,7,14,11,7,NaN,16,11,9,14,14,NaN,14,12,12,11,9,5,8
27/04/2012,18,4,1,4,6,2,10,8,NaN,NaN,NaN,NaN,12,10,NaN,6,5,8,NaN,8,11,12,9,10,NaN,6,5,7,6,4,6,NaN,15,5,6,11,8,NaN,9,6,9,NaN,5,6,4
15/05/2012,18,6,2,6,6,2,NaN,4,NaN,NaN,NaN,NaN,8,12,NaN,7,5,9,NaN,8,9,7,7,8,NaN,5,6,6,8,6,NaN,NaN,6,6,NaN,9,6,NaN,6,NaN,7,NaN,2,4,5
12/06/2012,18,4,2,8,9,1,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,6,8,NaN,NaN,7,12,5,7,NaN,NaN,6,6,11,7,6,7,NaN,6,6,7,9,7,NaN,8,NaN,11,NaN,5,5,5
13/06/2012,8,4,2,11,12,10,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN,NaN,7,10,NaN,NaN,9,12,7,9,NaN,NaN,14,5,12,8,12,10,NaN,6,14,8,9,14,NaN,10,NaN,21,NaN,13,18,7
09/07/2012,28,NaN,1,NaN,4,4,NaN,7,NaN,NaN,NaN,NaN,12,NaN,NaN,6,6,13,NaN,15,13,10,8,NaN,NaN,11,NaN,6,12,8,7,NaN,7,7,7,11,8,NaN,10,10,13,NaN,5,3,6
19/07/2012,18,6,2,5,4,1,6,7,NaN,NaN,NaN,NaN,10,NaN,NaN,6,5,10,NaN,7,10,8,NaN,6,NaN,8,5,4,7,6,6,9,5,4,7,9,6,NaN,6,7,10,NaN,3,3,4
25/08/2012,28,6,5,8,4,NaN,6,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,11,6,23,NaN,6,9,8,3,4,NaN,12,11,5,7,9,NaN,7,6,10,7,NaN,11,NaN,8,2,11,9,9,9,14
30/08/2012,18,5,1,7,4,NaN,4,4,NaN,NaN,NaN,NaN,9,NaN,NaN,7,6,12,NaN,6,9,7,5,6,NaN,8,8,4,7,7,7,9,6,6,7,NaN,11,NaN,7,2,NaN,6,5,3,6
21/09/2012,8,5,0,7,8,NaN,8,8,NaN,NaN,NaN,NaN,14,1,NaN,4,10,9,NaN,8,11,9,8,7,NaN,8,6,7,10,8,7,10,11,5,6,10,11,NaN,16,NaN,10,2,5,5,4
08/10/2012,8,6,2,10,21,NaN,12,13,NaN,NaN,NaN,NaN,12,6,NaN,18,18,34,NaN,14,18,15,14,14,NaN,26,11,13,19,28,13,10,10,23,12,14,29,NaN,12,10,27,10,20,25,26
14/10/2012,28,6,0,7,9,9,16,10,NaN,NaN,NaN,NaN,11,4,NaN,7,12,13,NaN,9,11,9,7,10,NaN,17,8,7,13,12,NaN,9,8,13,6,10,21,NaN,13,5,17,5,18,10,7
05/11/2012,18,16,9,12,33,50,45,40,NaN,NaN,NaN,NaN,27,24,NaN,23,29,38,NaN,24,26,22,23,26,NaN,NaN,25,39,14,47,23,22,20,NaN,22,17,NaN,NaN,25,12,51,31,41,41,27
26/11/2012,28,5,NaN,5,10,-1,5,NaN,NaN,NaN,NaN,NaN,8,3,NaN,8,9,10,NaN,8,10,6,5,6,NaN,6,5,5,12,11,NaN,8,6,4,4,8,5,NaN,8,NaN,8,2,4,5,5
