Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
02/01/2010,21,5,0,11,NaN,2,15,13,NaN,NaN,NaN,NaN,14,5,NaN,9,11,7,NaN,14,14,17,10,NaN,NaN,NaN,4,10,19,14,10,29,16,10,11,NaN,18,NaN,15,17,13,1,17,3,10
05/01/2010,21,4,1,8,NaN,5,31,15,NaN,NaN,NaN,NaN,23,7,NaN,20,20,13,NaN,21,23,24,29,23,NaN,NaN,4,19,22,19,20,19,20,NaN,30,NaN,11,NaN,26,22,20,2,12,5,17
06/01/2010,11,6,3,9,NaN,4,13,8,NaN,NaN,NaN,NaN,10,8,NaN,9,14,7,NaN,15,18,17,11,15,NaN,NaN,3,11,18,10,15,10,5,NaN,11,NaN,9,NaN,10,17,14,1,14,5,7
23/01/2010,1,8,2,13,NaN,5,16,15,NaN,NaN,NaN,NaN,15,11,NaN,10,21,17,NaN,16,19,19,14,15,NaN,18,8,16,21,20,17,14,NaN,9,16,NaN,17,NaN,15,18,27,6,16,4,16
09/02/2010,1,3,1,8,NaN,2,14,12,NaN,NaN,NaN,NaN,12,5,NaN,2,11,7,NaN,NaN,12,14,7,8,NaN,4,4,11,6,8,NaN,10,NaN,4,8,NaN,10,NaN,8,10,11,0,12,3,6
13/04/2010,1,7,5,15,NaN,NaN,19,19,NaN,NaN,NaN,NaN,14,9,NaN,5,14,17,NaN,13,15,17,10,12,NaN,NaN,10,22,7,12,13,20,16,13,12,NaN,16,NaN,NaN,12,14,12,18,17,14
18/04/2010,1,3,0,7,NaN,NaN,35,32,NaN,NaN,NaN,NaN,37,3,NaN,11,27,19,NaN,27,27,30,24,29,NaN,NaN,6,27,13,24,26,26,39,22,27,NaN,31,NaN,NaN,24,29,8,38,23,16
02/05/2010,11,2,2,6,NaN,NaN,7,7,NaN,NaN,NaN,NaN,4,5,NaN,2,9,6,NaN,11,NaN,14,8,NaN,NaN,NaN,4,8,7,6,10,5,6,5,NaN,NaN,8,NaN,NaN,9,9,5,12,4,6
06/05/2010,11,2,0,6,NaN,NaN,20,16,NaN,NaN,NaN,NaN,9,4,NaN,7,17,16,NaN,14,NaN,17,14,16,NaN,NaN,6,15,8,19,20,15,17,NaN,15,NaN,17,NaN,NaN,11,23,5,15,7,11
08/05/2010,1,4,3,8,NaN,NaN,9,10,NaN,NaN,NaN,NaN,7,6,NaN,6,10,11,NaN,8,NaN,13,6,8,NaN,NaN,7,10,6,11,9,7,9,NaN,7,NaN,11,NaN,NaN,7,13,8,14,6,11
09/05/2010,1,3,2,8,NaN,NaN,11,12,NaN,NaN,NaN,NaN,9,8,NaN,3,12,9,NaN,12,NaN,15,9,10,NaN,NaN,6,12,6,10,10,7,10,NaN,9,NaN,9,NaN,NaN,9,12,8,12,5,8
25/05/2010,1,3,3,6,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN,20,6,NaN,3,15,13,NaN,13,15,18,12,14,NaN,NaN,6,18,8,9,17,27,21,15,13,NaN,18,NaN,NaN,10,16,7,23,11,10
10/06/2010,1,5,2,8,NaN,NaN,16,19,NaN,NaN,NaN,NaN,18,NaN,NaN,11,19,14,NaN,21,19,24,16,19,NaN,NaN,8,18,15,16,NaN,10,17,9,NaN,NaN,12,NaN,12,20,17,10,16,6,10
14/06/2010,1,2,NaN,7,NaN,NaN,10,12,NaN,NaN,NaN,NaN,17,NaN,NaN,4,14,8,NaN,18,16,21,12,16,NaN,NaN,6,11,13,14,NaN,8,12,7,NaN,18,9,NaN,9,17,13,8,13,4,7
31/10/2010,1,NaN,1,32,NaN,NaN,12,16,NaN,NaN,NaN,NaN,NaN,8,NaN,14,25,28,NaN,13,15,12,11,13,NaN,NaN,13,13,9,23,12,9,9,18,NaN,11,22,NaN,11,16,19,15,NaN,17,24
09/11/2010,11,NaN,2,7,NaN,NaN,8,9,NaN,NaN,NaN,NaN,NaN,6,NaN,2,10,7,NaN,11,13,9,6,8,NaN,NaN,6,9,5,4,8,5,6,4,8,10,8,NaN,7,10,7,9,NaN,5,8
21/11/2010,11,NaN,NaN,7,NaN,NaN,14,16,NaN,NaN,NaN,NaN,13,7,NaN,1,14,7,NaN,11,14,NaN,NaN,10,NaN,NaN,NaN,20,9,4,10,13,9,6,9,10,9,NaN,6,13,9,7,NaN,5,6
22/11/2010,11,NaN,1,10,NaN,NaN,16,14,NaN,NaN,NaN,NaN,14,7,NaN,5,16,9,NaN,14,16,NaN,NaN,12,NaN,NaN,NaN,17,4,8,12,17,13,8,11,11,11,NaN,8,14,14,8,NaN,12,8
27/11/2010,21,NaN,2,13,NaN,NaN,20,17,NaN,NaN,NaN,NaN,23,7,NaN,-1,23,9,NaN,26,22,23,17,19,NaN,8,4,16,NaN,10,18,13,19,10,20,16,16,NaN,17,20,17,6,NaN,8,12
22/12/2010,11,NaN,9,93,NaN,NaN,31,32,NaN,NaN,NaN,NaN,17,29,NaN,15,33,26,NaN,23,28,NaN,19,24,NaN,23,13,32,13,25,24,25,25,32,23,15,NaN,NaN,26,21,32,17,NaN,32,20
23/12/2010,1,NaN,7,111,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,9,20,NaN,4,22,15,NaN,11,15,NaN,10,10,NaN,17,8,22,8,13,15,17,12,38,NaN,6,NaN,NaN,13,11,25,11,NaN,18,14
26/01/2011,11,6,1,10,NaN,5,13,10,NaN,NaN,NaN,NaN,9,8,NaN,1,17,8,NaN,14,17,11,10,12,NaN,6,6,14,9,12,13,NaN,NaN,8,15,10,13,NaN,12,12,NaN,10,NaN,8,7
25/03/2011,1,NaN,11,23,NaN,30,57,NaN,NaN,NaN,NaN,NaN,56,20,NaN,25,42,47,NaN,43,51,50,48,49,NaN,43,23,51,24,44,NaN,64,56,38,45,NaN,54,NaN,59,NaN,43,24,NaN,29,45
