Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
16/01/2010,25,13,2,12,NaN,10,10,12,NaN,NaN,NaN,NaN,12,8,NaN,19,13,20,NaN,15,18,17,13,NaN,NaN,NaN,18,11,21,16,13,7,NaN,13,12,NaN,15,NaN,12,17,18,9,21,8,23
17/01/2010,15,10,2,9,NaN,5,12,10,NaN,NaN,NaN,NaN,9,8,NaN,16,11,13,NaN,10,12,13,NaN,NaN,NaN,NaN,9,8,11,13,7,10,NaN,8,9,NaN,13,NaN,13,12,11,3,13,5,15
03/02/2010,15,7,5,18,NaN,15,8,NaN,NaN,NaN,NaN,NaN,8,12,NaN,8,23,21,NaN,15,16,17,NaN,14,NaN,24,NaN,12,18,27,14,5,NaN,20,11,NaN,30,NaN,10,13,23,9,29,8,16
17/03/2010,15,10,5,12,NaN,NaN,19,20,NaN,NaN,NaN,NaN,21,9,NaN,16,20,18,NaN,27,28,30,24,25,NaN,14,15,23,22,20,25,18,NaN,14,26,NaN,17,NaN,NaN,26,22,11,22,9,21
18/03/2010,15,10,5,NaN,NaN,NaN,25,25,NaN,NaN,NaN,NaN,27,8,NaN,23,25,22,NaN,29,30,30,29,28,NaN,19,16,29,32,26,29,19,NaN,19,28,NaN,24,NaN,NaN,30,24,12,25,16,26
21/03/2010,5,5,3,NaN,NaN,NaN,10,9,NaN,NaN,NaN,NaN,9,6,NaN,8,12,15,NaN,NaN,12,15,12,11,NaN,NaN,8,10,10,15,13,6,NaN,10,14,NaN,15,NaN,NaN,12,14,4,17,5,14
22/03/2010,15,7,0,NaN,NaN,NaN,8,9,NaN,NaN,NaN,NaN,9,4,NaN,7,9,11,NaN,NaN,12,14,10,11,NaN,NaN,8,11,16,9,9,9,NaN,5,10,NaN,10,NaN,7,11,9,2,14,4,12
23/03/2010,15,8,2,10,NaN,NaN,9,10,NaN,NaN,NaN,NaN,15,7,NaN,9,8,17,NaN,NaN,16,17,13,14,NaN,NaN,12,12,18,12,11,7,NaN,8,10,NaN,11,NaN,12,19,13,4,14,6,13
05/04/2010,15,6,1,6,NaN,NaN,6,6,NaN,NaN,NaN,NaN,8,4,NaN,4,4,8,NaN,7,9,12,7,7,NaN,NaN,5,7,8,5,7,7,NaN,4,7,NaN,6,NaN,6,7,8,NaN,11,3,8
06/04/2010,25,9,1,7,NaN,NaN,9,13,NaN,NaN,NaN,NaN,12,4,NaN,5,7,10,NaN,12,12,14,9,10,NaN,NaN,8,10,13,8,11,7,NaN,5,11,NaN,9,NaN,NaN,12,12,NaN,14,5,10
