Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
18/01/2010,6,8,0,11,NaN,6,11,9,NaN,NaN,NaN,NaN,8,12,NaN,15,15,14,NaN,14,18,18,NaN,NaN,NaN,NaN,7,12,13,15,11,9,NaN,13,18,NaN,14,NaN,14,17,16,3,16,5,15
01/02/2010,16,5,1,8,NaN,4,7,9,NaN,NaN,NaN,NaN,11,7,NaN,3,13,9,NaN,NaN,13,15,9,13,NaN,11,6,9,11,22,9,16,NaN,7,10,NaN,14,NaN,12,12,12,3,12,3,9
19/03/2010,16,4,2,NaN,NaN,NaN,10,11,NaN,NaN,NaN,NaN,16,6,NaN,9,10,15,NaN,13,13,16,11,11,NaN,9,8,12,12,12,11,7,NaN,9,11,NaN,12,NaN,NaN,12,16,6,14,8,12
01/04/2010,16,2,0,10,NaN,NaN,5,7,NaN,NaN,NaN,NaN,7,5,NaN,3,4,8,NaN,7,9,11,6,NaN,NaN,NaN,4,6,5,4,5,3,NaN,4,7,NaN,8,NaN,5,6,8,NaN,10,4,6
04/04/2010,16,4,2,5,NaN,NaN,6,4,NaN,NaN,NaN,NaN,7,7,NaN,4,7,9,NaN,10,9,14,8,8,NaN,NaN,7,6,12,8,7,4,NaN,4,8,NaN,7,NaN,NaN,9,9,NaN,12,4,8
07/04/2010,16,5,1,8,NaN,NaN,6,7,NaN,NaN,NaN,NaN,21,6,NaN,8,9,10,NaN,22,20,24,15,17,NaN,NaN,7,6,28,11,13,6,NaN,8,14,NaN,14,NaN,NaN,21,17,9,15,6,11
19/04/2010,16,4,2,6,NaN,NaN,42,34,NaN,NaN,NaN,NaN,19,7,NaN,3,23,13,NaN,15,19,21,17,22,NaN,NaN,9,39,8,16,28,17,31,6,25,NaN,16,NaN,NaN,13,24,11,15,12,11
26/04/2010,6,4,1,7,NaN,NaN,8,12,NaN,NaN,NaN,NaN,13,5,NaN,7,12,10,NaN,13,15,15,NaN,11,NaN,NaN,6,12,13,12,11,9,11,5,10,NaN,9,NaN,NaN,13,11,7,13,3,10
29/04/2010,16,4,0,6,NaN,NaN,12,11,NaN,NaN,NaN,NaN,23,6,NaN,10,19,11,NaN,23,NaN,27,22,24,NaN,NaN,6,11,23,NaN,17,10,36,6,NaN,NaN,10,NaN,NaN,23,15,7,13,4,11
30/04/2010,26,3,2,6,NaN,NaN,7,8,NaN,NaN,NaN,NaN,8,6,NaN,9,10,12,NaN,10,NaN,14,8,NaN,NaN,NaN,6,7,9,10,8,6,9,6,NaN,NaN,13,NaN,NaN,11,11,5,15,6,10
