Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
10/10/2010,12,17,25,26,NaN,NaN,30,30,NaN,NaN,NaN,NaN,22,30,NaN,24,34,32,NaN,26,29,28,NaN,NaN,NaN,NaN,29,30,19,37,36,24,25,29,NaN,20,30,NaN,28,26,31,31,NaN,25,30
20/11/2010,12,NaN,2,17,NaN,NaN,16,18,NaN,NaN,NaN,NaN,15,8,NaN,12,23,19,NaN,20,25,NaN,NaN,22,NaN,NaN,NaN,17,14,24,18,12,16,12,21,14,17,NaN,12,18,25,14,NaN,19,20
29/11/2010,12,NaN,1,10,NaN,NaN,NaN,32,NaN,NaN,NaN,NaN,17,6,NaN,5,28,13,NaN,16,20,12,14,15,NaN,16,7,32,NaN,15,26,18,16,22,18,10,24,NaN,19,13,25,8,NaN,27,13
30/11/2010,12,NaN,2,7,NaN,NaN,16,16,NaN,NaN,NaN,NaN,30,8,NaN,0,14,6,NaN,12,16,NaN,11,13,NaN,4,5,16,NaN,3,12,15,19,5,15,11,9,NaN,14,13,8,7,NaN,NaN,7
24/10/2012,2,9,3,10,8,2,33,22,NaN,NaN,NaN,NaN,61,6,NaN,9,12,13,NaN,52,62,48,49,53,NaN,5,7,18,35,7,33,29,49,NaN,44,52,8,NaN,49,38,11,4,5,7,6
25/09/2013,12,4,NaN,28,37,NaN,37,34,NaN,NaN,NaN,NaN,50,5,NaN,37,36,30,NaN,52,56,45,55,62,49,43,12,NaN,NaN,39,38,25,17,38,45,38,46,NaN,39,40,45,8,34,23,22
12/10/2013,2,7,NaN,NaN,7,NaN,9,10,NaN,NaN,NaN,NaN,10,6,NaN,13,6,7,NaN,14,12,NaN,10,15,11,7,3,8,12,7,10,8,13,7,6,12,9,NaN,12,10,7,6,7,10,9
15/10/2013,2,10,NaN,10,15,NaN,22,14,NaN,NaN,NaN,NaN,11,8,6,11,15,13,NaN,19,15,NaN,15,18,14,14,8,11,10,11,17,10,17,11,15,17,16,NaN,19,14,19,10,11,9,12
15/09/2014,12,15,9,16,20,10,NaN,14,NaN,NaN,20,NaN,NaN,NaN,10,14,22,16,15,20,NaN,14,17,NaN,NaN,16,NaN,13,14,16,12,16,22,16,13,13,18,18,19,NaN,19,NaN,15,12,12
17/09/2014,12,16,13,27,26,18,NaN,29,NaN,NaN,28,NaN,NaN,NaN,14,23,29,28,29,44,47,38,42,NaN,NaN,26,NaN,25,41,31,34,30,42,25,37,37,32,30,41,NaN,29,NaN,31,28,16
18/09/2014,12,19,15,28,34,31,NaN,37,NaN,NaN,36,NaN,NaN,NaN,20,30,37,34,32,44,50,40,40,NaN,NaN,37,NaN,37,35,35,35,39,43,36,32,45,41,40,43,NaN,41,NaN,38,34,31
14/10/2014,2,6,6,8,9,NaN,NaN,7,NaN,NaN,7,NaN,NaN,NaN,6,5,11,7,7,13,12,10,8,13,NaN,5,7,6,8,4,8,8,4,5,6,8,9,6,9,NaN,7,NaN,7,4,6
14/09/2016,12,4,2,7,34,15,22,19,28,14,41,NaN,NaN,4,5,30,39,22,45,21,20,19,19,19,15,25,13,19,NaN,39,NaN,13,13,20,16,20,23,27,NaN,18,28,NaN,19,22,19
23/10/2016,12,4,1,8,9,2,12,9,5,12,7,7,21,3,5,4,10,2,8,15,15,15,12,15,12,3,4,9,7,5,NaN,13,19,5,12,15,4,5,NaN,15,5,5,5,6,4
24/10/2016,12,4,1,13,10,3,21,15,7,16,9,19,25,4,3,10,10,4,8,17,19,16,16,19,16,7,6,12,12,8,NaN,12,24,6,17,17,6,9,NaN,17,8,6,NaN,6,6
