Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
24/09/2010,18,4,0,6,NaN,NaN,6,7,NaN,NaN,NaN,NaN,6,6,NaN,NaN,13,6,NaN,9,12,10,8,10,NaN,NaN,5,12,6,10,11,4,6,3,6,6,7,NaN,9,9,NaN,8,NaN,2,6
15/10/2010,18,3,1,9,NaN,NaN,20,15,NaN,NaN,NaN,NaN,13,8,NaN,6,21,14,NaN,12,14,13,12,12,NaN,NaN,9,20,6,14,18,19,17,12,NaN,9,15,NaN,18,11,19,10,NaN,5,13
19/10/2010,18,2,0,7,NaN,NaN,6,8,NaN,NaN,NaN,NaN,6,6,NaN,2,12,9,NaN,6,8,9,NaN,7,NaN,NaN,6,7,5,6,8,5,5,5,NaN,5,7,NaN,8,7,8,8,NaN,3,7
23/11/2010,18,NaN,1,10,NaN,NaN,21,13,NaN,NaN,NaN,NaN,10,10,NaN,2,16,10,NaN,12,13,8,NaN,10,NaN,NaN,5,16,4,9,13,17,12,11,12,6,14,NaN,9,9,16,8,NaN,8,8
24/11/2010,28,NaN,0,8,NaN,NaN,25,11,NaN,NaN,NaN,NaN,19,7,NaN,2,22,9,NaN,17,20,17,16,19,NaN,NaN,5,17,NaN,12,17,14,16,14,19,11,30,NaN,13,13,22,8,NaN,11,7
25/11/2010,18,NaN,1,9,NaN,NaN,11,NaN,NaN,NaN,NaN,NaN,17,7,NaN,NaN,15,7,NaN,13,17,11,11,13,NaN,5,4,11,NaN,6,14,15,16,8,16,7,12,NaN,13,10,14,7,NaN,5,7
18/09/2011,18,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,8,NaN,NaN,3,9,NaN,7,8,NaN,7,7,NaN,5,6,NaN,5,8,4,5,6,5,6,7,NaN,NaN,6,6,10,9,NaN,3,13
21/09/2012,8,5,0,7,8,NaN,8,8,NaN,NaN,NaN,NaN,14,1,NaN,4,10,9,NaN,8,11,9,8,7,NaN,8,6,7,10,8,7,10,11,5,6,10,11,NaN,16,NaN,10,2,5,5,4
08/10/2012,8,6,2,10,21,NaN,12,13,NaN,NaN,NaN,NaN,12,6,NaN,18,18,34,NaN,14,18,15,14,14,NaN,26,11,13,19,28,13,10,10,23,12,14,29,NaN,12,10,27,10,20,25,26
14/10/2012,28,6,0,7,9,9,16,10,NaN,NaN,NaN,NaN,11,4,NaN,7,12,13,NaN,9,11,9,7,10,NaN,17,8,7,13,12,NaN,9,8,13,6,10,21,NaN,13,5,17,5,18,10,7
