Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
31/10/2010,1,NaN,1,32,NaN,NaN,12,16,NaN,NaN,NaN,NaN,NaN,8,NaN,14,25,28,NaN,13,15,12,11,13,NaN,NaN,13,13,9,23,12,9,9,18,NaN,11,22,NaN,11,16,19,15,NaN,17,24
09/11/2010,11,NaN,2,7,NaN,NaN,8,9,NaN,NaN,NaN,NaN,NaN,6,NaN,2,10,7,NaN,11,13,9,6,8,NaN,NaN,6,9,5,4,8,5,6,4,8,10,8,NaN,7,10,7,9,NaN,5,8
21/11/2010,11,NaN,NaN,7,NaN,NaN,14,16,NaN,NaN,NaN,NaN,13,7,NaN,1,14,7,NaN,11,14,NaN,NaN,10,NaN,NaN,NaN,20,9,4,10,13,9,6,9,10,9,NaN,6,13,9,7,NaN,5,6
22/11/2010,11,NaN,1,10,NaN,NaN,16,14,NaN,NaN,NaN,NaN,14,7,NaN,5,16,9,NaN,14,16,NaN,NaN,12,NaN,NaN,NaN,17,4,8,12,17,13,8,11,11,11,NaN,8,14,14,8,NaN,12,8
27/11/2010,21,NaN,2,13,NaN,NaN,20,17,NaN,NaN,NaN,NaN,23,7,NaN,-1,23,9,NaN,26,22,23,17,19,NaN,8,4,16,NaN,10,18,13,19,10,20,16,16,NaN,17,20,17,6,NaN,8,12
26/09/2012,21,7,NaN,7,5,NaN,4,5,NaN,NaN,NaN,NaN,7,5,NaN,5,6,11,NaN,7,10,7,5,8,NaN,10,8,4,8,5,7,6,5,7,3,6,12,NaN,8,1,10,5,7,7,5
25/10/2012,1,6,3,9,4,1,9,10,NaN,NaN,NaN,NaN,22,7,NaN,5,6,11,NaN,10,16,10,7,9,NaN,7,6,6,7,4,6,34,22,NaN,5,11,7,NaN,23,5,9,4,4,7,5
26/10/2012,1,3,0,7,5,-1,4,6,NaN,NaN,NaN,NaN,8,4,NaN,4,7,8,NaN,5,10,4,3,5,NaN,6,4,5,7,4,6,8,6,NaN,1,7,6,NaN,6,2,8,2,5,5,4
27/11/2012,11,4,-1,5,8,-2,4,NaN,NaN,NaN,NaN,NaN,11,4,NaN,4,6,7,NaN,8,13,7,6,9,NaN,5,4,4,7,5,NaN,7,6,3,3,10,4,NaN,6,NaN,7,3,4,3,3
06/09/2013,21,5,NaN,6,6,NaN,6,7,NaN,NaN,NaN,NaN,9,5,NaN,15,6,5,NaN,15,14,17,NaN,13,11,8,5,8,24,11,10,2,NaN,6,7,24,11,NaN,10,23,13,4,7,4,7
13/10/2013,11,9,NaN,6,7,NaN,10,8,NaN,NaN,NaN,NaN,6,6,NaN,6,7,7,NaN,12,9,NaN,8,10,9,6,5,8,6,5,9,9,12,7,5,11,9,NaN,10,9,10,8,8,6,7
14/10/2013,11,10,NaN,11,8,NaN,8,9,NaN,NaN,NaN,NaN,7,9,8,7,7,7,NaN,12,9,NaN,8,11,9,7,6,5,12,5,9,6,11,7,5,12,11,NaN,11,7,9,8,7,6,9
21/11/2013,11,4,2,3,9,NaN,10,7,NaN,NaN,NaN,NaN,4,7,8,9,8,6,10,10,9,7,8,9,8,5,2,9,6,7,10,6,10,4,3,7,10,7,8,6,11,5,6,4,8
13/10/2014,11,5,5,7,8,NaN,NaN,7,NaN,NaN,6,NaN,NaN,NaN,8,6,9,7,6,7,9,3,5,8,NaN,6,6,7,6,4,2,8,2,7,0,5,11,9,6,NaN,7,NaN,8,5,7
17/11/2014,11,NaN,7,9,14,5,12,9,NaN,NaN,13,NaN,6,NaN,6,6,14,8,10,12,15,7,11,14,9,8,8,8,13,NaN,8,9,5,NaN,7,8,13,10,12,NaN,11,NaN,11,6,8
21/11/2016,21,5,2,21,8,3,8,6,6,3,8,34,5,12,9,6,7,4,7,5,11,8,7,9,4,1,6,6,7,7,NaN,3,6,4,5,7,4,5,NaN,NaN,4,6,8,3,8
