Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
15/09/2010,17,4,NaN,7,NaN,NaN,7,10,NaN,NaN,NaN,NaN,7,NaN,NaN,4,11,8,NaN,8,9,10,7,7,NaN,NaN,4,12,5,7,8,6,6,5,8,6,7,NaN,10,8,7,7,NaN,3,8
16/09/2010,17,5,NaN,7,NaN,NaN,5,7,NaN,NaN,NaN,NaN,5,7,NaN,NaN,10,7,NaN,7,9,9,5,6,NaN,NaN,4,11,5,6,8,5,6,5,6,4,8,NaN,9,7,9,7,NaN,4,6
17/09/2010,7,5,NaN,7,NaN,NaN,6,7,NaN,NaN,NaN,NaN,8,8,NaN,NaN,11,8,NaN,9,11,10,7,8,NaN,NaN,6,13,8,7,9,8,7,4,7,6,9,NaN,11,8,9,8,NaN,2,8
18/10/2010,17,4,2,8,NaN,NaN,14,12,NaN,NaN,NaN,NaN,16,7,NaN,7,16,11,NaN,11,13,13,13,13,NaN,NaN,8,10,9,7,13,10,13,5,NaN,10,10,NaN,17,12,7,8,NaN,4,9
21/10/2010,17,3,0,7,NaN,NaN,14,11,NaN,NaN,NaN,NaN,13,5,NaN,6,13,10,NaN,9,13,11,NaN,12,NaN,NaN,5,12,7,5,10,11,10,4,NaN,6,10,NaN,18,10,7,7,NaN,3,8
06/11/2010,27,NaN,3,10,NaN,NaN,25,24,NaN,NaN,NaN,NaN,NaN,11,NaN,42,27,44,NaN,82,21,30,NaN,37,NaN,NaN,18,32,46,63,17,8,19,63,NaN,25,38,NaN,34,47,53,22,NaN,12,26
14/09/2011,17,4,0,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,10,7,NaN,NaN,3,6,NaN,8,10,NaN,9,10,NaN,7,4,NaN,5,NaN,5,7,8,5,8,9,NaN,NaN,NaN,10,8,8,NaN,4,8
07/10/2011,7,4,1,4,4,NaN,7,NaN,NaN,NaN,NaN,NaN,6,9,NaN,5,3,7,NaN,8,9,6,5,7,NaN,4,5,NaN,3,8,3,4,7,3,4,6,4,NaN,8,5,9,8,NaN,3,NaN
11/10/2011,17,8,0,4,NaN,5,8,NaN,NaN,NaN,NaN,NaN,8,8,NaN,5,5,6,NaN,9,9,3,7,7,NaN,5,4,NaN,8,6,5,4,7,5,5,7,4,NaN,9,6,8,7,NaN,3,NaN
18/10/2011,17,2,0,4,3,3,7,NaN,NaN,NaN,NaN,NaN,7,7,NaN,5,3,NaN,NaN,10,8,NaN,5,7,NaN,2,4,NaN,3,4,3,3,8,4,4,5,3,NaN,6,4,7,5,NaN,3,NaN
