Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
04/09/2010,14,7,NaN,19,NaN,NaN,18,22,NaN,NaN,NaN,NaN,16,17,NaN,6,14,16,NaN,12,12,14,11,12,NaN,NaN,12,23,10,11,14,24,15,14,14,9,13,NaN,19,10,14,14,NaN,12,12
05/09/2010,14,7,NaN,21,NaN,NaN,18,21,NaN,NaN,NaN,NaN,15,12,NaN,6,16,12,NaN,15,15,16,15,15,NaN,NaN,9,25,8,14,18,21,16,11,15,13,13,NaN,20,15,13,12,NaN,12,12
21/09/2010,14,6,NaN,13,NaN,NaN,13,12,NaN,NaN,NaN,NaN,13,10,NaN,12,16,20,NaN,14,15,13,12,14,NaN,NaN,11,17,14,9,16,14,12,10,13,14,12,NaN,18,14,16,14,NaN,7,15
28/09/2010,14,14,8,12,NaN,NaN,14,16,NaN,NaN,NaN,NaN,17,14,NaN,17,23,27,NaN,23,25,23,20,23,NaN,NaN,21,NaN,14,12,21,9,11,17,13,18,22,NaN,18,20,NaN,22,NaN,18,25
30/09/2010,14,7,1,10,NaN,NaN,9,9,NaN,NaN,NaN,NaN,7,11,NaN,7,12,14,NaN,9,13,11,8,12,NaN,NaN,11,18,10,13,9,8,7,10,6,7,15,NaN,12,10,13,11,NaN,7,11
01/10/2010,24,9,3,8,NaN,NaN,5,7,NaN,NaN,NaN,NaN,5,9,NaN,5,10,13,NaN,6,9,8,6,7,NaN,NaN,9,14,6,9,8,6,5,5,5,4,9,NaN,8,6,8,12,NaN,4,10
02/10/2010,14,9,2,7,NaN,NaN,7,12,NaN,NaN,NaN,NaN,6,7,NaN,7,11,15,NaN,8,11,9,8,8,NaN,NaN,9,16,7,10,9,9,5,6,5,4,11,NaN,10,7,10,10,NaN,5,12
07/10/2010,4,9,3,11,NaN,NaN,8,10,NaN,NaN,NaN,NaN,15,9,NaN,8,12,17,NaN,14,17,14,NaN,NaN,NaN,NaN,11,11,12,11,12,9,11,8,NaN,8,11,NaN,14,11,12,13,NaN,7,13
16/11/2010,14,NaN,1,16,NaN,NaN,22,18,NaN,NaN,NaN,NaN,19,10,NaN,25,24,33,NaN,33,47,NaN,32,45,NaN,NaN,19,19,22,26,31,13,17,15,28,18,23,NaN,19,21,24,18,NaN,9,31
17/11/2010,24,NaN,10,21,NaN,NaN,8,10,NaN,NaN,NaN,NaN,12,16,NaN,18,21,30,NaN,19,20,NaN,17,17,NaN,NaN,NaN,10,18,21,15,7,7,14,15,18,17,NaN,4,21,21,18,NaN,16,26
19/11/2010,14,NaN,4,37,NaN,NaN,16,19,NaN,NaN,NaN,NaN,11,17,NaN,21,17,24,NaN,19,25,NaN,NaN,23,NaN,NaN,NaN,18,15,14,18,12,16,16,26,10,25,NaN,15,15,17,29,NaN,12,28
10/09/2011,24,11,2,NaN,NaN,NaN,11,NaN,NaN,NaN,NaN,NaN,9,8,NaN,NaN,6,12,NaN,8,11,NaN,10,10,NaN,10,10,NaN,10,8,6,9,10,6,10,9,NaN,NaN,9,8,11,14,NaN,4,9
16/09/2011,24,4,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,10,NaN,NaN,10,15,NaN,14,18,NaN,15,16,NaN,18,8,NaN,15,16,10,NaN,11,14,13,17,NaN,NaN,NaN,20,18,11,NaN,13,14
14/10/2011,14,18,12,7,13,18,21,NaN,NaN,NaN,NaN,NaN,14,18,NaN,12,14,24,NaN,17,16,NaN,15,17,NaN,21,21,NaN,8,16,15,18,14,21,13,14,19,NaN,16,11,27,22,NaN,19,18
23/10/2011,14,18,8,11,11,12,15,12,NaN,NaN,NaN,NaN,16,14,NaN,17,12,20,NaN,17,19,13,16,17,NaN,14,19,NaN,18,16,13,12,16,15,13,15,13,NaN,15,16,18,22,NaN,13,23
26/10/2011,24,11,1,7,7,8,10,6,NaN,NaN,NaN,NaN,7,8,NaN,10,7,17,NaN,12,11,5,14,11,NaN,10,15,NaN,5,10,8,4,8,10,8,7,9,NaN,10,6,14,17,NaN,6,18
02/11/2011,14,12,7,9,8,9,10,11,NaN,NaN,NaN,NaN,11,12,NaN,12,8,20,NaN,13,14,12,12,14,NaN,10,17,8,14,12,10,9,11,10,10,9,9,NaN,11,11,16,19,NaN,10,13
03/11/2011,14,19,6,7,8,11,12,10,NaN,NaN,NaN,NaN,11,13,NaN,13,8,19,NaN,12,15,12,13,16,NaN,12,18,6,15,13,10,6,12,11,11,9,11,NaN,12,11,15,21,NaN,11,14
09/11/2011,14,27,15,8,13,16,NaN,12,NaN,NaN,NaN,NaN,12,NaN,NaN,21,12,29,NaN,16,18,13,17,18,NaN,14,30,12,13,23,12,6,14,NaN,11,12,15,NaN,15,12,23,30,NaN,17,25
10/11/2011,14,24,8,10,23,19,NaN,17,NaN,NaN,NaN,NaN,24,NaN,NaN,26,19,33,NaN,28,34,26,28,33,NaN,20,27,17,24,NaN,20,11,18,NaN,21,28,20,NaN,21,27,31,28,NaN,20,26
11/11/2011,14,22,15,23,22,25,NaN,17,NaN,NaN,NaN,NaN,21,NaN,NaN,28,24,35,NaN,23,26,19,25,26,NaN,26,27,14,31,NaN,18,13,18,NaN,15,22,24,NaN,18,25,36,29,NaN,26,30
12/11/2011,4,15,2,12,12,12,14,11,NaN,NaN,NaN,NaN,29,10,NaN,21,10,21,NaN,27,27,26,26,29,NaN,18,18,10,31,NaN,15,11,22,NaN,15,28,12,NaN,19,30,18,21,NaN,10,19
16/11/2011,14,23,19,33,36,37,33,32,NaN,NaN,NaN,NaN,26,29,NaN,38,35,44,NaN,33,38,29,40,39,NaN,36,37,30,35,NaN,35,23,28,NaN,28,30,36,NaN,29,33,50,40,NaN,40,41
17/11/2011,14,NaN,8,8,13,16,12,10,NaN,NaN,NaN,NaN,17,17,NaN,25,13,27,NaN,23,24,19,23,23,NaN,14,26,8,29,21,16,6,16,NaN,15,23,16,NaN,14,23,22,27,NaN,13,22
19/11/2011,14,NaN,10,14,23,20,33,19,NaN,NaN,NaN,NaN,28,20,NaN,23,21,32,NaN,29,31,26,30,32,NaN,23,26,17,17,26,24,19,21,NaN,29,21,21,NaN,21,32,32,26,NaN,23,22
10/10/2012,4,10,8,19,11,NaN,11,17,NaN,NaN,NaN,NaN,14,16,NaN,14,12,20,NaN,15,14,13,10,12,NaN,12,17,17,13,10,13,13,11,14,9,11,13,NaN,14,5,14,11,12,16,10
24/11/2012,4,11,2,19,13,8,17,14,NaN,NaN,NaN,NaN,20,7,NaN,17,11,23,NaN,16,25,11,14,20,NaN,18,17,9,17,18,NaN,13,9,14,12,16,12,NaN,18,NaN,11,9,14,12,15
27/09/2013,4,14,NaN,25,9,NaN,11,13,NaN,NaN,NaN,NaN,15,17,NaN,9,7,8,NaN,16,14,16,13,16,13,13,12,8,NaN,7,NaN,12,11,10,10,17,12,NaN,15,14,13,9,9,10,8
02/10/2013,14,20,NaN,20,18,NaN,14,14,NaN,NaN,NaN,NaN,20,22,NaN,22,19,NaN,29,28,25,26,27,26,17,23,18,11,19,28,NaN,6,14,21,14,28,25,NaN,17,24,29,19,22,24,23
03/10/2013,24,25,NaN,15,14,NaN,14,14,NaN,NaN,NaN,NaN,14,15,NaN,23,17,NaN,22,21,22,21,21,23,19,17,23,11,18,23,NaN,7,19,14,15,20,18,NaN,18,16,19,26,14,13,27
18/10/2013,14,4,NaN,8,8,NaN,10,11,NaN,NaN,NaN,NaN,9,6,5,18,9,18,11,14,12,NaN,12,13,8,16,8,9,15,13,11,6,13,15,6,13,17,NaN,13,10,17,9,14,11,14
