Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
06/09/2010,23,11,NaN,16,NaN,NaN,10,12,NaN,NaN,NaN,NaN,10,10,NaN,10,20,17,NaN,16,18,18,16,15,NaN,NaN,13,15,12,11,14,9,10,10,12,14,15,NaN,11,17,17,17,NaN,12,16
27/09/2010,3,8,2,13,NaN,NaN,16,13,NaN,NaN,NaN,NaN,7,9,NaN,8,16,11,NaN,9,12,12,7,10,NaN,NaN,9,NaN,12,6,13,8,9,8,8,8,10,NaN,13,9,NaN,11,NaN,7,10
08/10/2010,13,12,10,22,NaN,NaN,32,34,NaN,NaN,NaN,NaN,36,17,NaN,33,41,36,NaN,38,43,40,36,NaN,NaN,NaN,25,32,31,37,39,21,33,28,NaN,30,25,NaN,33,36,34,21,NaN,27,36
09/10/2010,13,18,18,23,NaN,NaN,39,41,NaN,NaN,NaN,NaN,33,26,NaN,32,39,34,NaN,35,36,37,NaN,NaN,NaN,NaN,31,37,35,NaN,42,32,33,26,NaN,28,30,NaN,36,35,34,33,NaN,26,35
08/11/2011,13,21,19,18,27,25,27,24,NaN,NaN,NaN,NaN,20,31,NaN,48,30,56,NaN,38,40,37,35,39,NaN,26,45,23,57,49,26,22,28,NaN,25,39,24,NaN,27,43,32,49,NaN,40,55
13/11/2011,3,15,6,19,28,19,28,25,NaN,NaN,NaN,NaN,32,14,NaN,29,28,30,NaN,40,43,38,39,43,NaN,19,25,21,34,NaN,28,16,24,NaN,30,38,18,NaN,25,41,34,26,NaN,25,28
14/11/2011,3,17,19,25,26,28,33,31,NaN,NaN,NaN,NaN,31,26,NaN,25,23,33,NaN,31,36,27,35,37,NaN,23,29,30,25,NaN,27,20,26,NaN,25,30,23,NaN,24,35,38,30,NaN,31,26
15/11/2011,13,12,16,23,27,24,39,29,NaN,NaN,NaN,NaN,38,27,NaN,25,27,32,NaN,38,41,37,38,42,NaN,19,24,28,25,NaN,32,27,37,NaN,32,36,22,NaN,38,39,32,25,NaN,27,28
23/09/2012,13,8,4,11,6,NaN,9,7,NaN,NaN,NaN,NaN,11,4,NaN,9,7,13,NaN,11,14,8,7,10,NaN,6,8,6,9,5,9,8,10,8,10,9,9,NaN,9,NaN,8,5,7,8,5
21/10/2012,3,12,4,24,13,12,13,12,NaN,NaN,NaN,NaN,12,11,NaN,NaN,10,27,NaN,5,11,6,6,6,NaN,14,20,10,8,19,9,12,7,16,5,7,16,NaN,11,2,17,16,16,23,21
22/10/2012,3,13,5,15,9,3,11,9,NaN,NaN,NaN,NaN,36,8,NaN,NaN,11,13,NaN,24,26,22,18,24,NaN,6,11,7,23,10,14,12,22,NaN,16,21,9,NaN,23,15,12,7,8,11,6
24/09/2013,13,7,NaN,33,27,NaN,32,30,NaN,NaN,NaN,NaN,25,14,NaN,22,25,30,NaN,38,38,34,32,40,26,27,24,NaN,NaN,30,20,15,12,26,19,31,31,NaN,24,32,32,22,27,26,28
26/09/2013,3,6,NaN,12,7,NaN,23,25,NaN,NaN,NaN,NaN,18,5,NaN,5,8,5,NaN,20,17,20,16,18,20,9,8,NaN,NaN,4,NaN,26,14,8,16,18,10,NaN,31,14,8,7,7,7,5
28/09/2013,13,18,NaN,25,17,NaN,26,26,NaN,NaN,NaN,NaN,22,17,NaN,11,17,14,NaN,22,20,22,21,23,19,17,17,19,NaN,16,27,19,12,20,19,21,18,NaN,24,17,23,14,16,20,12
29/09/2013,13,9,NaN,16,11,NaN,17,15,NaN,NaN,NaN,NaN,20,8,NaN,9,11,9,NaN,18,16,18,15,17,15,13,9,11,10,10,NaN,21,11,13,13,18,16,NaN,22,13,15,8,14,13,8
30/09/2013,13,10,NaN,19,16,NaN,22,23,NaN,NaN,NaN,NaN,17,10,NaN,12,15,12,NaN,21,19,22,18,21,18,16,10,19,13,13,NaN,22,11,17,16,22,21,NaN,23,17,16,11,19,14,13
01/10/2013,13,14,NaN,29,26,NaN,33,34,NaN,NaN,NaN,NaN,21,15,NaN,17,27,19,25,29,28,28,29,30,26,26,11,29,18,22,NaN,9,14,25,25,29,28,NaN,29,24,29,14,24,27,18
14/09/2014,3,17,12,19,15,11,NaN,13,NaN,NaN,13,NaN,NaN,NaN,16,13,17,14,14,17,NaN,12,16,NaN,NaN,18,NaN,12,13,12,13,18,21,15,12,11,21,16,17,NaN,17,NaN,17,12,14
16/09/2014,13,13,11,21,27,21,NaN,30,NaN,NaN,27,NaN,NaN,NaN,12,19,29,27,23,41,45,35,37,NaN,NaN,26,NaN,25,32,22,23,24,31,27,30,38,31,31,29,NaN,28,NaN,29,27,19
15/10/2014,13,7,5,8,14,NaN,NaN,16,NaN,NaN,13,NaN,NaN,NaN,4,6,15,7,9,15,17,11,15,19,NaN,8,6,16,10,9,11,8,10,7,10,9,12,10,15,NaN,12,NaN,10,8,6
11/11/2014,23,14,10,9,9,9,6,6,NaN,NaN,9,NaN,7,NaN,10,9,11,13,8,11,11,7,9,12,7,10,13,4,11,13,5,6,5,9,4,8,13,11,7,8,8,NaN,13,8,12
18/11/2014,3,NaN,8,14,19,12,24,19,NaN,NaN,18,NaN,14,NaN,10,11,19,13,16,19,21,14,16,21,17,14,11,17,16,10,19,12,13,NaN,12,12,19,NaN,21,NaN,14,NaN,18,13,12
19/11/2014,13,11,8,20,28,17,21,19,NaN,NaN,29,NaN,24,NaN,8,11,28,17,23,34,36,24,33,39,32,21,9,18,21,21,27,11,14,18,26,29,23,NaN,20,31,24,NaN,24,21,13
27/11/2014,13,12,10,30,18,18,19,23,NaN,NaN,17,NaN,12,NaN,13,19,18,20,15,20,22,13,18,22,16,16,16,20,16,13,11,18,14,18,12,13,22,22,19,15,19,11,24,19,20
28/11/2014,13,16,9,18,23,16,18,20,NaN,NaN,23,NaN,17,NaN,11,21,24,22,22,24,26,15,22,27,22,17,21,16,23,21,17,15,13,16,18,21,22,32,20,22,21,17,23,16,20
10/10/2015,3,NaN,5,17,10,14,12,11,9,NaN,NaN,NaN,18,NaN,11,12,8,19,10,9,10,10,7,9,9,17,15,12,10,10,14,18,14,17,NaN,11,14,NaN,17,11,NaN,14,15,15,9
11/10/2015,3,NaN,6,14,14,14,21,20,15,NaN,NaN,NaN,29,9,10,15,15,15,17,24,22,26,21,23,22,18,12,21,21,15,22,27,26,19,NaN,24,16,17,25,26,19,11,17,17,12
27/10/2015,13,17,14,23,20,23,15,16,30,NaN,24,NaN,18,21,21,26,19,33,25,20,21,21,21,22,16,24,30,19,26,29,20,10,15,28,17,18,23,NaN,15,23,32,27,25,26,31
