Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
10/09/2010,25,10,NaN,7,NaN,NaN,10,12,NaN,NaN,NaN,NaN,10,3,NaN,6,15,11,NaN,9,14,13,NaN,11,NaN,NaN,7,15,11,15,13,9,10,6,10,8,7,NaN,13,10,9,9,NaN,3,10
19/09/2010,15,5,NaN,6,NaN,NaN,5,6,NaN,NaN,NaN,NaN,8,9,NaN,4,10,7,NaN,8,8,10,7,6,NaN,NaN,8,11,6,8,9,8,6,3,6,6,6,NaN,10,8,8,9,NaN,2,8
29/09/2010,25,10,5,9,NaN,NaN,7,8,NaN,NaN,NaN,NaN,10,13,NaN,11,11,19,NaN,11,12,11,10,10,NaN,NaN,14,NaN,16,26,11,8,6,8,7,13,13,NaN,10,13,NaN,15,NaN,6,16
04/10/2010,15,9,1,8,NaN,NaN,11,9,NaN,NaN,NaN,NaN,7,6,NaN,15,14,18,NaN,14,16,16,12,13,NaN,NaN,10,16,13,13,13,7,6,10,8,10,15,NaN,11,14,9,10,NaN,5,14
05/10/2010,15,8,4,8,NaN,NaN,9,11,NaN,NaN,NaN,NaN,6,8,NaN,6,13,13,NaN,8,12,11,8,9,NaN,NaN,11,18,8,8,13,9,8,8,7,6,10,NaN,11,8,13,12,NaN,6,12
06/10/2010,15,5,1,9,NaN,NaN,6,8,NaN,NaN,NaN,NaN,6,6,NaN,5,12,11,NaN,6,9,9,NaN,NaN,NaN,NaN,9,12,5,7,9,5,4,6,5,3,9,NaN,8,6,NaN,9,NaN,4,9
26/10/2010,15,NaN,0,7,NaN,NaN,7,9,NaN,NaN,NaN,NaN,NaN,5,NaN,14,13,14,NaN,9,11,8,13,10,NaN,NaN,11,8,9,6,10,6,9,9,NaN,6,11,NaN,13,9,10,12,NaN,NaN,12
28/10/2010,15,NaN,1,9,NaN,NaN,7,10,NaN,NaN,NaN,NaN,NaN,6,NaN,5,14,12,NaN,8,12,9,8,9,NaN,NaN,9,9,8,8,8,8,8,7,NaN,8,9,NaN,10,8,8,10,NaN,3,10
30/10/2010,15,NaN,1,24,NaN,NaN,6,8,NaN,NaN,NaN,NaN,NaN,5,NaN,5,12,15,NaN,7,11,7,8,8,NaN,NaN,8,7,6,8,9,6,4,8,NaN,4,9,NaN,8,6,9,9,NaN,7,10
01/11/2010,15,NaN,2,22,NaN,NaN,20,17,NaN,NaN,NaN,NaN,NaN,8,NaN,11,29,14,NaN,22,23,19,19,20,NaN,NaN,12,15,14,21,21,11,17,11,NaN,16,17,NaN,20,17,26,13,NaN,13,15
07/11/2010,5,NaN,3,7,NaN,NaN,21,18,NaN,NaN,NaN,NaN,NaN,7,NaN,7,34,26,NaN,75,42,53,34,34,NaN,NaN,6,21,28,28,23,8,24,15,NaN,29,36,NaN,18,38,26,10,NaN,24,21
15/11/2010,5,NaN,2,22,NaN,NaN,20,22,NaN,NaN,NaN,NaN,19,9,NaN,14,22,26,NaN,34,40,21,25,41,NaN,NaN,13,22,19,19,23,20,25,21,27,15,25,NaN,NaN,31,19,12,NaN,10,19
02/09/2011,15,11,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28,12,NaN,NaN,12,17,NaN,22,23,NaN,19,23,NaN,16,12,NaN,18,13,12,NaN,28,12,16,30,18,NaN,22,27,17,15,NaN,9,NaN
03/09/2011,15,8,0,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN,NaN,14,6,NaN,NaN,9,14,NaN,15,18,NaN,18,19,NaN,13,8,NaN,19,11,12,15,16,8,16,18,13,NaN,15,17,15,11,NaN,4,16
