Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/09/2010,0,15,NaN,NaN,NaN,NaN,17,16,NaN,NaN,NaN,NaN,9,13,NaN,9,20,15,NaN,14,15,15,13,15,NaN,NaN,18,20,14,NaN,19,11,10,NaN,17,10,NaN,NaN,18,10,24,20,NaN,19,13
02/09/2010,0,14,NaN,NaN,NaN,NaN,19,16,NaN,NaN,NaN,NaN,19,11,NaN,8,21,16,NaN,15,17,17,14,15,NaN,NaN,7,22,13,NaN,17,18,15,23,16,10,NaN,NaN,21,14,24,11,NaN,29,14
03/09/2010,0,12,NaN,32,NaN,NaN,20,21,NaN,NaN,NaN,NaN,12,17,NaN,6,13,17,NaN,8,10,11,8,10,NaN,NaN,16,25,6,13,15,22,12,16,13,4,17,NaN,18,8,15,16,NaN,12,15
07/09/2010,20,15,NaN,8,NaN,NaN,6,6,NaN,NaN,NaN,NaN,7,8,NaN,7,10,13,NaN,9,10,10,9,8,NaN,NaN,10,11,11,NaN,10,4,6,8,8,6,10,NaN,11,8,11,14,NaN,7,12
08/09/2010,20,16,NaN,8,NaN,NaN,8,8,NaN,NaN,NaN,NaN,16,12,NaN,19,15,22,NaN,23,27,24,20,24,NaN,NaN,18,13,20,NaN,13,7,7,14,11,23,16,NaN,10,25,15,20,NaN,8,24
22/09/2010,20,12,NaN,10,NaN,NaN,15,17,NaN,NaN,NaN,NaN,17,10,NaN,16,19,26,NaN,18,18,20,17,18,NaN,NaN,15,21,23,14,17,19,14,16,14,12,21,NaN,19,16,NaN,18,NaN,12,22
23/09/2010,20,5,0,7,NaN,NaN,4,6,NaN,NaN,NaN,NaN,11,7,NaN,7,10,10,NaN,15,15,15,13,14,NaN,NaN,10,10,15,17,10,5,8,6,9,10,9,NaN,11,13,NaN,12,NaN,3,12
25/09/2010,0,3,1,6,NaN,NaN,7,7,NaN,NaN,NaN,NaN,8,6,NaN,0,10,7,NaN,6,8,8,6,7,NaN,NaN,4,NaN,5,6,8,6,6,5,5,4,8,NaN,9,8,NaN,6,NaN,3,6
26/09/2010,0,5,2,11,NaN,NaN,8,7,NaN,NaN,NaN,NaN,7,7,NaN,1,12,8,NaN,7,9,8,6,7,NaN,NaN,6,NaN,5,5,12,8,7,6,8,4,9,NaN,11,6,NaN,8,NaN,4,7
03/10/2010,20,8,1,8,NaN,NaN,8,7,NaN,NaN,NaN,NaN,8,7,NaN,5,11,11,NaN,6,9,9,8,8,NaN,NaN,11,15,7,8,10,9,7,5,6,5,9,NaN,10,8,9,11,NaN,5,12
