Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
12/03/2010,18,2,0,7,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN,18,6,NaN,4,11,10,NaN,19,20,23,14,17,NaN,7,4,15,16,12,18,19,NaN,5,NaN,NaN,10,NaN,NaN,18,13,2,NaN,6,8
20/04/2010,18,2,1,7,NaN,NaN,12,11,NaN,NaN,NaN,NaN,19,5,NaN,4,13,9,NaN,14,16,17,13,14,NaN,NaN,4,17,10,11,14,11,18,5,13,NaN,11,NaN,NaN,16,11,7,12,5,8
05/05/2010,18,4,2,6,NaN,NaN,10,17,NaN,NaN,NaN,NaN,11,7,NaN,14,18,17,NaN,15,NaN,19,16,17,NaN,NaN,10,10,8,20,19,12,17,NaN,18,NaN,16,NaN,NaN,9,23,11,17,7,17
10/05/2010,8,2,1,6,NaN,NaN,9,12,NaN,NaN,NaN,NaN,7,4,NaN,3,12,9,NaN,11,NaN,13,8,9,NaN,NaN,6,12,5,10,10,9,10,NaN,8,NaN,11,NaN,NaN,7,14,6,13,6,7
11/05/2010,18,2,1,8,NaN,NaN,11,12,NaN,NaN,NaN,NaN,6,5,NaN,4,10,15,NaN,8,NaN,11,6,8,NaN,NaN,7,11,4,9,8,13,7,9,6,NaN,17,NaN,NaN,6,17,8,17,7,12
24/05/2010,8,5,6,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,11,NaN,10,21,23,NaN,15,14,20,13,16,NaN,NaN,14,16,14,NaN,17,13,16,18,11,NaN,23,NaN,NaN,14,28,15,22,9,19
26/05/2010,18,3,3,4,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,10,6,NaN,3,12,19,NaN,10,13,15,11,12,NaN,NaN,11,14,6,10,12,17,10,10,10,NaN,15,NaN,NaN,8,16,10,17,7,13
30/05/2010,18,5,3,5,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,8,7,NaN,6,10,10,NaN,8,7,11,7,6,NaN,NaN,8,6,9,8,7,6,7,6,NaN,NaN,9,NaN,NaN,7,11,10,13,4,13
27/03/2011,8,NaN,6,26,NaN,23,52,53,NaN,NaN,NaN,NaN,47,14,NaN,8,39,24,NaN,39,46,45,48,46,NaN,23,20,55,19,22,NaN,78,49,30,48,NaN,33,NaN,55,NaN,35,19,NaN,30,27
26/05/2011,28,12,4,9,NaN,2,NaN,4,NaN,NaN,NaN,NaN,9,13,NaN,1,NaN,7,NaN,6,8,10,8,NaN,NaN,4,10,9,8,7,NaN,4,6,5,6,8,10,NaN,6,NaN,10,14,NaN,4,11
05/03/2012,8,7,1,11,7,4,7,6,NaN,NaN,NaN,NaN,7,13,NaN,5,7,8,NaN,5,10,8,NaN,NaN,NaN,9,5,4,9,3,6,2,7,7,7,5,7,NaN,6,3,10,10,NaN,5,4
07/04/2012,18,5,0,4,14,4,15,15,NaN,NaN,NaN,NaN,13,11,NaN,5,11,9,NaN,NaN,12,14,12,12,NaN,8,6,8,9,NaN,9,NaN,17,6,10,11,8,NaN,14,10,12,9,5,6,6
12/04/2012,28,6,2,6,10,6,12,NaN,NaN,NaN,NaN,NaN,12,10,NaN,7,9,11,NaN,NaN,13,18,13,15,NaN,12,1,7,14,11,7,NaN,16,11,9,14,14,NaN,14,12,12,11,9,5,8
27/04/2012,18,4,1,4,6,2,10,8,NaN,NaN,NaN,NaN,12,10,NaN,6,5,8,NaN,8,11,12,9,10,NaN,6,5,7,6,4,6,NaN,15,5,6,11,8,NaN,9,6,9,NaN,5,6,4
15/05/2012,18,6,2,6,6,2,NaN,4,NaN,NaN,NaN,NaN,8,12,NaN,7,5,9,NaN,8,9,7,7,8,NaN,5,6,6,8,6,NaN,NaN,6,6,NaN,9,6,NaN,6,NaN,7,NaN,2,4,5
12/03/2013,18,4,1,8,8,NaN,8,7,NaN,NaN,NaN,NaN,9,6,NaN,4,10,7,NaN,7,NaN,5,7,7,NaN,2,4,7,9,7,9,9,9,5,3,6,7,NaN,8,5,7,3,6,4,5
13/03/2013,18,4,0,7,11,NaN,8,7,NaN,NaN,NaN,NaN,17,5,NaN,5,12,7,NaN,11,NaN,10,10,10,NaN,3,5,7,9,8,10,10,13,7,6,10,9,NaN,11,7,10,3,12,6,5
26/04/2013,18,5,-1,6,7,NaN,5,6,NaN,NaN,NaN,NaN,13,3,NaN,5,12,NaN,NaN,11,NaN,9,7,9,NaN,NaN,7,8,14,9,7,8,8,6,5,13,11,NaN,8,7,10,NaN,7,3,5
20/05/2013,18,15,NaN,11,22,NaN,11,12,NaN,NaN,NaN,NaN,31,24,NaN,14,NaN,NaN,NaN,29,26,28,25,27,NaN,NaN,17,15,14,23,21,11,21,13,20,28,20,NaN,21,17,22,18,NaN,9,17
21/05/2013,8,4,NaN,6,15,NaN,11,11,NaN,NaN,NaN,NaN,22,6,NaN,4,NaN,NaN,NaN,14,15,14,15,16,NaN,NaN,7,15,4,15,20,12,25,7,21,13,12,NaN,24,6,12,4,8,7,5
23/05/2013,18,5,1,6,7,NaN,3,6,NaN,NaN,NaN,NaN,9,3,NaN,3,NaN,NaN,NaN,8,5,7,5,4,NaN,NaN,3,10,3,4,5,10,5,2,2,10,6,NaN,10,6,6,3,4,3,2
24/05/2013,18,9,4,8,9,NaN,5,6,NaN,NaN,NaN,NaN,7,7,NaN,5,NaN,NaN,NaN,8,6,7,5,NaN,NaN,NaN,9,10,4,5,6,9,6,5,2,10,8,NaN,6,4,6,9,6,5,5
30/05/2013,18,12,7,13,18,NaN,10,10,NaN,NaN,NaN,NaN,20,9,NaN,14,NaN,NaN,NaN,16,15,15,14,15,NaN,14,13,14,9,17,16,17,15,9,12,16,13,NaN,15,9,12,12,10,10,15
24/03/2015,28,8,1,6,8,4,7,5,NaN,NaN,9,NaN,NaN,4,3,10,12,8,15,13,15,10,12,11,12,9,9,6,14,13,8,7,7,7,6,12,11,NaN,6,22,11,5,NaN,3,11
03/04/2015,18,13,4,9,7,8,6,3,NaN,NaN,8,NaN,NaN,11,7,17,12,15,9,11,13,11,14,12,10,9,NaN,3,17,13,8,4,9,10,4,7,9,NaN,5,11,10,12,8,7,18
26/04/2015,8,5,-1,4,6,1,9,4,NaN,NaN,7,NaN,5,2,1,7,9,4,7,7,9,7,8,6,7,7,NaN,5,7,8,8,7,9,6,3,3,6,NaN,9,4,9,2,5,2,6
30/04/2015,18,7,0,6,5,2,8,6,NaN,NaN,6,NaN,5,3,3,5,9,5,6,5,6,4,6,5,6,4,NaN,5,8,8,5,6,5,4,1,3,5,NaN,6,6,8,NaN,3,2,7
05/03/2016,18,0,-2,3,10,2,9,6,7,15,11,NaN,10,2,3,6,12,5,14,9,10,9,NaN,11,12,9,4,8,11,11,13,7,11,5,11,10,6,6,10,11,14,6,6,3,5
09/03/2016,28,2,0,3,4,7,2,1,8,7,3,NaN,9,4,4,10,4,7,NaN,6,9,6,NaN,7,NaN,5,7,3,10,5,NaN,6,5,9,4,7,5,5,5,9,9,8,6,7,7
15/04/2016,28,3,2,5,13,6,8,8,15,8,11,7,8,6,5,8,11,10,7,8,7,8,11,7,5,12,7,13,8,13,NaN,7,6,9,7,9,12,14,7,8,17,NaN,9,11,5
16/04/2016,18,1,-1,4,6,2,5,3,3,6,3,7,12,4,3,3,5,3,3,5,7,5,6,6,4,4,2,5,3,4,NaN,3,6,5,5,6,3,3,5,6,10,3,3,3,2
23/04/2016,8,NaN,1,6,6,2,6,5,7,8,5,6,10,4,5,4,6,3,5,6,7,5,7,7,5,8,4,7,3,6,NaN,6,7,5,5,5,6,5,7,6,11,5,6,4,5
25/04/2016,18,NaN,0,7,5,1,3,4,5,6,4,6,7,4,3,5,5,3,6,6,8,7,7,7,NaN,5,3,6,NaN,7,NaN,2,5,3,5,8,3,3,5,8,7,3,3,3,3
