Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
13/04/2010,1,7,5,15,NaN,NaN,19,19,NaN,NaN,NaN,NaN,14,9,NaN,5,14,17,NaN,13,15,17,10,12,NaN,NaN,10,22,7,12,13,20,16,13,12,NaN,16,NaN,NaN,12,14,12,18,17,14
18/04/2010,1,3,0,7,NaN,NaN,35,32,NaN,NaN,NaN,NaN,37,3,NaN,11,27,19,NaN,27,27,30,24,29,NaN,NaN,6,27,13,24,26,26,39,22,27,NaN,31,NaN,NaN,24,29,8,38,23,16
02/05/2010,11,2,2,6,NaN,NaN,7,7,NaN,NaN,NaN,NaN,4,5,NaN,2,9,6,NaN,11,NaN,14,8,NaN,NaN,NaN,4,8,7,6,10,5,6,5,NaN,NaN,8,NaN,NaN,9,9,5,12,4,6
06/05/2010,11,2,0,6,NaN,NaN,20,16,NaN,NaN,NaN,NaN,9,4,NaN,7,17,16,NaN,14,NaN,17,14,16,NaN,NaN,6,15,8,19,20,15,17,NaN,15,NaN,17,NaN,NaN,11,23,5,15,7,11
08/05/2010,1,4,3,8,NaN,NaN,9,10,NaN,NaN,NaN,NaN,7,6,NaN,6,10,11,NaN,8,NaN,13,6,8,NaN,NaN,7,10,6,11,9,7,9,NaN,7,NaN,11,NaN,NaN,7,13,8,14,6,11
09/05/2010,1,3,2,8,NaN,NaN,11,12,NaN,NaN,NaN,NaN,9,8,NaN,3,12,9,NaN,12,NaN,15,9,10,NaN,NaN,6,12,6,10,10,7,10,NaN,9,NaN,9,NaN,NaN,9,12,8,12,5,8
25/05/2010,1,3,3,6,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN,20,6,NaN,3,15,13,NaN,13,15,18,12,14,NaN,NaN,6,18,8,9,17,27,21,15,13,NaN,18,NaN,NaN,10,16,7,23,11,10
25/03/2011,1,NaN,11,23,NaN,30,57,NaN,NaN,NaN,NaN,NaN,56,20,NaN,25,42,47,NaN,43,51,50,48,49,NaN,43,23,51,24,44,NaN,64,56,38,45,NaN,54,NaN,59,NaN,43,24,NaN,29,45
19/04/2011,1,26,31,53,NaN,40,39,33,NaN,NaN,NaN,NaN,26,41,NaN,28,48,41,NaN,36,41,44,50,41,NaN,32,38,38,34,42,NaN,32,33,44,42,NaN,39,NaN,45,NaN,35,37,NaN,38,43
03/04/2012,21,4,1,4,8,1,14,11,NaN,NaN,NaN,NaN,26,10,NaN,14,11,8,NaN,NaN,20,23,NaN,21,NaN,8,6,9,23,NaN,10,5,23,5,13,23,6,NaN,16,NaN,10,8,5,5,10
04/04/2012,11,5,1,6,6,1,11,7,NaN,NaN,NaN,NaN,11,11,NaN,7,6,7,NaN,NaN,15,18,14,17,NaN,5,4,6,20,NaN,10,2,14,6,13,17,6,NaN,15,15,6,9,5,5,4
13/04/2012,21,8,2,8,20,4,19,NaN,NaN,NaN,NaN,NaN,26,11,NaN,7,15,11,NaN,22,26,26,22,23,NaN,12,5,8,15,12,12,NaN,23,7,16,27,12,NaN,18,24,17,12,9,14,8
14/04/2012,11,4,1,6,10,3,16,NaN,NaN,NaN,NaN,NaN,20,10,NaN,6,8,8,NaN,15,19,18,15,18,NaN,9,4,11,8,7,11,NaN,22,6,17,15,10,NaN,18,12,10,9,6,8,6
29/04/2012,11,4,2,5,5,0,7,5,NaN,NaN,NaN,NaN,8,10,NaN,9,4,7,NaN,5,9,10,7,9,NaN,3,5,3,13,6,NaN,NaN,9,3,4,9,4,NaN,4,6,5,NaN,3,5,4
04/05/2012,11,4,NaN,9,14,9,26,22,NaN,NaN,NaN,NaN,16,11,NaN,6,14,10,NaN,10,14,14,12,15,NaN,9,6,20,8,8,NaN,NaN,14,10,10,10,11,NaN,14,NaN,18,NaN,9,15,6
11/03/2013,11,4,0,7,5,NaN,4,6,NaN,NaN,NaN,NaN,10,3,NaN,8,7,5,NaN,6,NaN,4,5,5,NaN,1,5,4,7,3,6,10,7,3,-1,6,6,NaN,6,4,6,2,4,4,3
04/04/2013,1,7,2,10,11,NaN,11,13,NaN,NaN,NaN,NaN,31,4,NaN,9,13,NaN,NaN,19,NaN,16,15,17,NaN,NaN,6,11,18,7,NaN,16,20,7,10,21,9,NaN,16,NaN,9,4,9,8,7
05/04/2013,1,8,4,13,11,NaN,10,14,NaN,NaN,NaN,NaN,19,6,NaN,8,12,NaN,NaN,13,NaN,11,11,12,NaN,NaN,7,12,13,7,NaN,15,15,6,6,14,10,NaN,13,NaN,11,5,10,6,7
