Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
11/03/2010,7,6,8,34,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,11,10,NaN,15,22,21,NaN,18,21,20,17,17,NaN,20,14,29,17,NaN,24,14,NaN,NaN,NaN,NaN,26,NaN,NaN,17,28,11,NaN,15,23
13/03/2010,7,2,1,7,NaN,NaN,11,11,NaN,NaN,NaN,NaN,11,4,NaN,2,8,9,NaN,12,13,16,9,10,NaN,8,5,11,11,11,13,12,NaN,7,15,NaN,11,NaN,NaN,10,12,3,NaN,5,8
14/03/2010,7,2,1,5,NaN,NaN,10,11,NaN,NaN,NaN,NaN,14,5,NaN,3,7,9,NaN,11,12,14,8,9,NaN,6,4,9,8,11,7,11,NaN,5,8,NaN,10,NaN,NaN,10,13,2,NaN,5,8
15/03/2010,7,3,1,7,NaN,NaN,14,19,NaN,NaN,NaN,NaN,9,5,NaN,5,7,9,NaN,10,11,15,8,9,NaN,6,5,15,9,10,9,10,NaN,5,11,NaN,9,NaN,NaN,11,11,2,NaN,5,9
20/03/2010,17,5,3,NaN,NaN,NaN,6,7,NaN,NaN,NaN,NaN,9,8,NaN,4,7,11,NaN,8,8,12,7,6,NaN,NaN,9,6,8,10,7,6,NaN,10,7,NaN,11,NaN,3,8,14,4,16,7,14
27/03/2010,27,1,0,7,NaN,NaN,11,12,NaN,NaN,NaN,NaN,8,5,NaN,8,7,10,NaN,10,10,14,8,9,NaN,NaN,5,11,10,10,9,9,NaN,6,9,NaN,10,NaN,NaN,9,12,NaN,12,5,11
17/04/2010,7,3,1,14,NaN,NaN,21,22,NaN,NaN,NaN,NaN,17,4,NaN,26,22,27,NaN,22,20,24,17,21,NaN,NaN,14,21,14,31,17,28,20,24,19,NaN,31,NaN,NaN,17,36,19,32,19,24
16/05/2010,17,4,2,5,NaN,NaN,9,8,NaN,NaN,NaN,NaN,12,6,NaN,6,11,9,NaN,12,12,16,10,12,NaN,NaN,7,8,11,10,9,10,12,5,11,NaN,9,NaN,NaN,12,10,10,13,3,9
17/03/2011,7,16,11,17,NaN,16,35,31,NaN,NaN,NaN,NaN,43,21,NaN,24,37,30,NaN,38,38,NaN,36,NaN,NaN,20,17,35,43,28,30,NaN,33,22,30,40,30,NaN,34,NaN,31,18,NaN,18,24
11/04/2011,17,10,3,9,NaN,10,14,12,NaN,NaN,NaN,NaN,22,12,NaN,NaN,10,18,NaN,20,22,24,22,19,NaN,18,12,19,18,19,23,8,22,13,17,NaN,16,NaN,21,NaN,20,23,NaN,11,NaN
