Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
24/03/2010,24,20,4,12,NaN,NaN,18,21,NaN,NaN,NaN,NaN,35,8,NaN,28,18,21,NaN,31,29,33,24,27,NaN,NaN,17,20,46,20,22,14,NaN,12,23,NaN,16,NaN,29,40,19,8,18,10,24
24/04/2010,14,18,21,28,NaN,NaN,38,42,NaN,NaN,NaN,NaN,39,29,NaN,31,35,37,NaN,40,37,38,NaN,36,NaN,NaN,37,44,32,35,37,37,43,27,33,NaN,32,NaN,NaN,37,38,45,38,30,38
27/04/2010,4,8,3,12,NaN,NaN,11,15,NaN,NaN,NaN,NaN,15,6,NaN,11,15,12,NaN,20,NaN,21,14,17,NaN,NaN,13,13,19,NaN,14,12,16,11,12,NaN,14,NaN,NaN,19,12,14,18,8,13
18/05/2010,4,9,3,11,NaN,NaN,12,12,NaN,NaN,NaN,NaN,17,9,NaN,12,19,15,NaN,23,24,24,20,24,NaN,NaN,14,12,11,20,17,12,12,9,14,NaN,15,NaN,NaN,18,18,18,19,8,15
18/04/2011,4,14,11,31,NaN,23,36,37,NaN,NaN,NaN,NaN,41,18,NaN,33,40,34,NaN,49,48,51,42,48,NaN,27,21,38,39,39,NaN,28,30,27,39,NaN,33,NaN,36,NaN,40,25,NaN,36,35
22/04/2011,24,24,27,60,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,40,30,NaN,63,58,57,NaN,69,60,69,57,59,NaN,48,44,39,65,63,NaN,33,29,50,52,NaN,54,NaN,38,NaN,54,36,NaN,49,63
04/05/2011,14,8,7,19,NaN,12,21,18,NaN,NaN,NaN,NaN,20,14,NaN,9,19,15,NaN,13,17,14,17,15,NaN,6,15,22,9,10,NaN,19,17,16,16,NaN,12,NaN,19,NaN,17,16,NaN,14,13
05/05/2011,14,14,16,22,NaN,17,21,20,NaN,NaN,NaN,NaN,30,24,NaN,17,28,23,NaN,23,26,23,24,22,NaN,17,23,24,24,18,NaN,23,23,22,21,NaN,22,NaN,26,NaN,26,22,NaN,20,24
06/05/2011,14,30,5,14,NaN,15,19,17,NaN,NaN,NaN,NaN,28,14,NaN,26,24,28,NaN,24,25,23,25,21,NaN,16,30,21,28,19,NaN,14,18,19,18,NaN,22,NaN,19,NaN,24,29,NaN,15,31
08/05/2011,24,23,5,NaN,NaN,3,7,6,NaN,NaN,NaN,NaN,11,17,NaN,17,13,12,NaN,10,11,NaN,10,8,NaN,3,14,10,11,NaN,NaN,8,7,7,7,NaN,12,NaN,7,NaN,10,17,NaN,5,13
09/05/2011,14,14,2,NaN,NaN,4,9,7,NaN,NaN,NaN,NaN,12,9,NaN,5,15,11,NaN,9,14,11,13,9,NaN,3,10,11,10,5,NaN,11,8,6,9,NaN,11,NaN,9,NaN,9,13,NaN,5,7
02/03/2012,4,16,9,21,45,22,55,43,NaN,NaN,NaN,NaN,48,20,NaN,34,41,45,NaN,40,57,37,50,58,NaN,32,29,41,43,28,47,32,50,29,52,29,29,NaN,51,31,31,39,NaN,25,33
07/05/2012,24,8,7,10,12,12,15,10,NaN,NaN,NaN,NaN,17,19,NaN,11,11,17,NaN,11,14,15,14,15,NaN,14,14,10,17,10,NaN,NaN,11,14,14,12,13,NaN,13,NaN,15,NaN,13,15,11
04/03/2013,4,20,19,27,39,NaN,41,36,NaN,NaN,NaN,NaN,41,24,NaN,30,38,38,NaN,38,NaN,31,37,39,NaN,30,39,39,36,37,36,51,41,32,35,34,35,NaN,43,30,35,34,33,36,35
13/04/2013,14,26,9,15,10,NaN,8,10,NaN,NaN,NaN,NaN,14,15,NaN,25,14,NaN,NaN,8,NaN,10,9,8,NaN,NaN,34,9,20,18,9,11,8,17,NaN,12,15,NaN,8,6,11,26,16,11,23
17/04/2013,24,10,1,10,10,NaN,8,11,NaN,NaN,NaN,NaN,15,4,NaN,11,13,NaN,NaN,11,NaN,11,10,10,NaN,NaN,13,14,17,9,11,14,12,8,NaN,13,10,NaN,11,7,9,7,9,7,8
02/05/2013,4,10,4,12,14,NaN,12,10,NaN,NaN,NaN,NaN,12,5,NaN,10,NaN,NaN,NaN,10,NaN,9,9,10,NaN,11,11,16,7,10,12,16,11,9,8,10,15,NaN,NaN,5,NaN,NaN,NaN,7,11
07/05/2013,14,NaN,11,20,15,NaN,11,13,NaN,NaN,NaN,NaN,21,14,NaN,28,NaN,NaN,NaN,26,NaN,21,17,22,NaN,17,19,NaN,24,20,13,18,19,26,10,29,20,NaN,21,20,16,19,NaN,18,20
24/03/2014,14,8,7,6,10,8,10,7,NaN,NaN,NaN,NaN,13,10,5,14,10,16,17,15,11,12,NaN,14,12,11,10,10,NaN,13,NaN,7,13,12,7,16,14,10,11,9,NaN,NaN,14,NaN,16
04/04/2014,14,24,19,25,18,21,10,13,NaN,NaN,NaN,NaN,11,28,19,41,20,24,30,25,23,NaN,28,26,23,19,28,10,41,32,NaN,7,9,22,15,29,23,22,11,24,22,31,22,NaN,31
23/04/2014,14,24,15,10,11,12,10,10,NaN,NaN,NaN,NaN,15,24,13,18,10,NaN,11,15,12,10,13,14,12,12,24,12,20,13,NaN,9,14,14,6,18,16,11,13,12,NaN,26,16,12,18
24/04/2014,14,14,6,8,12,11,11,9,NaN,NaN,NaN,NaN,9,7,5,17,13,NaN,13,15,11,9,11,13,11,16,6,13,NaN,15,NaN,9,14,15,7,18,18,12,11,13,NaN,7,19,12,15
05/05/2014,14,16,NaN,13,16,16,16,16,NaN,NaN,NaN,NaN,22,13,11,18,17,21,18,22,17,17,19,20,19,14,17,17,28,17,NaN,16,26,17,NaN,27,19,16,22,20,17,19,19,18,19
12/03/2015,14,27,5,13,34,26,38,42,NaN,NaN,36,NaN,NaN,8,5,30,38,32,34,26,29,25,28,25,26,27,29,41,NaN,35,31,NaN,NaN,28,29,17,27,NaN,NaN,25,30,21,NaN,31,28
02/04/2016,4,6,1,9,9,7,9,12,13,16,12,6,26,6,7,15,11,11,14,17,18,17,18,18,15,13,12,11,20,15,NaN,16,19,9,12,NaN,9,12,14,21,12,10,NaN,7,11
03/04/2016,24,15,10,10,20,19,21,21,26,19,22,10,22,14,13,21,20,21,18,19,20,19,22,20,16,21,20,22,28,21,NaN,22,19,19,18,NaN,21,24,18,24,24,19,NaN,19,19
