Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
03/03/2010,13,10,8,NaN,NaN,NaN,16,16,NaN,NaN,NaN,NaN,12,16,NaN,19,11,17,NaN,11,14,16,9,11,NaN,10,23,16,16,13,13,NaN,NaN,13,14,NaN,13,NaN,NaN,NaN,14,15,NaN,11,18
25/03/2010,23,22,4,14,NaN,NaN,12,12,NaN,NaN,NaN,NaN,13,15,NaN,26,13,25,NaN,17,18,19,16,16,NaN,NaN,37,13,27,20,14,5,NaN,14,15,NaN,13,NaN,15,18,16,NaN,17,15,28
02/05/2011,13,11,6,11,NaN,5,11,8,NaN,NaN,NaN,NaN,10,13,NaN,5,15,9,NaN,10,13,13,15,11,NaN,6,12,11,8,7,NaN,7,9,10,11,NaN,12,NaN,11,NaN,10,13,NaN,7,8
03/05/2011,3,7,4,15,NaN,8,13,10,NaN,NaN,NaN,NaN,14,10,NaN,7,15,12,NaN,9,11,10,13,9,NaN,6,9,14,8,7,NaN,10,10,12,9,NaN,11,NaN,12,NaN,12,10,NaN,8,9
07/05/2011,13,31,13,20,NaN,10,14,14,NaN,NaN,NaN,NaN,22,23,NaN,36,22,32,NaN,19,20,23,20,17,NaN,14,38,17,29,20,NaN,18,18,12,17,NaN,17,NaN,18,NaN,20,39,NaN,11,37
17/05/2012,13,3,2,8,11,8,NaN,12,NaN,NaN,NaN,NaN,13,12,NaN,12,11,14,NaN,13,15,13,15,15,NaN,12,9,11,15,14,NaN,NaN,10,10,11,16,13,NaN,13,NaN,13,NaN,6,11,10
25/05/2012,3,18,11,22,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,21,NaN,12,21,NaN,NaN,28,27,31,23,29,NaN,26,16,24,14,19,22,NaN,NaN,24,22,32,NaN,NaN,30,NaN,26,NaN,22,18,12
26/05/2012,13,16,11,10,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,18,NaN,11,14,NaN,NaN,20,22,23,18,22,NaN,13,15,12,15,11,15,NaN,NaN,11,17,33,NaN,NaN,16,NaN,13,NaN,9,10,9
27/05/2012,3,17,11,12,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,19,NaN,10,15,NaN,NaN,20,21,22,18,22,NaN,17,16,18,15,13,17,NaN,NaN,14,18,29,NaN,NaN,20,NaN,18,NaN,12,15,11
28/05/2012,13,11,12,15,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,20,NaN,16,17,NaN,NaN,29,24,28,20,26,NaN,18,16,9,15,20,16,NaN,NaN,15,17,27,NaN,NaN,12,NaN,22,NaN,14,17,27
