Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
17/03/2010,15,10,5,12,NaN,NaN,19,20,NaN,NaN,NaN,NaN,21,9,NaN,16,20,18,NaN,27,28,30,24,25,NaN,14,15,23,22,20,25,18,NaN,14,26,NaN,17,NaN,NaN,26,22,11,22,9,21
18/03/2010,15,10,5,NaN,NaN,NaN,25,25,NaN,NaN,NaN,NaN,27,8,NaN,23,25,22,NaN,29,30,30,29,28,NaN,19,16,29,32,26,29,19,NaN,19,28,NaN,24,NaN,NaN,30,24,12,25,16,26
21/03/2010,5,5,3,NaN,NaN,NaN,10,9,NaN,NaN,NaN,NaN,9,6,NaN,8,12,15,NaN,NaN,12,15,12,11,NaN,NaN,8,10,10,15,13,6,NaN,10,14,NaN,15,NaN,NaN,12,14,4,17,5,14
22/03/2010,15,7,0,NaN,NaN,NaN,8,9,NaN,NaN,NaN,NaN,9,4,NaN,7,9,11,NaN,NaN,12,14,10,11,NaN,NaN,8,11,16,9,9,9,NaN,5,10,NaN,10,NaN,7,11,9,2,14,4,12
23/03/2010,15,8,2,10,NaN,NaN,9,10,NaN,NaN,NaN,NaN,15,7,NaN,9,8,17,NaN,NaN,16,17,13,14,NaN,NaN,12,12,18,12,11,7,NaN,8,10,NaN,11,NaN,12,19,13,4,14,6,13
05/04/2010,15,6,1,6,NaN,NaN,6,6,NaN,NaN,NaN,NaN,8,4,NaN,4,4,8,NaN,7,9,12,7,7,NaN,NaN,5,7,8,5,7,7,NaN,4,7,NaN,6,NaN,6,7,8,NaN,11,3,8
06/04/2010,25,9,1,7,NaN,NaN,9,13,NaN,NaN,NaN,NaN,12,4,NaN,5,7,10,NaN,12,12,14,9,10,NaN,NaN,8,10,13,8,11,7,NaN,5,11,NaN,9,NaN,NaN,12,12,NaN,14,5,10
28/04/2010,15,10,6,10,NaN,NaN,15,19,NaN,NaN,NaN,NaN,27,7,NaN,12,18,15,NaN,18,NaN,20,15,16,NaN,NaN,10,18,21,NaN,17,18,31,14,17,NaN,16,NaN,NaN,19,18,13,20,10,18
13/05/2010,15,10,5,12,NaN,NaN,18,14,NaN,NaN,NaN,NaN,14,8,NaN,8,14,19,NaN,13,17,19,13,16,NaN,NaN,12,14,6,13,15,8,17,10,14,NaN,14,NaN,NaN,9,15,12,17,8,16
30/03/2011,25,18,10,15,NaN,27,14,11,NaN,NaN,NaN,NaN,20,22,NaN,37,24,33,NaN,23,26,24,24,24,NaN,NaN,32,16,43,22,16,4,23,31,18,NaN,29,NaN,21,NaN,27,32,NaN,27,40
01/04/2011,15,8,3,13,NaN,4,11,12,NaN,NaN,NaN,NaN,11,9,NaN,NaN,18,10,NaN,10,14,16,13,12,NaN,NaN,8,14,13,10,14,10,12,7,11,NaN,12,NaN,13,NaN,11,12,NaN,7,17
04/04/2011,15,6,2,10,NaN,2,7,5,NaN,NaN,NaN,NaN,10,9,NaN,NaN,14,12,NaN,7,10,12,12,9,NaN,NaN,7,10,9,6,10,5,7,5,8,NaN,10,NaN,8,NaN,7,10,NaN,4,NaN
06/04/2011,15,3,2,10,NaN,4,11,10,NaN,NaN,NaN,NaN,18,7,NaN,8,15,11,NaN,10,12,16,14,9,NaN,NaN,6,14,9,6,13,13,19,5,11,NaN,8,NaN,15,NaN,8,10,NaN,4,NaN
13/04/2011,15,6,1,10,NaN,3,8,7,NaN,NaN,NaN,NaN,10,8,NaN,NaN,15,10,NaN,11,12,14,14,11,NaN,8,8,12,10,8,15,4,8,7,9,NaN,10,NaN,10,NaN,10,12,NaN,5,15
10/05/2011,15,10,3,NaN,NaN,6,10,7,NaN,NaN,NaN,NaN,13,10,NaN,8,16,12,NaN,9,NaN,10,14,10,NaN,6,9,12,11,6,NaN,10,10,6,9,NaN,12,NaN,10,NaN,11,12,NaN,5,8
11/05/2011,15,9,7,NaN,NaN,3,6,19,NaN,NaN,NaN,NaN,13,7,NaN,8,14,9,NaN,10,12,13,13,11,NaN,69,7,9,9,6,NaN,5,8,6,9,NaN,10,NaN,9,NaN,10,44,NaN,4,7
