Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/03/2010,0,4,3,18,NaN,NaN,20,13,NaN,NaN,NaN,NaN,13,9,NaN,7,15,12,NaN,14,13,18,9,12,NaN,12,7,15,10,19,12,15,NaN,12,17,NaN,16,NaN,18,12,17,5,32,8,9
02/03/2010,0,4,3,NaN,NaN,NaN,26,13,NaN,NaN,NaN,NaN,20,10,NaN,11,23,15,NaN,21,22,23,15,22,NaN,24,10,14,21,23,18,16,NaN,17,20,NaN,29,NaN,NaN,18,28,9,NaN,17,15
04/03/2010,0,14,15,NaN,NaN,NaN,14,13,NaN,NaN,NaN,NaN,11,27,NaN,10,11,16,NaN,10,12,NaN,7,7,NaN,12,23,14,7,15,10,NaN,NaN,14,9,NaN,17,NaN,NaN,NaN,17,14,NaN,13,15
05/03/2010,0,2,9,24,NaN,NaN,28,24,NaN,NaN,NaN,NaN,18,10,NaN,12,24,21,NaN,21,22,25,17,19,NaN,23,17,22,15,29,21,14,NaN,18,20,NaN,25,NaN,NaN,19,29,10,NaN,12,18
06/03/2010,0,3,2,9,NaN,NaN,14,12,NaN,NaN,NaN,NaN,15,8,NaN,3,11,11,NaN,12,15,17,13,13,NaN,15,7,10,7,12,13,9,NaN,12,13,NaN,16,NaN,NaN,13,16,3,NaN,8,8
07/03/2010,0,10,15,15,NaN,NaN,15,15,NaN,NaN,NaN,NaN,12,22,NaN,9,14,22,NaN,12,14,NaN,11,11,NaN,12,18,17,7,14,15,13,NaN,16,13,NaN,17,NaN,NaN,12,19,11,NaN,17,18
08/03/2010,0,12,24,32,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN,10,27,NaN,20,16,28,NaN,10,15,15,11,10,NaN,23,23,14,10,20,13,12,NaN,22,11,NaN,26,NaN,NaN,11,20,20,NaN,28,26
09/03/2010,0,10,8,44,NaN,NaN,NaN,17,NaN,NaN,NaN,NaN,14,NaN,NaN,8,15,23,NaN,11,14,15,10,10,NaN,18,12,18,7,16,14,11,NaN,17,11,NaN,22,NaN,NaN,12,19,9,NaN,17,25
10/03/2010,0,10,11,34,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,11,18,NaN,7,5,17,NaN,10,12,14,7,8,NaN,14,14,8,6,10,8,8,NaN,NaN,8,NaN,19,NaN,NaN,11,16,12,NaN,14,20
16/03/2010,0,7,3,14,NaN,NaN,22,23,NaN,NaN,NaN,NaN,12,7,NaN,12,13,18,NaN,13,15,18,12,13,NaN,12,14,23,15,16,16,16,NaN,11,15,NaN,16,NaN,NaN,14,16,12,19,10,17
