Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
09/06/2010,12,6,NaN,10,NaN,NaN,9,10,NaN,NaN,NaN,NaN,12,NaN,NaN,19,15,17,NaN,13,12,17,10,12,NaN,NaN,9,9,13,NaN,12,9,8,10,NaN,NaN,NaN,NaN,8,12,25,12,18,10,NaN
26/08/2010,2,5,NaN,9,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,6,7,NaN,NaN,9,9,NaN,6,8,9,NaN,8,NaN,NaN,6,10,4,NaN,4,6,6,7,6,5,NaN,NaN,7,5,9,8,NaN,6,7
02/06/2012,12,4,2,14,11,20,NaN,NaN,NaN,NaN,NaN,NaN,20,10,NaN,6,10,NaN,NaN,10,16,14,13,NaN,NaN,21,8,24,8,11,18,NaN,20,20,19,11,18,NaN,23,NaN,16,NaN,18,17,7
05/06/2013,2,8,NaN,14,12,NaN,6,7,NaN,NaN,NaN,NaN,13,7,NaN,4,NaN,NaN,NaN,11,9,NaN,8,12,NaN,12,8,8,5,11,9,15,11,10,6,16,14,NaN,13,6,14,5,12,13,4
06/06/2013,2,8,NaN,21,12,NaN,11,13,NaN,NaN,NaN,NaN,14,8,NaN,8,NaN,NaN,NaN,10,9,NaN,9,11,NaN,NaN,14,14,5,7,9,20,11,14,7,12,16,NaN,14,6,11,9,16,19,8
24/07/2014,2,NaN,12,17,19,10,NaN,NaN,NaN,NaN,17,NaN,12,10,NaN,14,18,20,16,15,16,11,14,NaN,NaN,13,14,NaN,11,16,13,23,19,NaN,9,10,18,NaN,16,NaN,13,NaN,13,9,NaN
25/07/2014,2,NaN,NaN,18,16,11,NaN,NaN,NaN,NaN,16,NaN,14,13,13,12,18,15,18,17,18,11,14,NaN,NaN,13,13,NaN,13,17,12,19,18,NaN,9,10,18,20,15,NaN,14,NaN,14,9,NaN
26/08/2014,12,6,5,10,9,NaN,NaN,7,NaN,NaN,10,NaN,NaN,7,4,6,10,6,8,10,11,5,12,NaN,NaN,9,NaN,5,8,7,NaN,9,NaN,NaN,4,2,11,10,10,NaN,9,NaN,NaN,5,6
03/06/2016,12,7,4,10,14,10,12,16,10,9,14,10,10,8,7,6,13,7,11,7,9,7,9,8,6,12,8,16,5,12,NaN,12,14,NaN,8,6,NaN,9,NaN,7,12,7,NaN,11,6
04/06/2016,2,10,NaN,16,24,14,23,24,23,21,26,12,21,13,13,18,25,15,22,19,18,18,19,17,17,23,15,22,13,21,NaN,17,20,NaN,20,17,NaN,22,NaN,16,23,13,NaN,16,14
