Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
10/06/2010,1,5,2,8,NaN,NaN,16,19,NaN,NaN,NaN,NaN,18,NaN,NaN,11,19,14,NaN,21,19,24,16,19,NaN,NaN,8,18,15,16,NaN,10,17,9,NaN,NaN,12,NaN,12,20,17,10,16,6,10
14/06/2010,1,2,NaN,7,NaN,NaN,10,12,NaN,NaN,NaN,NaN,17,NaN,NaN,4,14,8,NaN,18,16,21,12,16,NaN,NaN,6,11,13,14,NaN,8,12,7,NaN,18,9,NaN,9,17,13,8,13,4,7
04/06/2011,1,5,4,12,NaN,7,7,5,NaN,NaN,NaN,NaN,13,9,NaN,6,NaN,12,NaN,10,12,13,NaN,NaN,NaN,10,8,11,7,5,NaN,6,NaN,8,10,10,17,NaN,10,NaN,11,13,NaN,10,NaN
05/06/2011,1,5,4,14,NaN,5,11,8,NaN,NaN,NaN,NaN,12,10,NaN,5,NaN,8,NaN,10,12,14,NaN,NaN,NaN,5,7,16,11,7,NaN,5,NaN,9,9,13,12,NaN,10,NaN,13,11,NaN,7,NaN
11/07/2011,1,7,3,33,NaN,NaN,18,13,NaN,NaN,NaN,NaN,23,11,NaN,9,NaN,16,NaN,17,15,17,NaN,17,NaN,13,8,NaN,12,10,8,10,13,11,10,21,18,NaN,11,13,16,14,NaN,6,NaN
03/06/2012,11,4,1,5,4,2,NaN,NaN,NaN,NaN,NaN,NaN,16,9,NaN,5,4,NaN,NaN,9,12,10,10,NaN,NaN,4,4,6,7,4,7,NaN,10,4,12,10,5,NaN,11,NaN,6,NaN,4,5,4
11/06/2012,21,4,3,11,13,6,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,8,10,NaN,NaN,11,14,11,7,NaN,NaN,12,7,12,11,10,6,NaN,3,9,6,16,14,NaN,5,NaN,16,NaN,12,12,6
28/06/2014,11,8,5,6,16,5,NaN,7,NaN,NaN,12,NaN,4,5,3,6,10,7,9,9,8,6,7,NaN,NaN,12,4,9,7,8,4,6,12,8,NaN,NaN,10,13,9,7,11,7,9,7,7
12/06/2015,11,12,7,14,16,NaN,19,18,20,NaN,18,NaN,24,9,10,10,20,13,17,26,30,28,25,29,24,17,17,18,16,17,17,NaN,21,16,16,24,16,21,16,24,21,8,15,11,14
01/06/2016,1,5,3,6,9,3,9,7,8,5,8,7,11,7,8,7,9,5,7,7,7,7,6,5,4,8,6,9,12,8,NaN,7,13,4,4,9,4,7,NaN,9,7,7,NaN,3,4
02/06/2016,11,4,4,6,11,7,10,12,9,6,8,7,9,7,8,5,7,6,7,5,6,5,5,5,3,11,7,12,6,6,NaN,12,13,NaN,4,7,9,8,NaN,7,11,7,NaN,7,6
