Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
11/06/2010,17,5,3,6,NaN,NaN,11,11,NaN,NaN,NaN,NaN,11,NaN,NaN,7,16,11,NaN,16,13,18,10,13,NaN,NaN,7,10,11,14,NaN,9,10,8,NaN,14,11,NaN,11,13,16,11,16,6,10
29/06/2010,17,7,NaN,8,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,13,9,NaN,8,12,9,NaN,29,10,NaN,NaN,11,NaN,NaN,9,11,13,NaN,10,NaN,10,7,8,11,10,NaN,11,14,12,11,14,4,9
05/07/2010,17,3,NaN,8,NaN,NaN,8,10,NaN,NaN,NaN,NaN,10,6,NaN,NaN,12,7,NaN,NaN,8,10,NaN,10,NaN,NaN,5,8,7,NaN,9,NaN,8,5,7,9,7,NaN,7,10,9,8,NaN,2,NaN
11/07/2010,17,5,NaN,5,NaN,NaN,6,6,NaN,NaN,NaN,NaN,7,5,NaN,4,9,6,NaN,NaN,6,10,9,8,NaN,NaN,5,7,6,NaN,7,5,6,4,6,6,6,NaN,5,7,8,8,NaN,1,7
25/07/2010,17,6,NaN,6,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,7,6,NaN,4,11,9,NaN,8,NaN,10,9,9,NaN,NaN,NaN,11,NaN,NaN,12,6,8,5,8,7,8,NaN,7,8,13,9,NaN,4,9
28/07/2010,17,4,NaN,6,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,9,6,NaN,3,10,8,NaN,7,NaN,10,7,8,NaN,NaN,NaN,12,NaN,NaN,NaN,5,NaN,4,7,6,7,NaN,6,8,10,8,NaN,NaN,7
01/08/2010,27,2,NaN,5,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,7,5,NaN,3,10,9,NaN,7,NaN,10,7,8,NaN,NaN,NaN,10,7,NaN,8,5,7,3,6,6,6,NaN,5,8,9,8,NaN,2,8
02/08/2010,7,5,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,6,NaN,4,13,9,NaN,9,NaN,11,9,11,NaN,NaN,NaN,10,6,NaN,9,5,7,5,8,6,8,NaN,5,NaN,NaN,9,NaN,3,11
04/08/2010,27,4,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,7,NaN,6,11,7,NaN,7,NaN,10,6,9,NaN,NaN,NaN,8,6,NaN,8,4,6,5,6,7,8,NaN,5,NaN,10,8,NaN,2,9
05/08/2010,17,4,NaN,8,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,7,7,NaN,3,11,7,NaN,6,NaN,9,5,7,NaN,NaN,NaN,10,6,NaN,8,5,7,4,6,6,7,NaN,6,NaN,9,10,NaN,3,7
17/08/2010,17,9,NaN,8,NaN,NaN,7,7,NaN,NaN,NaN,NaN,8,6,NaN,6,13,8,NaN,10,NaN,13,10,12,NaN,NaN,8,11,8,NaN,10,6,8,6,9,11,11,NaN,NaN,9,12,11,NaN,4,8
24/08/2010,17,4,NaN,7,NaN,NaN,5,6,NaN,NaN,NaN,NaN,6,5,NaN,2,10,6,NaN,6,NaN,9,4,6,NaN,NaN,4,11,4,NaN,7,6,7,3,6,5,6,NaN,NaN,5,7,7,NaN,NaN,7
28/08/2010,17,4,NaN,7,NaN,NaN,5,7,NaN,NaN,NaN,NaN,8,4,NaN,1,10,6,NaN,7,7,10,5,7,NaN,NaN,5,11,5,NaN,6,7,7,4,10,5,NaN,NaN,9,6,8,7,NaN,3,6
19/06/2011,17,6,4,11,NaN,4,8,6,NaN,NaN,NaN,NaN,10,13,NaN,6,NaN,7,NaN,7,8,9,7,8,NaN,10,8,10,8,6,4,5,8,7,8,8,12,NaN,NaN,NaN,9,13,NaN,4,NaN
23/06/2011,17,4,1,10,NaN,NaN,8,7,NaN,NaN,NaN,NaN,11,8,NaN,4,NaN,7,NaN,7,9,10,7,7,NaN,9,7,11,7,5,4,4,8,5,7,8,11,NaN,NaN,NaN,8,11,NaN,4,NaN
10/07/2011,27,5,5,14,NaN,NaN,11,10,NaN,NaN,NaN,NaN,14,12,NaN,9,NaN,12,NaN,12,13,14,NaN,13,NaN,13,8,NaN,9,11,7,6,10,11,11,12,18,NaN,11,10,15,13,NaN,8,NaN
24/07/2011,17,5,3,10,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,10,9,NaN,4,NaN,9,NaN,7,9,10,7,7,NaN,6,6,NaN,6,6,4,3,9,5,9,10,NaN,NaN,9,6,12,13,NaN,4,NaN
08/08/2011,17,3,1,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,8,9,NaN,NaN,NaN,8,NaN,5,9,10,NaN,6,NaN,NaN,4,NaN,5,7,3,3,7,6,7,8,10,NaN,6,5,8,9,NaN,4,NaN
