Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
04/06/2010,4,12,8,21,NaN,NaN,NaN,13,NaN,NaN,NaN,NaN,26,NaN,NaN,12,19,22,NaN,23,23,26,20,25,NaN,NaN,19,17,13,NaN,NaN,21,24,19,NaN,NaN,20,NaN,21,20,22,19,23,12,20
26/06/2010,4,9,NaN,12,NaN,NaN,16,NaN,NaN,NaN,NaN,NaN,33,12,NaN,9,25,16,NaN,33,24,35,24,30,NaN,NaN,12,16,13,NaN,22,10,11,15,18,21,18,NaN,11,24,25,14,24,11,12
30/06/2010,4,10,NaN,10,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,9,9,NaN,14,13,14,NaN,17,9,NaN,NaN,10,NaN,NaN,11,10,14,NaN,12,NaN,7,11,9,8,13,NaN,10,10,13,15,17,5,14
01/07/2010,14,19,NaN,8,NaN,NaN,10,11,NaN,NaN,NaN,NaN,8,6,NaN,NaN,14,14,NaN,NaN,9,NaN,NaN,10,NaN,NaN,16,11,9,NaN,9,NaN,10,9,9,10,11,NaN,10,11,12,17,NaN,5,16
10/07/2010,14,4,NaN,NaN,NaN,NaN,6,8,NaN,NaN,NaN,NaN,9,6,NaN,NaN,10,NaN,NaN,NaN,8,11,NaN,9,NaN,NaN,6,9,7,NaN,8,8,NaN,5,6,7,7,NaN,6,9,9,NaN,NaN,2,9
12/06/2011,24,6,5,15,NaN,4,6,6,NaN,NaN,NaN,NaN,9,13,NaN,7,NaN,9,NaN,6,9,7,8,8,NaN,5,8,10,9,6,NaN,4,6,7,7,8,10,NaN,NaN,NaN,11,NaN,NaN,6,NaN
04/07/2011,4,8,10,19,NaN,NaN,18,14,NaN,NaN,NaN,NaN,14,18,NaN,17,NaN,19,NaN,14,15,15,NaN,17,NaN,16,17,NaN,12,17,16,15,13,NaN,18,14,20,NaN,16,NaN,18,24,NaN,13,NaN
05/07/2011,24,9,13,16,NaN,NaN,10,9,NaN,NaN,NaN,NaN,15,17,NaN,13,NaN,22,NaN,15,15,16,NaN,16,NaN,14,18,NaN,18,13,9,8,13,NaN,14,17,18,NaN,15,NaN,16,24,NaN,10,NaN
12/08/2011,14,10,1,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,7,8,NaN,NaN,4,14,NaN,7,11,11,NaN,9,NaN,NaN,8,NaN,6,10,5,4,7,NaN,6,9,13,NaN,6,6,13,10,NaN,5,NaN
05/06/2012,14,6,6,8,8,10,NaN,NaN,NaN,NaN,NaN,NaN,12,14,NaN,8,8,NaN,NaN,9,13,10,11,NaN,NaN,11,11,6,10,9,8,NaN,NaN,11,10,11,12,NaN,8,NaN,14,NaN,11,11,10
26/06/2012,14,NaN,7,9,7,8,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN,NaN,11,8,NaN,NaN,10,12,11,NaN,8,NaN,21,16,6,NaN,NaN,8,NaN,NaN,11,9,14,13,NaN,12,9,NaN,NaN,10,10,12
27/06/2012,14,NaN,5,9,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,11,6,NaN,NaN,10,13,11,NaN,8,NaN,17,7,5,NaN,NaN,6,NaN,NaN,5,10,NaN,8,NaN,8,11,NaN,NaN,4,3,9
02/07/2012,24,7,1,NaN,4,3,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,8,4,14,NaN,8,10,7,5,4,NaN,10,8,3,NaN,5,5,NaN,5,5,6,11,6,NaN,7,6,NaN,NaN,4,3,NaN
31/07/2012,14,6,4,7,5,6,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,6,17,NaN,9,13,9,7,8,NaN,NaN,5,NaN,NaN,NaN,6,12,8,7,10,12,8,NaN,10,9,10,NaN,6,6,7
13/08/2012,24,17,12,6,NaN,10,5,NaN,NaN,NaN,NaN,NaN,11,NaN,NaN,14,7,20,NaN,8,12,8,7,6,NaN,NaN,11,4,14,9,9,8,6,NaN,10,NaN,11,NaN,9,4,12,12,9,6,NaN
14/08/2012,14,19,5,6,NaN,6,6,6,NaN,NaN,NaN,NaN,10,NaN,NaN,11,9,17,NaN,9,11,8,6,6,NaN,NaN,11,5,9,9,8,10,5,11,9,NaN,NaN,NaN,9,5,10,12,7,6,9
16/08/2012,14,13,4,9,6,NaN,7,6,NaN,NaN,NaN,NaN,13,NaN,NaN,8,8,14,NaN,10,13,11,7,9,NaN,15,NaN,6,NaN,8,9,12,8,7,11,NaN,NaN,NaN,11,5,10,6,7,6,7
17/08/2012,24,13,1,5,6,NaN,7,NaN,NaN,NaN,NaN,NaN,13,NaN,NaN,7,8,14,NaN,12,14,11,7,8,NaN,14,NaN,6,10,9,9,12,NaN,7,11,NaN,NaN,NaN,11,5,9,5,5,4,6
19/08/2012,4,9,3,8,13,NaN,9,NaN,NaN,NaN,NaN,NaN,17,NaN,NaN,9,10,11,NaN,13,NaN,15,9,10,NaN,16,7,8,17,11,NaN,11,8,9,NaN,NaN,NaN,NaN,9,11,14,7,7,7,5
