Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
07/06/2010,13,8,NaN,8,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,7,NaN,NaN,14,11,18,NaN,9,8,13,7,9,NaN,NaN,12,7,20,12,8,4,5,7,NaN,NaN,NaN,NaN,6,9,11,13,13,3,19
12/07/2010,13,5,NaN,16,NaN,NaN,9,11,NaN,NaN,NaN,NaN,6,7,NaN,7,11,NaN,NaN,NaN,6,9,7,8,NaN,NaN,NaN,10,8,NaN,8,5,5,4,8,7,8,NaN,5,9,11,8,NaN,3,6
13/07/2010,13,5,NaN,12,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,8,6,NaN,2,13,NaN,NaN,NaN,9,11,10,11,NaN,NaN,5,13,8,NaN,9,7,7,8,8,7,9,NaN,6,8,10,8,NaN,4,7
23/08/2011,23,7,4,NaN,NaN,NaN,14,NaN,NaN,NaN,NaN,NaN,14,10,NaN,NaN,8,9,NaN,10,14,13,13,10,NaN,12,7,NaN,10,10,8,11,11,NaN,11,13,15,NaN,11,10,NaN,NaN,NaN,8,NaN
14/06/2012,13,3,4,18,12,12,NaN,NaN,NaN,NaN,NaN,NaN,16,NaN,NaN,8,11,16,NaN,12,15,12,NaN,NaN,NaN,14,5,10,8,10,11,NaN,11,15,12,14,15,NaN,14,NaN,16,NaN,12,16,8
20/06/2012,3,6,4,9,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,NaN,NaN,10,11,NaN,NaN,12,16,14,NaN,NaN,NaN,8,7,10,12,8,11,NaN,11,11,12,14,10,NaN,14,NaN,13,NaN,8,12,8
11/08/2012,13,8,7,19,20,14,18,19,NaN,NaN,NaN,NaN,25,NaN,NaN,11,20,19,NaN,17,21,15,17,17,NaN,23,6,18,12,17,22,20,15,17,18,NaN,15,NaN,20,10,20,5,14,19,NaN
12/08/2012,13,9,10,22,19,18,17,17,NaN,NaN,NaN,NaN,22,NaN,NaN,14,15,20,NaN,19,23,18,15,16,NaN,25,8,17,12,16,18,13,13,20,18,NaN,19,NaN,16,14,23,9,18,21,NaN
15/08/2012,23,NaN,10,11,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,14,NaN,NaN,18,12,21,NaN,16,22,16,12,15,NaN,21,19,8,NaN,14,9,15,9,17,11,NaN,NaN,NaN,12,16,16,16,12,10,13
16/06/2013,23,10,NaN,6,11,NaN,6,9,NaN,NaN,NaN,NaN,14,5,NaN,8,NaN,NaN,NaN,9,7,NaN,8,9,NaN,8,8,8,6,7,10,11,8,7,5,14,8,NaN,11,6,7,5,8,5,6
21/07/2013,3,NaN,NaN,NaN,10,NaN,12,NaN,NaN,NaN,NaN,NaN,19,13,NaN,11,11,15,NaN,23,19,NaN,18,20,NaN,16,15,NaN,14,11,15,15,17,NaN,14,25,18,NaN,20,20,13,NaN,16,11,NaN
22/07/2013,13,NaN,NaN,NaN,17,NaN,26,NaN,NaN,NaN,NaN,NaN,24,15,NaN,18,18,NaN,NaN,25,NaN,NaN,22,22,NaN,20,NaN,NaN,13,16,25,17,23,NaN,NaN,25,21,NaN,27,21,25,NaN,20,27,NaN
06/06/2014,13,12,NaN,11,11,7,NaN,8,NaN,NaN,NaN,NaN,10,6,5,10,9,9,9,14,14,9,12,15,NaN,12,7,12,9,NaN,8,12,13,10,NaN,17,NaN,NaN,11,10,12,10,13,NaN,9
07/06/2014,13,11,NaN,15,12,10,NaN,11,NaN,NaN,NaN,NaN,10,10,10,15,12,11,12,16,15,11,13,16,NaN,14,9,14,14,NaN,8,10,16,11,NaN,20,NaN,NaN,14,12,14,11,15,NaN,12
09/06/2014,13,9,9,10,11,7,NaN,7,NaN,NaN,NaN,NaN,10,11,9,14,9,11,11,18,17,13,12,17,NaN,8,10,11,20,NaN,7,6,15,8,NaN,21,13,NaN,11,15,11,13,9,NaN,12
25/06/2014,3,6,6,13,8,9,NaN,6,NaN,NaN,6,NaN,4,5,5,5,6,5,6,7,7,4,6,NaN,NaN,9,4,10,4,6,3,10,10,11,NaN,NaN,NaN,8,8,3,11,7,12,9,5
