Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
22/06/2010,5,9,NaN,12,NaN,NaN,12,16,NaN,NaN,NaN,NaN,17,13,NaN,9,14,15,NaN,18,12,20,13,13,NaN,NaN,10,13,13,NaN,13,10,10,11,NaN,NaN,16,NaN,10,14,15,13,18,6,11
23/06/2010,15,12,NaN,10,NaN,NaN,14,16,NaN,NaN,NaN,NaN,14,11,NaN,10,16,16,NaN,16,13,23,12,14,NaN,NaN,9,14,18,NaN,13,13,13,11,NaN,NaN,16,NaN,14,16,17,12,19,7,12
27/06/2010,15,11,NaN,6,NaN,NaN,14,NaN,NaN,NaN,NaN,NaN,21,7,NaN,13,18,18,NaN,23,17,NaN,19,21,NaN,NaN,11,16,22,NaN,16,12,13,12,12,22,18,NaN,14,21,18,15,22,9,15
28/06/2010,15,6,NaN,9,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,13,7,NaN,11,17,16,NaN,15,12,23,12,14,NaN,NaN,10,13,14,NaN,14,11,10,11,10,13,14,NaN,13,15,14,13,19,7,14
02/07/2010,15,9,NaN,8,NaN,NaN,7,7,NaN,NaN,NaN,NaN,10,7,NaN,9,13,11,NaN,NaN,9,16,NaN,12,NaN,NaN,7,8,13,NaN,10,NaN,9,4,8,9,9,NaN,9,11,11,9,NaN,3,9
03/07/2010,15,6,NaN,8,NaN,NaN,100,8,NaN,NaN,NaN,NaN,9,6,NaN,6,11,9,NaN,NaN,8,11,NaN,9,NaN,NaN,6,7,8,NaN,9,NaN,6,5,7,9,8,NaN,6,11,9,8,NaN,3,9
04/07/2010,25,6,NaN,7,NaN,NaN,6,8,NaN,NaN,NaN,NaN,8,6,NaN,5,10,8,NaN,NaN,7,11,NaN,9,NaN,NaN,5,7,8,NaN,7,NaN,9,5,7,7,6,NaN,6,9,9,8,NaN,2,8
06/07/2010,5,4,NaN,8,NaN,NaN,7,8,NaN,NaN,NaN,NaN,10,6,NaN,4,12,8,NaN,NaN,7,9,NaN,9,NaN,NaN,6,8,6,NaN,7,NaN,7,5,7,6,9,NaN,5,8,10,8,NaN,3,8
07/07/2010,15,7,NaN,8,NaN,NaN,6,6,NaN,NaN,NaN,NaN,7,7,NaN,5,9,6,NaN,NaN,8,10,NaN,9,NaN,NaN,5,6,8,NaN,9,4,7,3,8,6,6,NaN,8,7,7,8,NaN,2,5
08/07/2010,15,5,NaN,7,NaN,NaN,10,11,NaN,NaN,NaN,NaN,7,6,NaN,5,13,11,NaN,NaN,8,12,NaN,10,NaN,NaN,6,12,7,NaN,9,7,5,6,6,8,9,NaN,7,10,11,9,NaN,4,11
