Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
02/06/2010,0,6,2,10,NaN,NaN,15,11,NaN,NaN,NaN,NaN,25,NaN,NaN,22,22,22,NaN,21,20,23,17,19,NaN,NaN,11,15,12,27,16,14,20,13,NaN,NaN,22,NaN,19,19,34,16,18,8,23
03/06/2010,0,8,3,16,NaN,NaN,NaN,14,NaN,NaN,NaN,NaN,13,NaN,NaN,14,19,19,NaN,16,14,20,12,15,NaN,NaN,12,16,9,24,17,14,14,15,NaN,NaN,16,NaN,17,12,19,15,20,13,19
05/06/2010,-1,15,NaN,22,NaN,NaN,NaN,17,NaN,NaN,NaN,NaN,35,NaN,NaN,31,26,27,NaN,41,34,37,32,39,NaN,NaN,25,28,25,NaN,26,18,34,23,NaN,NaN,34,NaN,37,41,41,36,30,15,30
06/06/2010,-1,14,NaN,5,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,23,NaN,NaN,11,20,24,NaN,27,24,30,28,26,NaN,NaN,18,8,36,NaN,19,5,14,16,NaN,NaN,19,NaN,10,28,23,23,21,6,25
08/06/2010,20,6,NaN,NaN,NaN,NaN,7,8,NaN,NaN,NaN,NaN,7,NaN,NaN,12,11,12,NaN,9,9,13,8,9,NaN,NaN,15,6,11,NaN,8,5,6,6,NaN,NaN,NaN,NaN,7,8,14,17,14,6,12
12/06/2010,0,4,4,6,NaN,NaN,9,9,NaN,NaN,NaN,NaN,13,NaN,NaN,2,13,8,NaN,11,11,15,11,12,NaN,NaN,5,9,6,10,NaN,6,8,6,NaN,9,8,NaN,9,9,13,8,12,4,6
13/06/2010,20,4,3,6,NaN,NaN,8,9,NaN,NaN,NaN,NaN,11,NaN,NaN,5,12,11,NaN,12,10,16,10,11,NaN,NaN,7,10,10,15,NaN,6,9,6,NaN,10,9,NaN,9,10,11,10,14,4,10
15/06/2010,0,5,NaN,6,NaN,NaN,8,11,NaN,NaN,NaN,NaN,8,NaN,NaN,2,13,9,NaN,8,9,12,6,7,NaN,NaN,6,12,5,12,8,7,7,7,NaN,6,10,NaN,7,7,12,8,13,5,7
16/06/2010,0,8,NaN,9,NaN,NaN,7,10,NaN,NaN,NaN,NaN,8,NaN,NaN,4,11,15,NaN,9,9,11,7,8,NaN,NaN,10,12,5,10,9,7,7,10,NaN,6,14,NaN,7,6,15,12,17,5,9
17/06/2010,0,13,NaN,5,NaN,NaN,8,10,NaN,NaN,NaN,NaN,9,8,NaN,4,11,14,NaN,11,10,14,7,9,NaN,NaN,10,10,6,11,10,7,9,11,NaN,7,13,NaN,8,9,13,13,19,6,8
18/06/2010,0,4,NaN,8,NaN,NaN,12,15,NaN,NaN,NaN,NaN,10,8,NaN,5,16,13,NaN,10,10,14,8,9,NaN,NaN,8,14,7,17,10,10,9,8,NaN,7,13,NaN,9,9,19,10,16,4,10
20/06/2010,0,3,NaN,6,NaN,NaN,11,12,NaN,NaN,NaN,NaN,8,8,NaN,2,12,9,NaN,10,10,13,8,10,NaN,NaN,6,11,6,12,9,8,8,6,NaN,6,9,NaN,8,8,10,8,14,4,8
21/06/2010,0,8,NaN,9,NaN,NaN,11,10,NaN,NaN,NaN,NaN,17,7,NaN,2,14,12,NaN,17,14,20,12,16,NaN,NaN,9,11,5,NaN,12,8,11,8,NaN,9,12,NaN,12,9,15,11,15,4,10
25/06/2010,0,3,NaN,10,NaN,NaN,10,16,NaN,NaN,NaN,NaN,12,8,NaN,4,16,12,NaN,20,14,25,13,17,NaN,NaN,10,12,16,NaN,13,8,10,11,NaN,19,14,NaN,13,20,14,11,18,8,9
14/07/2010,20,4,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,7,8,NaN,8,11,NaN,NaN,NaN,NaN,10,7,9,NaN,NaN,12,8,9,NaN,8,8,7,6,6,6,8,NaN,5,7,11,NaN,NaN,5,12
15/07/2010,20,5,NaN,10,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,9,6,NaN,4,10,9,NaN,NaN,NaN,10,8,8,NaN,NaN,9,7,7,NaN,8,6,9,4,5,7,6,NaN,6,8,8,NaN,NaN,2,8
16/07/2010,20,5,NaN,5,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,8,5,NaN,4,9,7,NaN,9,NaN,9,8,8,NaN,NaN,4,7,6,NaN,7,6,8,4,6,6,6,NaN,7,7,9,7,NaN,2,7
20/07/2010,20,6,NaN,8,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,13,5,NaN,11,10,10,NaN,14,NaN,16,13,14,NaN,NaN,NaN,7,23,NaN,10,6,15,9,11,14,10,NaN,11,17,12,11,NaN,2,11
21/07/2010,20,3,NaN,7,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,6,11,NaN,NaN,9,10,NaN,6,NaN,9,6,6,NaN,NaN,NaN,12,12,NaN,8,5,5,5,5,5,8,NaN,5,6,7,6,NaN,3,10
23/07/2010,0,5,NaN,10,NaN,NaN,13,NaN,NaN,NaN,NaN,NaN,14,8,NaN,NaN,14,9,NaN,10,NaN,11,9,10,NaN,NaN,NaN,NaN,NaN,NaN,12,8,10,7,11,7,10,NaN,10,9,14,NaN,NaN,4,10
29/07/2010,0,4,NaN,7,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,7,7,NaN,3,10,7,NaN,8,NaN,10,6,8,NaN,NaN,NaN,11,7,NaN,8,6,8,4,7,6,7,NaN,6,7,9,8,NaN,1,7
06/08/2010,20,9,NaN,8,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,9,6,NaN,7,12,12,NaN,9,NaN,11,9,10,NaN,NaN,NaN,11,8,NaN,10,5,8,6,7,8,8,NaN,8,NaN,10,10,NaN,3,11
09/08/2010,20,10,NaN,6,NaN,NaN,7,7,NaN,NaN,NaN,NaN,11,7,NaN,8,13,11,NaN,11,NaN,13,10,11,NaN,NaN,NaN,11,10,NaN,11,5,9,7,NaN,12,9,NaN,7,13,9,9,NaN,3,11
10/08/2010,20,6,NaN,10,NaN,NaN,5,6,NaN,NaN,NaN,NaN,5,6,NaN,NaN,10,10,NaN,5,NaN,9,7,7,NaN,NaN,NaN,9,6,NaN,7,3,5,5,NaN,4,8,NaN,5,5,8,8,NaN,3,11
14/08/2010,-1,6,NaN,10,NaN,NaN,7,8,NaN,NaN,NaN,NaN,12,5,NaN,5,14,9,NaN,14,14,15,12,15,NaN,NaN,6,11,11,NaN,9,5,9,6,9,10,9,NaN,NaN,20,12,9,NaN,4,10
15/08/2010,0,5,NaN,15,NaN,NaN,17,19,NaN,NaN,NaN,NaN,16,7,NaN,6,22,15,NaN,14,16,16,14,15,NaN,NaN,8,22,8,NaN,19,18,18,11,16,12,14,NaN,NaN,15,20,12,NaN,11,12
16/08/2010,-1,5,NaN,14,NaN,NaN,11,12,NaN,NaN,NaN,NaN,11,10,NaN,5,21,12,NaN,11,NaN,14,10,12,NaN,NaN,8,16,6,NaN,16,13,14,13,14,9,13,NaN,NaN,13,19,11,NaN,6,14
20/08/2010,20,9,NaN,9,NaN,NaN,6,7,NaN,NaN,NaN,NaN,8,4,NaN,5,11,8,NaN,7,10,11,NaN,10,NaN,NaN,6,10,5,NaN,7,8,11,3,8,7,8,NaN,NaN,7,8,10,NaN,2,7
23/08/2010,20,6,NaN,8,NaN,NaN,6,7,NaN,NaN,NaN,NaN,6,7,NaN,6,11,8,NaN,4,NaN,8,NaN,NaN,NaN,NaN,7,11,4,NaN,5,4,6,5,6,NaN,8,NaN,NaN,5,10,10,NaN,NaN,9
