Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/06/2010,6,13,5,8,NaN,NaN,14,NaN,NaN,NaN,NaN,NaN,19,NaN,NaN,16,22,28,NaN,23,20,23,21,20,NaN,NaN,22,13,15,19,19,7,19,17,NaN,NaN,18,NaN,NaN,19,22,24,23,9,24
24/06/2010,6,4,NaN,7,NaN,NaN,11,12,NaN,NaN,NaN,NaN,12,6,NaN,8,14,12,NaN,13,10,19,10,11,NaN,NaN,7,12,14,NaN,13,11,10,8,NaN,NaN,11,NaN,9,10,13,10,16,4,11
17/07/2010,16,3,NaN,6,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,8,4,NaN,5,10,9,NaN,8,NaN,10,7,7,NaN,NaN,5,8,7,NaN,6,6,6,4,6,5,7,NaN,6,8,9,7,NaN,3,9
26/07/2010,16,7,NaN,6,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,9,7,NaN,6,10,8,NaN,8,NaN,11,NaN,8,NaN,NaN,NaN,10,NaN,NaN,10,6,6,7,6,8,9,NaN,6,9,13,NaN,NaN,2,8
27/07/2010,16,6,NaN,5,NaN,NaN,11,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,6,11,7,NaN,11,NaN,14,NaN,12,NaN,NaN,NaN,20,NaN,NaN,NaN,6,9,4,10,11,8,NaN,8,13,12,NaN,NaN,2,9
30/07/2010,16,6,NaN,8,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,8,6,NaN,8,12,11,NaN,9,NaN,11,8,10,NaN,NaN,NaN,11,8,NaN,9,6,9,6,7,9,9,NaN,7,10,13,9,NaN,3,12
31/07/2010,26,2,NaN,5,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,7,6,NaN,4,9,7,NaN,8,NaN,11,7,9,NaN,NaN,NaN,8,8,NaN,8,4,7,4,6,7,7,NaN,5,9,10,7,NaN,1,7
03/08/2010,16,8,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,6,NaN,6,12,9,NaN,11,NaN,14,NaN,12,NaN,NaN,NaN,NaN,8,NaN,10,5,7,6,7,11,9,NaN,6,NaN,NaN,8,NaN,3,10
18/08/2010,26,6,NaN,8,NaN,NaN,6,7,NaN,NaN,NaN,NaN,7,6,NaN,4,12,7,NaN,7,8,10,NaN,9,NaN,NaN,5,11,5,NaN,7,5,8,4,7,NaN,8,NaN,NaN,6,9,8,NaN,3,8
21/08/2010,16,6,NaN,8,NaN,NaN,5,6,NaN,NaN,NaN,NaN,7,4,NaN,5,10,9,NaN,5,8,9,NaN,9,NaN,NaN,6,8,5,NaN,7,5,8,4,6,6,9,NaN,NaN,5,8,9,NaN,3,9
22/08/2010,16,3,NaN,8,NaN,NaN,5,7,NaN,NaN,NaN,NaN,5,4,NaN,7,11,9,NaN,5,NaN,10,NaN,8,NaN,NaN,5,12,5,NaN,7,4,7,4,6,5,10,NaN,NaN,5,8,9,NaN,4,8
01/06/2011,16,5,4,11,NaN,6,11,10,NaN,NaN,NaN,NaN,9,9,NaN,9,NaN,12,NaN,12,13,14,14,NaN,NaN,9,8,15,12,8,NaN,5,10,10,10,14,14,NaN,9,NaN,10,12,NaN,6,14
09/06/2011,16,4,1,10,NaN,1,6,6,NaN,NaN,NaN,NaN,10,8,NaN,5,NaN,8,NaN,6,9,9,8,8,NaN,2,6,9,7,5,NaN,4,7,4,5,8,10,NaN,NaN,NaN,10,8,NaN,4,NaN
27/06/2011,26,6,5,12,NaN,NaN,17,14,NaN,NaN,NaN,NaN,15,12,NaN,NaN,NaN,NaN,NaN,17,21,18,NaN,17,NaN,13,17,NaN,21,NaN,9,12,14,NaN,13,16,NaN,NaN,NaN,NaN,17,NaN,NaN,9,NaN
29/06/2011,16,5,2,10,NaN,NaN,7,5,NaN,NaN,NaN,NaN,9,10,NaN,5,NaN,8,NaN,8,8,10,6,9,NaN,8,6,NaN,9,8,4,3,8,6,7,10,11,NaN,NaN,NaN,12,11,NaN,4,NaN
05/08/2011,16,6,3,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,11,9,NaN,4,NaN,9,NaN,8,12,11,8,9,NaN,NaN,5,NaN,7,8,6,5,11,7,8,11,11,NaN,9,8,14,11,NaN,3,NaN
14/08/2011,16,5,1,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,8,8,NaN,NaN,3,8,NaN,6,8,10,NaN,7,NaN,NaN,6,NaN,4,5,3,4,8,NaN,7,9,8,NaN,6,6,7,10,NaN,3,NaN
16/08/2011,26,6,1,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,8,8,NaN,NaN,4,9,NaN,8,11,12,11,9,NaN,NaN,6,NaN,7,5,4,6,9,NaN,8,10,9,NaN,9,7,7,10,NaN,2,NaN
21/08/2011,26,6,2,NaN,NaN,NaN,11,NaN,NaN,NaN,NaN,NaN,12,10,NaN,NaN,5,10,NaN,10,13,13,11,12,NaN,12,6,NaN,13,8,6,11,11,NaN,10,15,12,NaN,11,14,11,10,NaN,4,NaN
23/06/2012,26,6,1,6,5,5,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,NaN,7,6,10,NaN,7,10,8,NaN,NaN,NaN,6,5,5,7,5,6,NaN,NaN,7,7,10,7,NaN,9,8,9,NaN,5,5,6
01/07/2012,26,7,1,3,5,2,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,7,5,12,NaN,6,8,6,4,4,NaN,10,5,5,NaN,3,5,NaN,7,4,6,9,5,NaN,7,6,8,NaN,4,4,7
15/07/2012,16,5,2,5,4,2,5,6,NaN,NaN,NaN,NaN,11,NaN,NaN,6,5,9,NaN,7,10,8,5,NaN,NaN,6,4,4,8,4,5,7,11,4,6,9,5,NaN,8,8,8,NaN,3,2,4
16/07/2012,16,7,3,6,4,3,6,7,NaN,NaN,NaN,NaN,10,NaN,NaN,8,5,11,NaN,6,NaN,7,4,NaN,NaN,9,5,5,6,NaN,5,10,7,7,6,7,5,NaN,8,7,NaN,NaN,5,4,4
17/07/2012,16,7,2,6,5,4,6,NaN,NaN,NaN,NaN,NaN,13,NaN,NaN,9,6,13,NaN,10,NaN,9,NaN,7,NaN,10,6,7,9,NaN,7,11,8,6,9,NaN,6,NaN,10,9,NaN,NaN,4,3,4
30/07/2012,16,5,2,4,3,NaN,4,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,6,6,10,NaN,7,8,6,4,5,NaN,11,4,4,6,6,7,8,4,4,8,9,5,NaN,7,NaN,8,NaN,4,2,4
22/08/2012,16,5,2,6,4,NaN,4,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,6,6,11,NaN,7,10,10,3,6,NaN,11,5,5,8,5,NaN,9,7,8,8,NaN,NaN,NaN,8,4,7,3,5,3,5
13/06/2013,16,6,NaN,6,9,NaN,5,7,NaN,NaN,NaN,NaN,14,4,NaN,7,NaN,NaN,NaN,8,5,NaN,6,7,NaN,7,7,6,4,5,8,NaN,9,4,4,11,7,NaN,9,4,6,4,5,2,4
21/06/2013,6,12,9,9,23,NaN,13,16,NaN,NaN,NaN,NaN,16,10,NaN,13,NaN,NaN,NaN,14,14,NaN,16,15,NaN,18,13,14,28,18,16,10,10,14,12,19,20,NaN,12,11,16,11,17,13,10
29/06/2013,6,8,5,9,10,NaN,8,12,NaN,NaN,NaN,NaN,12,6,NaN,6,NaN,NaN,NaN,10,7,NaN,8,7,NaN,7,8,9,6,9,10,12,8,7,5,14,9,NaN,8,6,9,5,8,5,5
30/06/2013,16,6,3,7,11,NaN,7,8,NaN,NaN,NaN,NaN,14,4,NaN,9,NaN,NaN,NaN,11,8,NaN,9,9,NaN,6,7,10,7,7,14,10,9,5,6,17,8,NaN,11,8,8,NaN,7,4,7
01/07/2013,6,NaN,NaN,NaN,12,NaN,NaN,15,NaN,NaN,NaN,NaN,12,3,NaN,10,NaN,14,NaN,11,9,NaN,11,10,NaN,10,9,13,7,9,12,15,9,10,8,15,12,NaN,11,7,11,6,11,8,8
03/07/2013,16,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,10,3,NaN,7,NaN,11,NaN,7,4,NaN,5,5,NaN,6,8,7,6,6,9,NaN,6,NaN,3,10,8,NaN,7,NaN,7,6,6,3,6
04/07/2013,16,NaN,NaN,NaN,9,NaN,6,10,NaN,NaN,NaN,NaN,12,5,NaN,10,NaN,15,NaN,11,7,NaN,8,8,NaN,6,8,9,6,8,11,NaN,7,NaN,5,14,10,NaN,10,8,9,6,8,4,8
30/07/2013,26,NaN,NaN,NaN,3,NaN,5,6,NaN,NaN,NaN,NaN,6,4,NaN,7,5,NaN,NaN,NaN,NaN,NaN,6,7,NaN,5,7,7,5,4,8,3,6,NaN,3,NaN,8,NaN,8,4,7,NaN,NaN,3,NaN
10/08/2013,6,NaN,NaN,NaN,3,NaN,5,7,NaN,NaN,NaN,NaN,8,3,NaN,6,4,5,NaN,14,6,NaN,NaN,9,NaN,6,5,8,6,6,9,5,3,NaN,6,10,7,NaN,8,5,7,5,6,NaN,4
11/08/2013,16,NaN,NaN,NaN,2,NaN,4,6,NaN,NaN,NaN,NaN,4,3,NaN,5,2,4,NaN,11,4,NaN,NaN,6,NaN,5,5,6,4,3,9,2,2,NaN,4,10,7,NaN,6,5,6,5,4,NaN,6
16/08/2013,16,NaN,NaN,NaN,4,NaN,6,7,NaN,NaN,NaN,NaN,6,4,NaN,6,4,5,NaN,10,9,NaN,NaN,9,NaN,NaN,7,7,5,7,NaN,3,12,NaN,NaN,10,NaN,NaN,11,6,10,6,3,NaN,6
18/08/2013,16,NaN,NaN,NaN,3,NaN,5,6,NaN,NaN,NaN,NaN,5,4,NaN,6,3,4,NaN,6,4,8,NaN,5,NaN,NaN,6,7,3,4,8,4,9,NaN,2,9,NaN,NaN,8,4,7,5,1,3,5
19/08/2013,6,NaN,NaN,NaN,4,NaN,6,10,NaN,NaN,NaN,NaN,7,7,NaN,6,4,6,NaN,8,5,9,NaN,6,NaN,NaN,7,8,5,5,8,NaN,NaN,NaN,NaN,10,NaN,NaN,9,5,8,6,2,5,6
29/08/2013,16,NaN,NaN,NaN,4,NaN,5,9,NaN,NaN,NaN,NaN,15,4,NaN,8,5,7,NaN,18,13,16,NaN,13,NaN,8,7,8,13,8,10,5,16,7,8,20,10,NaN,14,15,10,6,7,3,7
30/08/2013,16,7,NaN,NaN,3,NaN,4,NaN,NaN,NaN,NaN,NaN,5,4,NaN,7,4,7,NaN,9,5,8,NaN,7,NaN,7,7,6,5,6,8,2,8,7,2,10,9,NaN,9,5,NaN,5,6,3,7
30/07/2014,16,6,NaN,8,11,NaN,NaN,8,NaN,NaN,12,NaN,7,6,5,10,15,10,15,12,12,8,12,NaN,NaN,7,NaN,14,NaN,12,8,14,14,NaN,7,6,10,9,12,NaN,12,NaN,9,3,9
31/07/2014,16,6,NaN,11,9,NaN,NaN,7,NaN,NaN,9,NaN,10,7,6,12,13,13,18,15,13,10,12,NaN,NaN,10,NaN,11,NaN,8,7,11,14,NaN,5,10,14,9,12,NaN,12,NaN,12,7,11
07/08/2014,6,9,NaN,8,9,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,6,13,7,NaN,NaN,NaN,9,12,NaN,NaN,5,NaN,11,NaN,7,6,9,15,NaN,5,6,10,7,13,NaN,10,8,7,2,7
