Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/01/2010,18,3,1,20,NaN,5,14,10,NaN,NaN,NaN,NaN,10,11,NaN,11,14,7,NaN,12,14,15,10,NaN,NaN,NaN,2,13,13,12,13,18,11,18,13,NaN,15,NaN,13,13,19,1,16,4,11
29/01/2010,18,3,1,5,NaN,1,5,5,NaN,NaN,NaN,NaN,5,NaN,NaN,-1,8,6,NaN,9,12,12,7,9,NaN,5,3,6,5,7,7,5,NaN,3,6,NaN,7,NaN,6,8,10,1,9,1,5
30/01/2010,18,3,0,8,NaN,1,13,9,NaN,NaN,NaN,NaN,7,6,NaN,NaN,11,7,NaN,10,11,15,8,10,NaN,7,4,10,9,10,9,11,NaN,5,9,NaN,10,NaN,10,12,11,1,12,2,8
28/02/2010,28,5,1,10,NaN,5,12,10,NaN,NaN,NaN,NaN,6,6,NaN,2,9,8,NaN,14,14,17,9,12,NaN,6,5,13,14,9,9,8,NaN,8,9,NaN,9,NaN,8,14,11,3,18,6,9
06/12/2010,28,NaN,2,15,NaN,NaN,25,27,NaN,NaN,NaN,NaN,18,11,NaN,31,24,32,NaN,25,28,NaN,18,25,NaN,40,22,20,NaN,40,26,NaN,19,38,20,14,49,NaN,19,22,50,17,NaN,NaN,NaN
07/12/2010,18,NaN,5,24,NaN,NaN,28,29,NaN,NaN,NaN,NaN,22,13,NaN,63,31,21,NaN,27,29,NaN,21,23,NaN,23,11,27,NaN,53,37,NaN,21,30,19,18,43,NaN,21,26,49,11,NaN,36,NaN
08/12/2010,8,NaN,6,20,NaN,NaN,24,19,NaN,NaN,NaN,NaN,16,12,NaN,2,21,8,NaN,21,23,18,13,17,NaN,13,8,16,NaN,13,23,NaN,17,17,17,12,23,NaN,20,20,32,8,NaN,10,9
16/12/2010,18,NaN,0,8,NaN,NaN,8,11,NaN,NaN,NaN,NaN,9,7,NaN,NaN,NaN,6,NaN,12,13,9,8,9,NaN,8,4,8,10,7,9,7,11,5,7,6,10,NaN,9,10,9,6,NaN,5,5
06/01/2011,18,NaN,1,NaN,NaN,NaN,27,13,NaN,NaN,NaN,NaN,12,9,NaN,9,NaN,11,NaN,18,18,NaN,16,18,NaN,13,7,16,NaN,19,22,NaN,15,7,22,12,21,NaN,14,19,18,9,NaN,4,9
16/12/2011,28,9,2,12,8,7,7,7,NaN,NaN,NaN,NaN,5,11,NaN,11,8,14,NaN,6,10,NaN,7,10,NaN,17,11,NaN,8,13,5,3,7,14,6,5,16,NaN,5,6,20,13,NaN,7,11
13/02/2012,18,5,3,6,16,15,14,10,NaN,NaN,NaN,NaN,21,10,NaN,10,19,13,NaN,17,23,22,18,22,NaN,16,8,NaN,13,14,18,NaN,28,12,22,20,15,NaN,23,15,18,11,NaN,13,7
01/12/2012,18,3,1,11,15,8,NaN,NaN,NaN,NaN,NaN,NaN,28,7,NaN,10,23,15,NaN,20,25,20,20,24,NaN,25,8,14,18,NaN,NaN,24,22,20,18,18,26,NaN,27,NaN,27,3,25,10,11
05/12/2012,18,4,2,17,10,0,12,NaN,NaN,NaN,NaN,NaN,15,6,NaN,5,12,9,NaN,9,17,8,11,13,NaN,8,6,9,10,NaN,NaN,15,12,9,10,9,10,NaN,16,NaN,13,4,10,7,5
07/12/2012,18,4,0,7,5,NaN,4,NaN,NaN,NaN,NaN,NaN,6,4,NaN,4,6,7,NaN,3,9,2,4,5,NaN,8,5,3,9,6,5,9,5,5,2,5,5,NaN,6,NaN,9,3,4,4,4
09/12/2012,18,4,2,8,6,3,5,NaN,NaN,NaN,NaN,NaN,10,3,NaN,3,7,8,NaN,5,11,5,6,7,NaN,5,6,4,9,7,NaN,8,7,6,5,8,7,NaN,9,NaN,9,3,6,5,4
01/02/2013,28,3,0,NaN,NaN,NaN,4,12,NaN,NaN,NaN,NaN,7,NaN,NaN,9,8,10,NaN,9,NaN,10,6,9,NaN,14,7,4,13,7,6,6,7,7,4,9,10,NaN,8,NaN,8,3,8,6,6
06/02/2013,18,4,NaN,8,7,NaN,4,11,NaN,NaN,NaN,NaN,6,NaN,NaN,5,7,7,NaN,6,NaN,8,4,6,NaN,NaN,6,4,7,5,5,10,6,3,1,6,5,NaN,6,5,6,3,4,5,4
18/01/2015,18,7,4,7,11,9,NaN,NaN,NaN,NaN,11,NaN,NaN,6,7,NaN,14,9,13,15,15,NaN,14,20,17,13,4,5,22,12,8,7,14,NaN,13,NaN,14,7,15,19,14,2,16,4,12
31/01/2015,18,6,NaN,6,2,7,7,NaN,NaN,NaN,4,NaN,NaN,3,2,3,9,4,6,6,9,NaN,6,10,4,4,3,3,8,4,3,7,5,3,3,3,4,4,8,8,NaN,1,3,3,4
01/02/2015,18,5,NaN,7,5,7,10,NaN,NaN,NaN,6,NaN,NaN,3,4,4,11,5,6,5,8,NaN,6,10,5,4,4,7,12,5,6,11,5,6,4,3,7,5,8,6,NaN,2,7,4,7
12/01/2016,28,1,0,2,3,3,NaN,5,4,NaN,2,NaN,8,4,3,7,2,NaN,6,NaN,4,6,4,5,1,2,7,4,6,5,NaN,NaN,5,NaN,3,5,NaN,6,5,NaN,8,6,NaN,2,5
14/01/2016,28,1,1,4,4,NaN,4,NaN,NaN,NaN,2,NaN,5,NaN,3,NaN,3,NaN,6,NaN,3,4,3,4,0,NaN,4,5,3,4,NaN,NaN,3,NaN,1,3,NaN,5,3,3,10,6,NaN,2,NaN
15/01/2016,18,1,1,5,6,NaN,5,NaN,5,NaN,4,NaN,9,NaN,5,NaN,5,4,11,NaN,5,6,6,7,3,NaN,3,NaN,7,9,NaN,NaN,5,NaN,4,5,NaN,6,5,6,15,4,NaN,3,NaN
24/02/2016,8,NaN,NaN,8,15,12,23,6,12,18,13,NaN,16,3,7,18,15,12,24,19,21,15,NaN,23,NaN,18,7,11,19,NaN,14,13,NaN,16,NaN,14,22,11,NaN,20,22,6,NaN,8,NaN
