Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
02/01/2010,21,5,0,11,NaN,2,15,13,NaN,NaN,NaN,NaN,14,5,NaN,9,11,7,NaN,14,14,17,10,NaN,NaN,NaN,4,10,19,14,10,29,16,10,11,NaN,18,NaN,15,17,13,1,17,3,10
05/01/2010,21,4,1,8,NaN,5,31,15,NaN,NaN,NaN,NaN,23,7,NaN,20,20,13,NaN,21,23,24,29,23,NaN,NaN,4,19,22,19,20,19,20,NaN,30,NaN,11,NaN,26,22,20,2,12,5,17
06/01/2010,11,6,3,9,NaN,4,13,8,NaN,NaN,NaN,NaN,10,8,NaN,9,14,7,NaN,15,18,17,11,15,NaN,NaN,3,11,18,10,15,10,5,NaN,11,NaN,9,NaN,10,17,14,1,14,5,7
23/01/2010,1,8,2,13,NaN,5,16,15,NaN,NaN,NaN,NaN,15,11,NaN,10,21,17,NaN,16,19,19,14,15,NaN,18,8,16,21,20,17,14,NaN,9,16,NaN,17,NaN,15,18,27,6,16,4,16
09/02/2010,1,3,1,8,NaN,2,14,12,NaN,NaN,NaN,NaN,12,5,NaN,2,11,7,NaN,NaN,12,14,7,8,NaN,4,4,11,6,8,NaN,10,NaN,4,8,NaN,10,NaN,8,10,11,0,12,3,6
22/12/2010,11,NaN,9,93,NaN,NaN,31,32,NaN,NaN,NaN,NaN,17,29,NaN,15,33,26,NaN,23,28,NaN,19,24,NaN,23,13,32,13,25,24,25,25,32,23,15,NaN,NaN,26,21,32,17,NaN,32,20
23/12/2010,1,NaN,7,111,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,9,20,NaN,4,22,15,NaN,11,15,NaN,10,10,NaN,17,8,22,8,13,15,17,12,38,NaN,6,NaN,NaN,13,11,25,11,NaN,18,14
26/01/2011,11,6,1,10,NaN,5,13,10,NaN,NaN,NaN,NaN,9,8,NaN,1,17,8,NaN,14,17,11,10,12,NaN,6,6,14,9,12,13,NaN,NaN,8,15,10,13,NaN,12,12,NaN,10,NaN,8,7
03/02/2015,11,NaN,6,27,13,11,15,NaN,NaN,NaN,12,NaN,NaN,NaN,11,10,16,9,13,12,16,NaN,11,16,12,11,8,9,NaN,11,12,10,14,17,10,8,17,9,17,12,NaN,4,15,8,10
14/02/2016,11,2,NaN,2,7,4,12,10,NaN,14,6,NaN,12,3,5,4,6,3,10,10,12,10,10,10,8,7,3,10,7,6,9,14,12,5,6,11,6,4,12,NaN,9,3,NaN,5,5
