Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
04/01/2010,17,3,4,27,NaN,28,43,22,NaN,NaN,NaN,NaN,22,9,NaN,14,33,17,NaN,31,29,34,26,NaN,NaN,NaN,8,25,18,17,25,18,19,NaN,27,NaN,39,NaN,24,28,32,2,47,10,12
27/01/2010,17,6,2,12,NaN,15,38,33,NaN,NaN,NaN,NaN,32,NaN,NaN,17,35,18,NaN,NaN,39,43,NaN,39,NaN,26,9,32,38,30,38,35,NaN,21,42,NaN,28,NaN,46,39,31,3,28,14,17
28/01/2010,17,NaN,1,8,NaN,6,7,9,NaN,NaN,NaN,NaN,11,NaN,NaN,3,11,8,NaN,NaN,15,15,NaN,12,NaN,7,6,9,7,12,9,8,NaN,5,9,NaN,11,NaN,9,11,13,2,13,4,6
31/01/2010,17,3,0,6,NaN,5,17,12,NaN,NaN,NaN,NaN,11,5,NaN,1,13,10,NaN,15,15,21,13,16,NaN,10,4,12,17,14,15,18,NaN,6,14,NaN,14,NaN,21,17,10,2,14,2,8
02/02/2010,27,4,0,8,NaN,5,6,NaN,NaN,NaN,NaN,NaN,6,8,NaN,2,11,9,NaN,NaN,10,12,9,8,NaN,8,NaN,7,6,10,7,6,NaN,8,8,NaN,13,NaN,8,8,9,1,14,2,8
14/02/2010,7,13,7,14,NaN,12,17,10,NaN,NaN,NaN,NaN,17,12,NaN,NaN,18,10,NaN,NaN,14,17,10,13,NaN,14,12,13,11,15,16,15,NaN,18,17,NaN,18,NaN,16,15,22,7,26,8,10
05/12/2010,7,NaN,4,21,NaN,NaN,45,18,NaN,NaN,NaN,NaN,15,12,NaN,9,23,14,NaN,22,20,NaN,14,19,NaN,23,8,21,NaN,27,19,NaN,17,29,25,10,27,NaN,19,20,22,9,NaN,NaN,NaN
09/12/2010,7,NaN,1,18,NaN,NaN,28,20,NaN,NaN,NaN,NaN,12,10,NaN,3,20,11,NaN,16,18,17,12,17,NaN,26,11,16,NaN,16,16,NaN,14,12,13,9,30,NaN,14,15,16,9,NaN,5,12
10/12/2010,17,NaN,-1,10,NaN,NaN,16,17,NaN,NaN,NaN,NaN,13,8,NaN,8,14,10,NaN,16,18,15,11,16,NaN,8,7,11,17,14,12,NaN,16,5,15,10,13,NaN,19,16,12,6,NaN,4,10
17/12/2010,27,NaN,1,9,NaN,NaN,8,18,NaN,NaN,NaN,NaN,11,10,NaN,NaN,24,11,NaN,14,15,11,10,15,NaN,12,9,11,10,13,19,9,14,7,13,7,NaN,NaN,10,13,13,8,NaN,4,8
09/01/2011,17,NaN,1,13,NaN,NaN,13,8,NaN,NaN,NaN,NaN,11,7,NaN,3,NaN,9,NaN,11,11,8,10,12,NaN,6,5,15,NaN,8,10,NaN,16,6,12,8,13,NaN,19,12,NaN,8,NaN,NaN,7
11/01/2011,17,NaN,1,11,NaN,NaN,8,7,NaN,NaN,NaN,NaN,9,12,NaN,4,NaN,13,NaN,11,13,10,11,10,NaN,8,8,11,NaN,11,10,NaN,12,10,12,8,13,NaN,9,11,13,12,NaN,NaN,8
24/01/2011,7,NaN,1,11,NaN,6,15,9,NaN,NaN,NaN,NaN,13,10,NaN,3,NaN,9,NaN,16,18,14,12,15,NaN,8,8,16,11,14,12,NaN,15,11,17,12,13,NaN,12,15,NaN,10,NaN,5,6
25/01/2011,17,6,0,10,NaN,6,17,14,NaN,NaN,NaN,NaN,11,10,NaN,8,16,10,NaN,15,15,13,9,13,NaN,10,7,10,15,14,11,NaN,NaN,9,15,13,15,NaN,13,16,NaN,12,NaN,6,9
07/02/2011,27,4,0,9,NaN,6,9,8,NaN,NaN,NaN,NaN,11,8,NaN,NaN,13,6,NaN,10,12,11,9,10,NaN,2,7,12,8,NaN,10,NaN,11,4,NaN,11,8,NaN,10,12,7,9,NaN,3,5
26/02/2011,17,7,2,10,NaN,NaN,6,5,NaN,NaN,NaN,NaN,6,11,NaN,3,12,7,NaN,5,7,8,5,5,NaN,NaN,6,7,6,7,6,NaN,9,4,3,13,10,NaN,5,NaN,9,9,NaN,3,10
27/02/2011,17,4,0,9,NaN,NaN,8,4,NaN,NaN,NaN,NaN,8,8,NaN,2,13,8,NaN,6,9,8,8,7,NaN,NaN,5,8,7,6,10,NaN,9,4,5,12,10,NaN,9,NaN,8,9,NaN,4,8
04/12/2011,17,2,0,2,3,4,7,7,NaN,NaN,NaN,NaN,5,7,NaN,5,4,7,NaN,6,9,6,7,9,NaN,-1,4,3,5,5,4,2,7,2,6,8,3,NaN,6,7,8,6,NaN,3,3
05/12/2011,17,5,0,3,4,4,7,7,NaN,NaN,NaN,NaN,5,7,NaN,5,3,8,NaN,7,9,6,6,8,NaN,7,4,4,6,4,4,3,8,3,5,5,4,NaN,7,6,8,6,NaN,4,3
07/12/2011,17,4,0,5,5,7,8,8,NaN,NaN,NaN,NaN,8,9,NaN,5,5,9,NaN,6,10,6,6,NaN,NaN,10,6,5,5,7,5,6,8,6,6,7,6,NaN,8,5,8,8,NaN,6,3
09/12/2011,17,6,2,6,5,5,10,12,NaN,NaN,NaN,NaN,8,12,NaN,6,5,9,NaN,7,11,7,8,10,NaN,9,6,3,6,6,5,9,9,6,7,6,5,NaN,9,7,8,7,NaN,4,5
17/12/2011,17,2,1,6,6,3,8,8,NaN,NaN,NaN,NaN,12,10,NaN,7,8,10,NaN,11,14,NaN,11,15,NaN,15,7,NaN,10,14,6,5,10,12,9,11,14,NaN,9,11,14,9,NaN,3,6
18/12/2011,7,4,1,8,8,6,23,10,NaN,NaN,NaN,NaN,10,10,NaN,6,8,9,NaN,8,11,NaN,9,14,NaN,19,5,NaN,9,14,6,11,10,11,6,9,16,NaN,10,9,15,7,NaN,4,8
23/12/2011,17,6,1,5,4,NaN,7,5,NaN,NaN,NaN,NaN,7,8,NaN,6,4,7,NaN,5,8,6,6,8,NaN,7,5,NaN,6,5,4,3,10,3,6,6,5,NaN,6,5,9,9,NaN,3,3
