Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
13/01/2010,24,17,13,14,NaN,19,38,38,NaN,NaN,NaN,NaN,39,22,NaN,35,42,37,NaN,51,56,56,51,NaN,NaN,NaN,30,37,35,39,47,14,NaN,24,50,NaN,24,NaN,36,51,36,20,26,18,35
14/01/2010,14,18,19,19,NaN,35,40,28,NaN,NaN,NaN,NaN,18,27,NaN,51,50,66,NaN,30,35,28,24,NaN,NaN,NaN,42,32,29,54,34,29,NaN,33,32,NaN,33,NaN,21,26,49,26,43,27,53
15/01/2010,14,14,5,10,NaN,13,15,15,NaN,NaN,NaN,NaN,19,12,NaN,21,18,30,NaN,18,19,20,15,NaN,NaN,NaN,21,14,21,25,14,9,NaN,14,13,NaN,19,NaN,15,19,16,11,23,8,24
19/01/2010,14,10,2,14,NaN,13,10,12,NaN,NaN,NaN,NaN,18,13,NaN,17,22,15,NaN,27,32,31,23,NaN,NaN,18,18,14,12,27,23,10,NaN,15,28,NaN,19,NaN,12,25,27,8,26,15,17
20/01/2010,14,12,5,18,NaN,19,14,12,NaN,NaN,NaN,NaN,16,14,NaN,17,25,20,NaN,24,28,27,23,NaN,NaN,22,13,14,23,28,20,11,NaN,21,19,NaN,21,NaN,14,27,27,5,27,18,20
21/01/2010,14,13,15,10,NaN,28,24,22,NaN,NaN,NaN,NaN,27,22,NaN,33,31,38,NaN,34,34,36,31,NaN,NaN,34,31,23,36,38,28,11,NaN,30,28,NaN,33,NaN,25,36,39,22,40,NaN,36
04/02/2010,14,12,7,14,NaN,18,14,15,NaN,NaN,NaN,NaN,14,13,NaN,16,20,31,NaN,15,19,18,15,17,NaN,19,NaN,18,19,30,18,14,NaN,19,15,NaN,23,NaN,15,16,18,13,29,13,24
26/12/2010,14,NaN,3,40,NaN,NaN,36,NaN,NaN,NaN,NaN,NaN,22,14,NaN,21,44,31,NaN,24,27,NaN,36,29,NaN,41,18,48,30,27,45,12,26,26,35,17,NaN,NaN,30,33,28,16,NaN,NaN,26
27/12/2010,14,NaN,1,11,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,12,13,NaN,12,NaN,24,NaN,15,15,NaN,12,13,NaN,14,30,12,21,15,14,8,12,11,14,10,NaN,NaN,11,16,15,25,NaN,NaN,15
28/12/2010,24,NaN,5,27,NaN,NaN,18,NaN,NaN,NaN,NaN,NaN,17,20,NaN,16,NaN,29,NaN,19,20,NaN,17,19,NaN,21,21,24,18,19,20,10,17,14,22,13,NaN,NaN,15,22,20,21,NaN,NaN,18
29/12/2010,14,NaN,-1,16,NaN,NaN,18,NaN,NaN,NaN,NaN,NaN,27,22,NaN,24,NaN,46,NaN,28,32,NaN,25,30,NaN,36,29,27,17,24,22,NaN,21,20,27,16,NaN,NaN,21,26,17,26,NaN,NaN,20
07/01/2011,24,NaN,3,NaN,NaN,NaN,17,15,NaN,NaN,NaN,NaN,11,11,NaN,9,NaN,18,NaN,18,22,15,15,19,NaN,13,18,17,NaN,20,16,NaN,13,11,20,15,20,NaN,11,17,15,14,NaN,NaN,12
10/01/2011,24,NaN,2,18,NaN,NaN,9,8,NaN,NaN,NaN,NaN,11,9,NaN,7,NaN,17,NaN,10,13,7,11,10,NaN,6,15,14,NaN,9,10,NaN,12,7,15,9,11,NaN,14,11,11,16,NaN,NaN,9
11/02/2011,14,10,2,18,NaN,13,12,8,NaN,NaN,NaN,NaN,14,10,NaN,11,20,21,NaN,13,17,15,16,14,NaN,13,13,14,NaN,NaN,12,NaN,17,15,NaN,15,15,NaN,14,15,15,13,NaN,15,20
12/02/2011,14,7,1,12,NaN,8,11,13,NaN,NaN,NaN,NaN,11,12,NaN,8,8,15,NaN,12,16,14,12,12,NaN,5,11,13,NaN,NaN,11,NaN,10,11,12,16,14,NaN,7,15,12,14,NaN,7,17
15/02/2011,24,8,5,13,NaN,12,7,6,NaN,NaN,NaN,NaN,8,10,NaN,11,16,NaN,NaN,8,13,8,10,10,NaN,12,20,9,NaN,NaN,9,NaN,8,12,8,9,16,NaN,6,10,17,NaN,NaN,NaN,19
17/02/2011,14,16,9,25,NaN,27,30,28,NaN,NaN,NaN,NaN,34,21,NaN,25,37,35,NaN,31,40,34,33,36,NaN,28,30,31,28,NaN,33,NaN,29,NaN,34,31,34,NaN,25,NaN,NaN,29,NaN,29,34
18/02/2011,14,26,23,34,NaN,43,50,51,NaN,NaN,NaN,NaN,58,31,NaN,38,56,43,NaN,59,62,58,54,59,NaN,44,38,56,49,49,56,NaN,60,NaN,NaN,61,49,NaN,51,NaN,NaN,36,NaN,49,48
19/02/2011,14,25,9,19,NaN,22,20,19,NaN,NaN,NaN,NaN,26,20,NaN,51,34,53,NaN,38,38,NaN,29,32,NaN,22,29,25,51,47,24,NaN,22,23,27,47,27,NaN,14,NaN,31,31,NaN,25,55
20/02/2011,14,21,18,17,NaN,26,21,19,NaN,NaN,NaN,NaN,43,23,NaN,39,43,46,NaN,47,50,NaN,43,43,NaN,30,37,25,43,44,35,NaN,27,30,34,49,35,NaN,22,NaN,35,36,NaN,28,49
21/02/2011,14,22,20,19,NaN,29,33,34,NaN,NaN,NaN,NaN,47,26,NaN,38,58,52,NaN,58,NaN,NaN,55,53,NaN,34,34,37,42,56,NaN,NaN,45,32,49,64,40,NaN,37,NaN,45,33,NaN,37,47
15/01/2012,4,15,9,13,17,18,18,15,NaN,NaN,NaN,NaN,13,25,NaN,18,19,40,NaN,22,20,18,19,20,NaN,20,38,14,19,21,19,12,15,22,22,16,17,NaN,14,14,NaN,35,NaN,20,29
29/01/2012,4,14,4,5,29,27,39,25,NaN,NaN,NaN,NaN,25,18,NaN,17,28,28,NaN,20,25,19,NaN,22,NaN,26,23,NaN,21,40,19,10,21,24,25,21,28,NaN,25,22,37,25,NaN,29,28
30/01/2012,14,NaN,12,11,24,22,32,25,NaN,NaN,NaN,NaN,33,22,NaN,NaN,25,26,NaN,24,30,24,NaN,26,NaN,22,22,NaN,33,23,26,6,28,28,30,28,25,NaN,27,29,32,22,NaN,27,21
12/12/2012,14,7,6,51,26,23,27,13,NaN,NaN,NaN,NaN,NaN,18,NaN,24,21,31,NaN,35,35,26,34,34,NaN,27,20,30,23,25,25,13,14,34,38,24,25,NaN,31,NaN,32,15,26,31,30
13/12/2012,14,23,10,21,36,25,35,24,NaN,NaN,NaN,NaN,NaN,16,NaN,28,31,45,NaN,29,40,27,34,33,NaN,33,33,30,30,30,35,24,31,29,37,27,31,NaN,36,NaN,41,22,30,34,37
19/12/2012,14,11,4,14,18,10,11,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,10,17,21,NaN,18,22,13,17,17,NaN,16,10,13,21,19,15,9,10,14,15,19,18,NaN,13,17,22,7,16,20,15
21/12/2012,14,16,2,NaN,8,5,8,NaN,NaN,NaN,NaN,NaN,8,4,NaN,7,12,14,NaN,9,13,9,10,9,NaN,11,8,NaN,13,16,9,15,11,11,5,11,14,NaN,12,8,16,4,10,10,9
11/01/2013,14,10,3,22,19,NaN,11,13,NaN,NaN,NaN,NaN,31,11,NaN,12,24,24,NaN,25,NaN,NaN,29,31,NaN,31,15,10,15,28,17,12,14,22,18,23,29,NaN,15,16,31,12,27,30,16
16/01/2013,14,14,5,12,NaN,NaN,29,23,NaN,NaN,NaN,NaN,30,11,NaN,38,23,NaN,NaN,29,NaN,32,22,30,NaN,NaN,29,27,30,28,NaN,15,25,NaN,28,18,20,NaN,30,NaN,27,21,21,25,31
17/01/2013,14,10,9,7,21,NaN,23,20,NaN,NaN,NaN,NaN,29,15,NaN,31,23,NaN,NaN,38,NaN,37,32,33,NaN,NaN,30,25,36,27,29,13,20,29,NaN,24,23,NaN,29,18,33,21,25,26,29
18/01/2013,24,8,9,NaN,28,NaN,16,16,NaN,NaN,NaN,NaN,28,14,NaN,25,28,NaN,NaN,31,NaN,34,32,32,NaN,NaN,21,17,28,29,28,14,16,22,NaN,31,24,NaN,16,23,29,18,23,24,27
24/01/2013,4,15,7,27,28,NaN,39,37,NaN,NaN,NaN,NaN,32,10,NaN,15,27,24,NaN,22,NaN,NaN,24,NaN,NaN,26,25,42,23,NaN,29,32,25,26,24,17,27,NaN,31,29,32,21,34,43,18
25/01/2013,14,16,10,13,20,NaN,18,21,NaN,NaN,NaN,NaN,29,14,NaN,24,20,28,NaN,25,NaN,23,25,24,NaN,19,27,23,32,NaN,20,16,19,18,16,24,20,NaN,19,26,21,25,23,26,25
12/02/2013,14,13,12,25,36,NaN,36,30,NaN,NaN,NaN,NaN,42,17,NaN,27,37,31,NaN,36,NaN,34,38,38,NaN,31,20,35,34,30,36,40,39,28,34,39,31,NaN,41,30,33,17,NaN,28,26
17/02/2013,14,14,9,NaN,22,NaN,17,19,NaN,NaN,NaN,NaN,34,13,NaN,24,25,32,NaN,40,NaN,29,32,34,NaN,18,28,15,25,20,22,16,18,17,19,36,19,NaN,20,NaN,21,22,22,20,25
18/02/2013,4,20,12,NaN,38,NaN,NaN,23,NaN,NaN,NaN,NaN,33,27,NaN,31,40,42,NaN,36,NaN,30,35,39,NaN,36,42,21,40,NaN,30,21,21,34,28,34,40,NaN,23,NaN,NaN,37,37,36,37
20/02/2013,4,8,8,NaN,22,NaN,33,31,NaN,NaN,NaN,NaN,39,11,NaN,8,23,18,NaN,23,NaN,19,19,25,NaN,21,11,31,14,19,23,35,31,22,19,20,26,NaN,36,NaN,NaN,6,28,29,11
23/12/2013,24,6,3,6,3,NaN,5,6,NaN,NaN,NaN,NaN,4,6,4,5,4,5,5,5,5,5,NaN,5,NaN,3,5,6,4,3,7,NaN,9,5,NaN,NaN,7,3,8,4,6,7,7,6,5
31/12/2013,24,8,3,5,5,NaN,6,6,NaN,NaN,NaN,NaN,4,5,4,7,5,9,8,5,7,5,7,6,NaN,6,7,7,6,6,8,NaN,9,5,1,NaN,9,6,9,4,7,10,7,7,7
01/01/2014,24,8,2,5,3,NaN,6,4,NaN,NaN,NaN,NaN,5,7,3,4,4,6,4,5,5,4,6,5,NaN,1,6,7,4,3,7,NaN,11,4,0,NaN,7,3,7,4,4,7,6,5,6
05/01/2014,14,8,2,5,4,NaN,4,4,NaN,NaN,NaN,NaN,5,5,3,8,4,7,7,NaN,6,4,6,6,NaN,2,5,5,5,3,6,NaN,10,4,1,NaN,7,4,10,3,5,5,6,5,8
12/01/2014,14,8,4,9,14,NaN,16,15,NaN,NaN,NaN,NaN,16,10,8,16,15,19,15,NaN,21,16,22,23,NaN,11,12,16,16,15,21,NaN,15,12,24,NaN,15,16,17,14,16,13,15,NaN,18
21/01/2014,14,10,7,7,NaN,NaN,NaN,11,NaN,NaN,NaN,NaN,17,9,NaN,34,17,43,20,26,29,21,21,28,NaN,12,25,15,15,28,16,NaN,15,14,NaN,NaN,17,NaN,18,17,19,19,21,NaN,27
31/01/2014,24,16,NaN,15,13,NaN,NaN,15,NaN,NaN,NaN,NaN,NaN,15,11,14,11,20,17,14,16,NaN,16,NaN,NaN,16,NaN,NaN,13,15,15,NaN,18,18,10,NaN,19,15,16,6,NaN,NaN,19,NaN,18
03/02/2014,14,14,NaN,7,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,10,6,NaN,7,10,8,11,9,NaN,8,NaN,NaN,8,9,NaN,8,7,10,NaN,10,8,4,NaN,10,8,9,NaN,NaN,10,8,NaN,10
04/02/2014,14,14,NaN,5,5,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,4,11,8,8,6,NaN,6,NaN,NaN,8,NaN,NaN,8,6,8,NaN,8,8,2,NaN,11,7,6,4,NaN,13,10,NaN,12
14/02/2014,24,6,3,11,6,NaN,8,7,NaN,NaN,NaN,NaN,6,5,4,7,5,9,8,NaN,NaN,5,6,7,NaN,7,6,8,5,NaN,8,10,10,5,2,NaN,8,6,9,4,7,5,8,NaN,7
17/02/2014,24,14,7,6,8,NaN,8,7,NaN,NaN,NaN,NaN,6,13,9,12,9,17,9,NaN,NaN,8,10,11,NaN,9,20,8,10,10,11,NaN,11,9,5,NaN,11,12,9,6,10,15,11,NaN,15
07/12/2015,14,8,3,12,9,11,11,13,13,NaN,12,NaN,18,8,6,11,8,20,12,12,11,14,11,11,8,10,14,13,14,12,NaN,NaN,11,NaN,8,12,12,14,NaN,12,13,12,13,11,13
13/12/2015,4,11,4,19,11,10,11,10,13,NaN,15,NaN,12,9,16,15,11,15,14,8,8,10,10,11,7,11,NaN,11,10,16,NaN,NaN,8,12,8,6,12,13,10,7,11,11,NaN,12,12
25/12/2015,14,5,0,4,3,4,4,4,5,NaN,6,NaN,7,3,2,5,3,7,5,6,2,6,4,4,2,1,3,5,9,3,NaN,10,5,3,2,4,3,7,6,4,5,3,NaN,2,5
28/12/2015,14,22,23,19,18,24,16,18,25,NaN,22,NaN,16,NaN,22,25,18,25,23,17,15,17,18,17,14,20,26,16,22,23,NaN,20,14,24,12,15,24,24,15,17,23,26,NaN,22,21
29/12/2015,14,11,2,3,4,5,4,6,7,NaN,7,NaN,9,NaN,4,8,4,9,8,7,4,8,7,6,3,3,8,5,10,6,NaN,10,6,6,3,6,5,8,6,7,7,6,NaN,2,5
