Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
11/01/2010,13,9,2,12,NaN,7,32,29,NaN,NaN,NaN,NaN,45,8,NaN,12,19,14,NaN,39,40,43,26,36,NaN,NaN,8,31,10,15,30,24,NaN,9,38,NaN,13,NaN,40,40,16,3,18,9,12
12/01/2010,13,8,2,17,NaN,13,37,34,NaN,NaN,NaN,NaN,43,7,NaN,13,33,19,NaN,40,44,45,38,NaN,NaN,NaN,9,39,17,23,39,19,NaN,14,44,NaN,15,NaN,35,38,25,5,20,14,17
07/02/2010,3,19,17,21,NaN,23,21,23,NaN,NaN,NaN,NaN,20,25,NaN,24,24,31,NaN,25,29,30,21,22,NaN,27,26,23,42,27,20,22,NaN,25,17,NaN,28,NaN,19,32,24,20,34,20,30
23/02/2010,13,10,7,14,NaN,9,14,16,NaN,NaN,NaN,NaN,16,14,NaN,5,12,12,NaN,18,21,22,15,18,NaN,8,10,17,11,11,15,NaN,NaN,NaN,15,NaN,11,NaN,14,18,11,7,18,10,13
27/02/2010,23,5,1,8,NaN,10,8,7,NaN,NaN,NaN,NaN,8,5,NaN,12,6,15,NaN,11,13,15,8,10,NaN,13,4,10,7,10,9,6,NaN,12,12,NaN,14,NaN,9,10,14,2,27,11,11
16/02/2011,23,9,1,14,NaN,11,11,NaN,NaN,NaN,NaN,NaN,11,16,NaN,13,17,NaN,NaN,10,14,11,10,11,NaN,13,14,14,NaN,NaN,12,NaN,11,12,10,13,16,NaN,9,12,16,NaN,NaN,NaN,20
31/01/2012,3,14,22,28,48,39,47,42,NaN,NaN,NaN,NaN,45,29,NaN,NaN,51,39,NaN,49,54,49,NaN,48,NaN,37,26,NaN,43,48,42,24,46,41,46,50,39,NaN,47,49,49,28,NaN,42,37
12/01/2013,23,5,6,20,20,NaN,10,14,NaN,NaN,NaN,NaN,19,11,NaN,8,20,17,NaN,19,NaN,NaN,19,19,NaN,17,13,11,16,19,14,9,9,16,14,19,15,NaN,10,12,20,8,16,17,13
19/01/2013,13,6,3,17,24,NaN,26,25,NaN,NaN,NaN,NaN,28,5,NaN,12,25,NaN,NaN,24,NaN,28,23,24,NaN,20,7,26,22,22,26,25,27,18,21,22,18,NaN,27,20,21,5,21,23,12
20/01/2013,13,5,1,9,12,NaN,17,16,NaN,NaN,NaN,NaN,27,4,NaN,8,15,NaN,NaN,18,NaN,21,18,19,NaN,8,6,16,17,10,17,23,22,7,15,18,11,NaN,21,25,12,4,9,9,7
23/01/2013,23,15,6,NaN,32,NaN,32,27,NaN,NaN,NaN,NaN,39,8,NaN,22,32,NaN,NaN,34,NaN,38,29,NaN,NaN,25,13,27,32,NaN,31,23,37,30,32,34,27,NaN,39,32,30,NaN,29,32,24
14/02/2015,3,30,10,26,13,23,11,NaN,NaN,NaN,13,NaN,NaN,18,23,21,16,20,12,9,14,NaN,10,13,9,20,28,9,15,15,8,11,7,19,9,5,17,NaN,13,12,14,23,16,16,24
14/12/2015,13,3,1,21,14,20,12,13,19,NaN,18,NaN,15,5,8,24,15,29,18,17,13,17,15,15,11,18,NaN,14,19,21,NaN,NaN,11,19,12,15,20,NaN,13,15,20,19,NaN,20,22
15/12/2015,13,5,3,16,13,13,12,12,20,NaN,19,NaN,16,8,8,27,14,25,19,17,16,18,18,18,12,12,NaN,13,25,22,NaN,NaN,14,12,12,15,13,NaN,14,16,17,20,NaN,18,26
12/02/2016,23,5,NaN,9,15,19,10,9,21,13,16,NaN,9,6,8,19,15,26,18,12,NaN,11,15,12,9,19,18,12,18,18,14,8,8,22,11,NaN,17,23,10,NaN,16,15,NaN,15,20
