Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
16/01/2010,25,13,2,12,NaN,10,10,12,NaN,NaN,NaN,NaN,12,8,NaN,19,13,20,NaN,15,18,17,13,NaN,NaN,NaN,18,11,21,16,13,7,NaN,13,12,NaN,15,NaN,12,17,18,9,21,8,23
17/01/2010,15,10,2,9,NaN,5,12,10,NaN,NaN,NaN,NaN,9,8,NaN,16,11,13,NaN,10,12,13,NaN,NaN,NaN,NaN,9,8,11,13,7,10,NaN,8,9,NaN,13,NaN,13,12,11,3,13,5,15
03/02/2010,15,7,5,18,NaN,15,8,NaN,NaN,NaN,NaN,NaN,8,12,NaN,8,23,21,NaN,15,16,17,NaN,14,NaN,24,NaN,12,18,27,14,5,NaN,20,11,NaN,30,NaN,10,13,23,9,29,8,16
12/01/2011,25,NaN,2,17,NaN,NaN,4,4,NaN,NaN,NaN,NaN,9,20,NaN,13,NaN,24,NaN,8,11,8,8,9,NaN,13,23,9,10,14,7,NaN,8,9,9,8,19,NaN,7,10,11,20,NaN,NaN,13
14/01/2011,25,NaN,1,11,NaN,NaN,7,7,NaN,NaN,NaN,NaN,10,12,NaN,9,NaN,11,NaN,7,11,9,6,7,NaN,7,8,10,7,7,8,NaN,8,7,9,8,12,NaN,6,7,8,13,NaN,NaN,9
15/01/2011,15,NaN,0,7,NaN,NaN,9,8,NaN,NaN,NaN,NaN,14,8,NaN,3,NaN,7,NaN,9,13,11,9,9,NaN,4,5,11,9,6,10,NaN,12,10,14,10,7,NaN,8,10,7,9,NaN,NaN,5
16/01/2011,15,NaN,3,10,NaN,5,10,6,NaN,NaN,NaN,NaN,13,12,NaN,5,NaN,10,NaN,10,13,12,11,10,NaN,4,6,11,9,7,11,NaN,13,6,15,11,8,NaN,10,10,9,12,NaN,NaN,7
31/01/2011,5,10,3,19,NaN,34,NaN,25,NaN,NaN,NaN,NaN,14,8,NaN,39,48,38,NaN,22,26,20,NaN,NaN,NaN,42,16,32,24,NaN,30,NaN,23,44,NaN,16,49,NaN,33,17,41,22,NaN,33,29
03/02/2011,15,3,1,9,NaN,6,10,9,NaN,NaN,NaN,NaN,13,7,NaN,6,14,7,NaN,NaN,13,8,9,10,NaN,6,NaN,9,9,NaN,9,NaN,10,5,NaN,9,10,NaN,12,10,7,9,NaN,4,6
09/02/2011,15,15,2,14,NaN,23,NaN,26,NaN,NaN,NaN,NaN,24,9,NaN,NaN,30,33,NaN,26,26,25,25,25,NaN,23,29,29,27,NaN,25,NaN,25,24,NaN,25,29,NaN,23,26,25,33,NaN,23,NaN
