Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
03/01/2010,0,6,4,32,NaN,11,18,12,NaN,NaN,NaN,NaN,13,10,NaN,11,15,11,NaN,13,16,15,12,NaN,NaN,NaN,7,14,17,14,15,17,11,NaN,17,NaN,15,NaN,20,15,19,3,19,12,14
07/01/2010,20,6,8,36,NaN,18,29,10,NaN,NaN,NaN,NaN,12,13,NaN,13,18,9,NaN,14,16,16,12,14,NaN,NaN,11,18,10,11,17,14,13,NaN,17,NaN,61,NaN,15,13,33,6,36,10,12
08/01/2010,0,9,9,60,NaN,17,25,13,NaN,NaN,NaN,NaN,20,18,NaN,10,19,10,NaN,18,21,22,15,16,NaN,NaN,12,19,14,15,NaN,19,NaN,NaN,15,NaN,45,NaN,17,21,22,7,33,15,19
09/01/2010,0,6,11,32,NaN,7,15,11,NaN,NaN,NaN,NaN,8,16,NaN,8,13,11,NaN,10,12,15,8,8,NaN,NaN,10,14,7,11,14,12,NaN,NaN,8,NaN,12,NaN,11,9,13,4,16,8,11
22/01/2010,20,20,3,14,NaN,12,9,11,NaN,NaN,NaN,NaN,11,18,NaN,16,17,21,NaN,14,16,17,10,12,NaN,16,20,8,21,19,11,9,NaN,16,9,NaN,19,NaN,14,16,22,13,25,6,22
24/01/2010,20,14,5,12,NaN,8,19,13,NaN,NaN,NaN,NaN,20,12,NaN,13,18,20,NaN,23,21,28,17,20,NaN,15,14,15,32,21,16,19,NaN,12,20,NaN,18,NaN,16,26,15,9,22,4,22
25/01/2010,0,13,10,23,NaN,21,26,21,NaN,NaN,NaN,NaN,29,17,NaN,30,34,36,NaN,30,34,33,27,27,NaN,28,20,22,49,41,27,20,NaN,28,25,NaN,31,NaN,25,38,34,15,32,16,35
26/01/2010,0,21,14,37,NaN,26,43,37,NaN,NaN,NaN,NaN,44,21,NaN,23,40,38,NaN,44,47,47,42,40,NaN,30,25,42,46,36,41,38,NaN,30,41,NaN,34,NaN,43,49,42,20,38,24,31
05/02/2010,20,18,17,20,NaN,23,8,11,NaN,NaN,NaN,NaN,9,25,NaN,25,18,34,NaN,14,16,17,13,13,NaN,22,NaN,12,22,24,14,6,NaN,25,10,NaN,24,NaN,NaN,13,25,22,31,16,30
10/02/2010,0,NaN,2,13,NaN,2,10,NaN,NaN,NaN,NaN,NaN,7,7,NaN,2,NaN,7,NaN,NaN,12,14,7,8,NaN,5,5,8,6,10,NaN,12,NaN,6,10,NaN,10,NaN,9,8,12,1,13,4,7
11/02/2010,0,3,5,16,NaN,7,12,NaN,NaN,NaN,NaN,NaN,9,10,NaN,NaN,10,9,NaN,NaN,11,NaN,6,7,NaN,10,7,13,11,12,NaN,13,NaN,13,11,NaN,13,NaN,10,7,17,4,18,5,9
12/02/2010,0,6,2,11,NaN,8,16,NaN,NaN,NaN,NaN,NaN,13,7,NaN,NaN,12,7,NaN,NaN,18,19,12,14,NaN,8,4,15,10,11,13,16,NaN,12,14,NaN,14,NaN,18,13,18,1,20,7,9
13/02/2010,0,7,4,15,NaN,6,10,5,NaN,NaN,NaN,NaN,13,12,NaN,-1,10,8,NaN,NaN,11,13,6,8,NaN,7,5,12,9,10,10,18,NaN,9,9,NaN,14,NaN,9,10,16,2,17,5,8
15/02/2010,20,6,1,9,NaN,12,20,9,NaN,NaN,NaN,NaN,15,4,NaN,NaN,30,28,NaN,NaN,17,19,18,17,NaN,NaN,20,16,16,25,31,11,NaN,14,24,NaN,24,NaN,28,14,19,14,28,5,21
16/02/2010,20,NaN,0,14,NaN,6,6,6,NaN,NaN,NaN,NaN,17,14,NaN,9,12,15,NaN,12,11,16,8,9,NaN,NaN,10,10,15,12,8,7,NaN,8,7,NaN,12,NaN,8,16,15,8,18,NaN,14
17/02/2010,20,NaN,10,29,NaN,24,29,20,NaN,NaN,NaN,NaN,39,22,NaN,25,24,32,NaN,42,41,45,36,36,NaN,NaN,32,22,48,33,27,NaN,NaN,NaN,33,NaN,32,NaN,34,NaN,22,24,39,28,27
18/02/2010,20,NaN,13,42,NaN,20,36,30,NaN,NaN,NaN,NaN,23,19,NaN,39,37,45,NaN,36,NaN,37,43,41,NaN,28,24,32,45,51,34,14,NaN,NaN,34,NaN,31,NaN,28,40,33,21,34,26,43
19/02/2010,20,9,21,14,NaN,19,13,18,NaN,NaN,NaN,NaN,15,24,NaN,14,NaN,24,NaN,18,NaN,23,16,19,NaN,23,14,15,17,24,17,13,NaN,NaN,17,NaN,20,NaN,18,20,20,10,29,13,24
