Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
18/01/2010,6,8,0,11,NaN,6,11,9,NaN,NaN,NaN,NaN,8,12,NaN,15,15,14,NaN,14,18,18,NaN,NaN,NaN,NaN,7,12,13,15,11,9,NaN,13,18,NaN,14,NaN,14,17,16,3,16,5,15
01/02/2010,16,5,1,8,NaN,4,7,9,NaN,NaN,NaN,NaN,11,7,NaN,3,13,9,NaN,NaN,13,15,9,13,NaN,11,6,9,11,22,9,16,NaN,7,10,NaN,14,NaN,12,12,12,3,12,3,9
03/12/2010,26,NaN,2,19,NaN,NaN,26,18,NaN,NaN,NaN,NaN,20,10,NaN,15,28,21,NaN,23,24,NaN,19,22,NaN,25,19,24,NaN,27,NaN,NaN,20,27,25,12,31,NaN,24,16,34,13,NaN,NaN,NaN
03/01/2011,16,NaN,1,14,NaN,NaN,26,16,NaN,NaN,NaN,NaN,27,8,NaN,10,NaN,18,NaN,24,21,NaN,20,22,NaN,22,8,19,24,26,30,NaN,20,24,36,21,NaN,NaN,19,22,19,10,NaN,14,12
04/01/2011,26,NaN,-1,NaN,NaN,NaN,15,16,NaN,NaN,NaN,NaN,11,6,NaN,13,NaN,15,NaN,21,18,NaN,18,17,NaN,12,6,18,24,18,22,NaN,17,11,24,15,NaN,NaN,16,18,16,9,NaN,5,14
13/01/2011,26,NaN,0,15,NaN,NaN,5,5,NaN,NaN,NaN,NaN,8,16,NaN,11,NaN,17,NaN,7,10,10,6,6,NaN,8,12,9,7,8,7,NaN,9,9,7,8,12,NaN,NaN,8,10,14,NaN,NaN,11
17/01/2011,16,NaN,1,13,NaN,10,11,12,NaN,NaN,NaN,NaN,15,14,NaN,17,NaN,20,NaN,9,13,11,7,9,NaN,13,9,15,11,20,10,NaN,9,11,13,10,21,NaN,NaN,11,21,15,NaN,11,11
01/02/2011,6,6,1,14,NaN,8,18,19,NaN,NaN,NaN,NaN,17,8,NaN,20,25,18,NaN,29,NaN,23,23,NaN,NaN,15,NaN,21,28,NaN,18,NaN,20,11,NaN,26,21,NaN,25,28,17,12,NaN,8,16
02/02/2011,16,6,0,9,NaN,7,11,9,NaN,NaN,NaN,NaN,15,6,NaN,9,16,11,NaN,20,NaN,12,11,NaN,NaN,7,NaN,11,14,NaN,12,NaN,15,8,NaN,11,11,NaN,16,12,NaN,11,NaN,5,8
04/02/2011,16,5,1,10,NaN,12,11,13,NaN,NaN,NaN,NaN,14,7,NaN,3,15,10,NaN,12,12,11,8,9,NaN,8,5,13,8,NaN,8,NaN,14,6,NaN,12,10,NaN,12,12,7,10,NaN,8,8
