Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/01/2010,10.9,-2.8,-15.6,15.9,13.2,17.2,10.3,18,3,1,20,No data,5,14,10,No data,No data,No data,No data,10,11,No data,11,14,7,No data,12,14,15,10,No data,No data,No data,2,13,13,12,13,18,11,18,13,No data,15,No data,13,13,19,1,16,4,11
02/01/2010,22.1,-6.2,-7.2,9.5,16.8,12.6,40.6,21,5,0,11,No data,2,15,13,No data,No data,No data,No data,14,5,No data,9,11,7,No data,14,14,17,10,No data,No data,No data,4,10,19,14,10,29,16,10,11,No data,18,No data,15,17,13,1,17,3,10
03/01/2010,21.5,-9.2,-0.5,9.2,-21.9,14.3,86.8,0,6,4,32,No data,11,18,12,No data,No data,No data,No data,13,10,No data,11,15,11,No data,13,16,15,12,No data,No data,No data,7,14,17,14,15,17,11,No data,17,No data,15,No data,20,15,19,3,19,12,14
04/01/2010,16.7,4.9,-11.6,12.6,-10.8,13.7,337,17,3,4,27,No data,28,43,22,No data,No data,No data,No data,22,9,No data,14,33,17,No data,31,29,34,26,No data,No data,No data,8,25,18,17,25,18,19,No data,27,No data,39,No data,24,28,32,2,47,10,12
05/01/2010,14,-8.3,-15.5,17.6,34.2,24.5,28.2,21,4,1,8,No data,5,31,15,No data,No data,No data,No data,23,7,No data,20,20,13,No data,21,23,24,29,23,No data,No data,4,19,22,19,20,19,20,No data,30,No data,11,No data,26,22,20,2,12,5,17
06/01/2010,13.4,-10.7,-14.6,18.1,6.1,18.4,36.2,11,6,3,9,No data,4,13,8,No data,No data,No data,No data,10,8,No data,9,14,7,No data,15,18,17,11,15,No data,No data,3,11,18,10,15,10,5,No data,11,No data,9,No data,10,17,14,1,14,5,7
07/01/2010,17.4,-2.5,-6,6.5,15.5,10.1,22.1,20,6,8,36,No data,18,29,10,No data,No data,No data,No data,12,13,No data,13,18,9,No data,14,16,16,12,14,No data,No data,11,18,10,11,17,14,13,No data,17,No data,61,No data,15,13,33,6,36,10,12
08/01/2010,24.4,-4.3,-4,5.9,-22.6,12.7,47.1,0,9,9,60,No data,17,25,13,No data,No data,No data,No data,20,18,No data,10,19,10,No data,18,21,22,15,16,No data,No data,12,19,14,15,No data,19,No data,No data,15,No data,45,No data,17,21,22,7,33,15,19
09/01/2010,26.2,-10.4,-1,10.4,-35.2,20.5,84.7,0,6,11,32,No data,7,15,11,No data,No data,No data,No data,8,16,No data,8,13,11,No data,10,12,15,8,8,No data,No data,10,14,7,11,14,12,No data,No data,8,No data,12,No data,11,9,13,4,16,8,11
10/01/2010,25.3,-18.9,-2.3,19,-17.9,21.1,82.9,12,7,2,7,No data,3,10,9,No data,No data,No data,No data,10,8,No data,8,9,8,No data,8,11,13,6,9,No data,No data,7,9,5,7,9,10,No data,5,9,No data,9,No data,11,9,9,4,12,5,7
