Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/09/2010,15.7,-2,5.7,6,-32.6,17.4,160.5,0,15,No data,No data,No data,No data,17,16,No data,No data,No data,No data,9,13,No data,9,20,15,No data,14,15,15,13,15,No data,No data,18,20,14,No data,19,11,10,No data,17,10,No data,No data,18,10,24,20,No data,19,13
02/09/2010,17,-4.7,7,8.5,-30.8,17.6,146.3,0,14,No data,No data,No data,No data,19,16,No data,No data,No data,No data,19,11,No data,8,21,16,No data,15,17,17,14,15,No data,No data,7,22,13,No data,17,18,15,23,16,10,No data,No data,21,14,24,11,No data,29,14
03/09/2010,16.4,-1.8,10.4,10.5,-25.5,16.6,170.4,0,12,No data,32,No data,No data,20,21,No data,No data,No data,No data,12,17,No data,6,13,17,No data,8,10,11,8,10,No data,No data,16,25,6,13,15,22,12,16,13,4,17,No data,18,8,15,16,No data,12,15
04/09/2010,17.2,0.3,14.7,14.8,-9.4,15.5,181.4,14,7,No data,19,No data,No data,18,22,No data,No data,No data,No data,16,17,No data,6,14,16,No data,12,12,14,11,12,No data,No data,12,23,10,11,14,24,15,14,14,9,13,No data,19,10,14,14,No data,12,12
05/09/2010,15.8,-8.1,22.3,23.8,-4.7,23.9,159.9,14,7,No data,21,No data,No data,18,21,No data,No data,No data,No data,15,12,No data,6,16,12,No data,15,15,16,15,15,No data,No data,9,25,8,14,18,21,16,11,15,13,13,No data,20,15,13,12,No data,12,12
06/09/2010,10.7,-11.1,22.7,25.3,27.3,28.7,153.8,23,11,No data,16,No data,No data,10,12,No data,No data,No data,No data,10,10,No data,10,20,17,No data,16,18,18,16,15,No data,No data,13,15,12,11,14,9,10,10,12,14,15,No data,11,17,17,17,No data,12,16
07/09/2010,6.2,-9.6,14.6,17.4,45.7,28.7,146.8,20,15,No data,8,No data,No data,6,6,No data,No data,No data,No data,7,8,No data,7,10,13,No data,9,10,10,9,8,No data,No data,10,11,11,No data,10,4,6,8,8,6,10,No data,11,8,11,14,No data,7,12
08/09/2010,7.3,-2,10.5,10.7,32.7,19.5,168.9,20,16,No data,8,No data,No data,8,8,No data,No data,No data,No data,16,12,No data,19,15,22,No data,23,27,24,20,24,No data,No data,18,13,20,No data,13,7,7,14,11,23,16,No data,10,25,15,20,No data,8,24
09/09/2010,13.4,6.9,1.9,7.2,2.5,7.3,254.9,16,18,No data,9,No data,No data,8,10,No data,No data,No data,No data,9,11,No data,14,13,16,No data,10,11,12,9,9,No data,No data,11,13,14,No data,10,7,8,10,8,7,14,No data,11,10,12,14,No data,5,15
10/09/2010,12.5,13.3,8.2,15.7,17.3,17.9,238.4,25,10,No data,7,No data,No data,10,12,No data,No data,No data,No data,10,3,No data,6,15,11,No data,9,14,13,No data,11,No data,No data,7,15,11,15,13,9,10,6,10,8,7,No data,13,10,9,9,No data,3,10
11/09/2010,12.7,13.9,-2.3,14.1,23.7,18.4,279.2,26,6,No data,7,No data,No data,7,9,No data,No data,No data,No data,10,4,No data,6,14,7,No data,9,11,12,11,9,No data,No data,5,13,9,11,10,7,9,5,9,7,8,No data,12,9,7,8,No data,2,7
12/09/2010,17.3,14.8,-4.2,15.3,-27.2,20.5,286,6,4,No data,8,No data,No data,6,7,No data,No data,No data,No data,8,5,No data,4,12,8,No data,8,9,9,7,7,No data,No data,6,11,6,10,9,6,6,5,6,7,10,No data,9,7,10,10,No data,4,7
13/09/2010,14.4,25.2,6.9,26.2,10.4,26.7,254.7,16,6,No data,7,No data,No data,8,10,No data,No data,No data,No data,10,No data,No data,6,13,10,No data,10,12,13,8,9,No data,No data,4,14,7,8,11,8,8,5,9,8,8,No data,13,10,8,8,No data,3,10
14/09/2010,8.4,29.3,-7.4,30.2,13.9,31,284.2,16,4,No data,6,No data,No data,4,6,No data,No data,No data,No data,9,No data,No data,3,11,6,No data,6,8,10,No data,5,No data,No data,5,10,5,9,9,8,7,4,5,7,7,No data,10,8,9,7,No data,3,7
15/09/2010,9.6,17.3,-19.9,26.4,25.2,29.2,319,17,4,No data,7,No data,No data,7,10,No data,No data,No data,No data,7,No data,No data,4,11,8,No data,8,9,10,7,7,No data,No data,4,12,5,7,8,6,6,5,8,6,7,No data,10,8,7,7,No data,3,8
16/09/2010,10.7,10.9,-20.1,22.9,-6.3,23.1,331.5,17,5,No data,7,No data,No data,5,7,No data,No data,No data,No data,5,7,No data,No data,10,7,No data,7,9,9,5,6,No data,No data,4,11,5,6,8,5,6,5,6,4,8,No data,9,7,9,7,No data,4,6
17/09/2010,13.1,8.9,-15.6,18,-32.9,24.4,330.2,7,5,No data,7,No data,No data,6,7,No data,No data,No data,No data,8,8,No data,No data,11,8,No data,9,11,10,7,8,No data,No data,6,13,8,7,9,8,7,4,7,6,9,No data,11,8,9,8,No data,2,8
18/09/2010,13.4,10.7,0.7,10.7,-13.7,12.7,266.3,6,4,No data,9,No data,No data,10,8,No data,No data,No data,No data,10,6,No data,2,12,9,No data,11,9,13,7,8,No data,No data,5,13,8,7,10,8,6,5,8,7,9,No data,11,10,9,8,No data,3,8
