Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/06/2010,14.3,5.9,1.7,6.1,-9.4,7.7,254.3,6,13,5,8,No data,No data,14,No data,No data,No data,No data,No data,19,No data,No data,16,22,28,No data,23,20,23,21,20,No data,No data,22,13,15,19,19,7,19,17,No data,No data,18,No data,No data,19,22,24,23,9,24
02/06/2010,15.4,8.8,2.1,9,-32.8,18.7,256.3,0,6,2,10,No data,No data,15,11,No data,No data,No data,No data,25,No data,No data,22,22,22,No data,21,20,23,17,19,No data,No data,11,15,12,27,16,14,20,13,No data,No data,22,No data,19,19,34,16,18,8,23
03/06/2010,17.5,-4.9,8.4,9.8,-30.8,18.2,149.9,0,8,3,16,No data,No data,No data,14,No data,No data,No data,No data,13,No data,No data,14,19,19,No data,16,14,20,12,15,No data,No data,12,16,9,24,17,14,14,15,No data,No data,16,No data,17,12,19,15,20,13,19
04/06/2010,18.2,-0.9,8.8,8.9,-9.4,10,173.9,4,12,8,21,No data,No data,No data,13,No data,No data,No data,No data,26,No data,No data,12,19,22,No data,23,23,26,20,25,No data,No data,19,17,13,No data,No data,21,24,19,No data,No data,20,No data,21,20,22,19,23,12,20
05/06/2010,17.9,1.8,-0.7,1.9,-1.7,2.1,292.9,-1,15,No data,22,No data,No data,No data,17,No data,No data,No data,No data,35,No data,No data,31,26,27,No data,41,34,37,32,39,No data,No data,25,28,25,No data,26,18,34,23,No data,No data,34,No data,37,41,41,36,30,15,30
06/06/2010,14.4,0,-6,6,-2.7,6.1,0.5,-1,14,No data,5,No data,No data,No data,9,No data,No data,No data,No data,23,No data,No data,11,20,24,No data,27,24,30,28,26,No data,No data,18,8,36,No data,19,5,14,16,No data,No data,19,No data,10,28,23,23,21,6,25
07/06/2010,9.7,-3.8,7.8,8.6,6.5,9.2,154.3,13,8,No data,8,No data,No data,No data,6,No data,No data,No data,No data,7,No data,No data,14,11,18,No data,9,8,13,7,9,No data,No data,12,7,20,12,8,4,5,7,No data,No data,No data,No data,6,9,11,13,13,3,19
08/06/2010,9,-9,-0.1,9,32.1,18.4,89.4,20,6,No data,No data,No data,No data,7,8,No data,No data,No data,No data,7,No data,No data,12,11,12,No data,9,9,13,8,9,No data,No data,15,6,11,No data,8,5,6,6,No data,No data,No data,No data,7,8,14,17,14,6,12
09/06/2010,13.2,-14.8,-4,15.3,13.5,16.7,75,12,6,No data,10,No data,No data,9,10,No data,No data,No data,No data,12,No data,No data,19,15,17,No data,13,12,17,10,12,No data,No data,9,9,13,No data,12,9,8,10,No data,No data,No data,No data,8,12,25,12,18,10,No data
10/06/2010,12.8,-10.2,-9,13.6,-16.8,16,48.7,1,5,2,8,No data,No data,16,19,No data,No data,No data,No data,18,No data,No data,11,19,14,No data,21,19,24,16,19,No data,No data,8,18,15,16,No data,10,17,9,No data,No data,12,No data,12,20,17,10,16,6,10
11/06/2010,11.2,5.4,-12.6,13.7,0.2,13.7,336.6,17,5,3,6,No data,No data,11,11,No data,No data,No data,No data,11,No data,No data,7,16,11,No data,16,13,18,10,13,No data,No data,7,10,11,14,No data,9,10,8,No data,14,11,No data,11,13,16,11,16,6,10
12/06/2010,13.9,4.8,-10,11.2,-27.8,17.8,334.2,0,4,4,6,No data,No data,9,9,No data,No data,No data,No data,13,No data,No data,2,13,8,No data,11,11,15,11,12,No data,No data,5,9,6,10,No data,6,8,6,No data,9,8,No data,9,9,13,8,12,4,6
13/06/2010,17.2,4.3,-3.7,5.7,19.3,11.2,311,20,4,3,6,No data,No data,8,9,No data,No data,No data,No data,11,No data,No data,5,12,11,No data,12,10,16,10,11,No data,No data,7,10,10,15,No data,6,9,6,No data,10,9,No data,9,10,11,10,14,4,10
14/06/2010,21.7,-4.8,-8,9.3,-16.4,12.4,31,1,2,No data,7,No data,No data,10,12,No data,No data,No data,No data,17,No data,No data,4,14,8,No data,18,16,21,12,16,No data,No data,6,11,13,14,No data,8,12,7,No data,18,9,No data,9,17,13,8,13,4,7
15/06/2010,24.8,1.4,-1.7,2.2,-32.6,16.4,319.7,0,5,No data,6,No data,No data,8,11,No data,No data,No data,No data,8,No data,No data,2,13,9,No data,8,9,12,6,7,No data,No data,6,12,5,12,8,7,7,7,No data,6,10,No data,7,7,12,8,13,5,7
16/06/2010,22.2,1.8,-2,2.7,-28.7,14.6,318,0,8,No data,9,No data,No data,7,10,No data,No data,No data,No data,8,No data,No data,4,11,15,No data,9,9,11,7,8,No data,No data,10,12,5,10,9,7,7,10,No data,6,14,No data,7,6,15,12,17,5,9
17/06/2010,21.4,-0.4,-5.6,5.6,-21.5,12.2,4.6,0,13,No data,5,No data,No data,8,10,No data,No data,No data,No data,9,8,No data,4,11,14,No data,11,10,14,7,9,No data,No data,10,10,6,11,10,7,9,11,No data,7,13,No data,8,9,13,13,19,6,8
18/06/2010,20.8,-2.1,-10.7,10.9,-22.9,15.8,11.1,0,4,No data,8,No data,No data,12,15,No data,No data,No data,No data,10,8,No data,5,16,13,No data,10,10,14,8,9,No data,No data,8,14,7,17,10,10,9,8,No data,7,13,No data,9,9,19,10,16,4,10
19/06/2010,18.3,-2.8,-14.2,14.5,-22.7,18.4,11.2,8,4,No data,6,No data,No data,11,14,No data,No data,No data,No data,7,5,No data,0,10,6,No data,8,7,10,7,7,No data,No data,5,13,5,11,10,10,6,4,No data,4,7,No data,7,6,9,8,12,3,6
20/06/2010,19,3.9,-7,8,-22.9,14,330.7,0,3,No data,6,No data,No data,11,12,No data,No data,No data,No data,8,8,No data,2,12,9,No data,10,10,13,8,10,No data,No data,6,11,6,12,9,8,8,6,No data,6,9,No data,8,8,10,8,14,4,8
21/06/2010,19.8,3,1.2,3.2,-21.4,11.2,247.9,0,8,No data,9,No data,No data,11,10,No data,No data,No data,No data,17,7,No data,2,14,12,No data,17,14,20,12,16,No data,No data,9,11,5,No data,12,8,11,8,No data,9,12,No data,12,9,15,11,15,4,10
22/06/2010,18.7,5.8,5.6,8,-14,10.6,225.7,5,9,No data,12,No data,No data,12,16,No data,No data,No data,No data,17,13,No data,9,14,15,No data,18,12,20,13,13,No data,No data,10,13,13,No data,13,10,10,11,No data,No data,16,No data,10,14,15,13,18,6,11
23/06/2010,17.3,10.2,6.9,12.3,-3.1,12.4,236,15,12,No data,10,No data,No data,14,16,No data,No data,No data,No data,14,11,No data,10,16,16,No data,16,13,23,12,14,No data,No data,9,14,18,No data,13,13,13,11,No data,No data,16,No data,14,16,17,12,19,7,12
24/06/2010,15.1,9.6,-2.1,9.8,-15.6,12.5,282.3,6,4,No data,7,No data,No data,11,12,No data,No data,No data,No data,12,6,No data,8,14,12,No data,13,10,19,10,11,No data,No data,7,12,14,No data,13,11,10,8,No data,No data,11,No data,9,10,13,10,16,4,11
25/06/2010,14.6,1.5,2.7,3.1,-15.6,8.4,210.3,0,3,No data,10,No data,No data,10,16,No data,No data,No data,No data,12,8,No data,4,16,12,No data,20,14,25,13,17,No data,No data,10,12,16,No data,13,8,10,11,No data,19,14,No data,13,20,14,11,18,8,9
26/06/2010,14.3,-0.2,10,10,-10.5,11.3,178.9,4,9,No data,12,No data,No data,16,No data,No data,No data,No data,No data,33,12,No data,9,25,16,No data,33,24,35,24,30,No data,No data,12,16,13,No data,22,10,11,15,18,21,18,No data,11,24,25,14,24,11,12
27/06/2010,16.2,7.6,10.2,12.7,11.7,14,216.7,15,11,No data,6,No data,No data,14,No data,No data,No data,No data,No data,21,7,No data,13,18,18,No data,23,17,No data,19,21,No data,No data,11,16,22,No data,16,12,13,12,12,22,18,No data,14,21,18,15,22,9,15
28/06/2010,17.5,9.6,7,11.9,9.9,12.9,234,15,6,No data,9,No data,No data,12,No data,No data,No data,No data,No data,13,7,No data,11,17,16,No data,15,12,23,12,14,No data,No data,10,13,14,No data,14,11,10,11,10,13,14,No data,13,15,14,13,19,7,14
29/06/2010,17.8,5.7,-4.4,7.2,-3.3,7.4,307.9,17,7,No data,8,No data,No data,7,No data,No data,No data,No data,No data,13,9,No data,8,12,9,No data,29,10,No data,No data,11,No data,No data,9,11,13,No data,10,No data,10,7,8,11,10,No data,11,14,12,11,14,4,9
30/06/2010,13.6,3,11.2,11.6,-15.8,14,195,4,10,No data,10,No data,No data,7,No data,No data,No data,No data,No data,9,9,No data,14,13,14,No data,17,9,No data,No data,10,No data,No data,11,10,14,No data,12,No data,7,11,9,8,13,No data,10,10,13,15,17,5,14
01/07/2010,6.4,8.1,21.2,22.7,9.4,23.2,200.9,14,19,No data,8,No data,No data,10,11,No data,No data,No data,No data,8,6,No data,No data,14,14,No data,No data,9,No data,No data,10,No data,No data,16,11,9,No data,9,No data,10,9,9,10,11,No data,10,11,12,17,No data,5,16
02/07/2010,6.8,14.3,13.8,19.9,15,21.3,226,15,9,No data,8,No data,No data,7,7,No data,No data,No data,No data,10,7,No data,9,13,11,No data,No data,9,16,No data,12,No data,No data,7,8,13,No data,10,No data,9,4,8,9,9,No data,9,11,11,9,No data,3,9
03/07/2010,11.8,16.8,8.9,19,-16.8,20.8,242,15,6,No data,8,No data,No data,100,8,No data,No data,No data,No data,9,6,No data,6,11,9,No data,No data,8,11,No data,9,No data,No data,6,7,8,No data,9,No data,6,5,7,9,8,No data,6,11,9,8,No data,3,9
04/07/2010,12.7,20.9,10.2,23.2,28,27.1,243.9,25,6,No data,7,No data,No data,6,8,No data,No data,No data,No data,8,6,No data,5,10,8,No data,No data,7,11,No data,9,No data,No data,5,7,8,No data,7,No data,9,5,7,7,6,No data,6,9,9,8,No data,2,8
