Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
01/09/2010,15.7,-2,5.7,6,-32.6,17.4,160.5,0,No data,81,85,109,49,35,36,25,No data,112,55,No data,55,109,39,48,No data,32,28,58,44
02/09/2010,17,-4.7,7,8.5,-30.8,17.6,146.3,0,No data,63,82,84,54,29,40,30,No data,117,48,No data,55,97,32,40,No data,23,29,59,36
03/09/2010,16.4,-1.8,10.4,10.5,-25.5,16.6,170.4,0,No data,55,96,81,55,28,42,24,No data,102,44,No data,64,99,20,33,No data,17,32,61,39
04/09/2010,17.2,0.3,14.7,14.8,-9.4,15.5,181.4,14,No data,35,71,84,22,36,42,16,No data,96,43,No data,48,88,19,28,No data,24,29,46,30
05/09/2010,15.8,-8.1,22.3,23.8,-4.7,23.9,159.9,14,No data,22,38,74,9,35,26,10,No data,67,37,No data,30,91,9,28,No data,10,29,28,14
06/09/2010,10.7,-11.1,22.7,25.3,27.3,28.7,153.8,23,No data,32,63,89,15,67,42,19,No data,77,51,No data,39,119,15,34,No data,14,30,35,14
07/09/2010,6.2,-9.6,14.6,17.4,45.7,28.7,146.8,20,No data,45,91,81,26,48,44,16,No data,87,47,No data,46,140,45,33,No data,20,22,27,33
08/09/2010,7.3,-2,10.5,10.7,32.7,19.5,168.9,20,No data,73,79,No data,37,No data,38,18,No data,102,48,No data,50,77,48,32,No data,39,32,34,39
09/09/2010,13.4,6.9,1.9,7.2,2.5,7.3,254.9,16,No data,64,76,No data,32,No data,52,17,No data,76,39,No data,43,113,50,49,No data,12,25,24,39
10/09/2010,12.5,13.3,8.2,15.7,17.3,17.9,238.4,25,No data,21,68,66,24,No data,32,9,No data,69,36,No data,37,130,33,19,No data,8,9,10,33
11/09/2010,12.7,13.9,-2.3,14.1,23.7,18.4,279.2,26,No data,25,51,48,No data,No data,35,10,No data,53,31,No data,34,103,24,11,No data,5,8,14,30
12/09/2010,17.3,14.8,-4.2,15.3,-27.2,20.5,286,6,No data,36,50,68,No data,No data,29,8,No data,36,23,No data,26,55,32,30,No data,4,28,15,30
13/09/2010,14.4,25.2,6.9,26.2,10.4,26.7,254.7,16,No data,28,70,59,No data,No data,37,10,No data,41,39,No data,25,135,37,32,No data,6,15,19,37
14/09/2010,8.4,29.3,-7.4,30.2,13.9,31,284.2,16,No data,34,57,40,20,No data,37,11,No data,38,24,No data,18,121,27,19,No data,4,7,12,33
15/09/2010,9.6,17.3,-19.9,26.4,25.2,29.2,319,17,No data,42,59,43,21,No data,53,11,No data,No data,26,No data,22,130,32,36,No data,5,17,15,34
16/09/2010,10.7,10.9,-20.1,22.9,-6.3,23.1,331.5,17,No data,50,48,47,25,No data,39,9,No data,No data,23,No data,37,82,36,42,No data,15,29,18,36
17/09/2010,13.1,8.9,-15.6,18,-32.9,24.4,330.2,7,No data,58,53,94,32,No data,39,13,No data,56,31,No data,44,69,44,50,No data,13,38,23,44
18/09/2010,13.4,10.7,0.7,10.7,-13.7,12.7,266.3,6,No data,51,72,69,14,No data,37,14,No data,61,34,No data,43,87,43,46,No data,6,27,30,48
19/09/2010,10.1,9.5,6,11.2,10.9,12.5,237.7,15,No data,16,57,45,10,No data,23,6,No data,62,20,No data,22,108,21,11,No data,7,9,10,42
20/09/2010,9.4,5.9,-1.6,6.2,-0.7,6.2,285.1,16,No data,47,84,58,19,No data,46,16,No data,53,37,No data,36,135,38,35,No data,8,11,24,38
21/09/2010,15.1,2.1,15.4,15.6,4.1,15.7,187.9,14,No data,60,103,118,31,No data,42,28,No data,90,72,No data,59,159,54,61,No data,29,25,42,42
22/09/2010,16,2.8,5.5,6.2,40,20.9,207.1,20,No data,46,100,92,25,No data,34,28,No data,101,58,No data,73,154,53,38,No data,26,27,35,47
23/09/2010,13.9,-6,-10.9,12.5,40,23.6,29,20,No data,43,85,83,33,No data,48,17,No data,115,58,No data,58,168,No data,29,No data,18,20,22,41
24/09/2010,13.6,-6,-20.2,21.1,-7.7,21.4,16.6,18,No data,45,39,101,44,No data,26,10,No data,110,30,No data,49,56,No data,31,No data,15,30,12,34
25/09/2010,15.7,-0.2,-13.4,13.4,-31.4,20.6,1.1,0,No data,37,38,85,36,No data,26,7,No data,96,17,No data,54,44,21,18,No data,12,33,28,27
26/09/2010,14.3,-3.9,-2.3,4.6,-17.7,10,58.9,0,No data,24,37,62,33,No data,16,9,No data,95,7,No data,37,29,17,13,No data,12,20,22,28
27/09/2010,13.4,-5.5,6.7,8.7,-9.5,9.9,140.2,3,No data,57,54,101,46,No data,27,18,No data,81,37,No data,53,59,30,44,No data,23,33,41,39
28/09/2010,13,2.8,16.7,17,-4.1,17.1,189.3,14,No data,45,101,98,27,No data,41,36,No data,86,53,No data,72,115,40,46,No data,34,30,43,48
29/09/2010,15.2,4.5,4.2,6.1,12,8.6,227.1,25,No data,56,88,82,32,No data,40,19,No data,98,61,No data,57,145,43,25,No data,19,17,28,36
30/09/2010,10,4.8,14.5,15.3,8.5,15.9,198.5,14,No data,53,98,75,40,No data,41,25,No data,94,49,No data,52,157,52,44,No data,27,20,35,48
01/10/2010,1.2,8.9,22.2,23.9,47.5,33.7,201.9,24,No data,53,88,73,20,20,46,18,No data,78,46,No data,69,138,30,18,No data,19,14,33,35
02/10/2010,-1.1,8.6,23.3,24.9,14.1,25.8,200.2,14,No data,35,75,90,12,22,42,16,No data,75,51,No data,62,112,28,28,No data,20,26,39,40
03/10/2010,-4.5,8.9,8.3,12.2,36.9,22.1,227.1,20,No data,38,60,59,18,14,25,13,No data,65,40,No data,54,99,24,11,No data,27,12,28,34
04/10/2010,-9,12,23.3,26.2,3.1,26.3,207.2,15,No data,58,85,105,17,46,35,22,No data,62,58,No data,62,122,41,49,No data,20,33,29,43
05/10/2010,-7.9,20,23.2,30.7,15.9,31.7,220.9,15,No data,41,81,76,22,35,40,19,No data,66,53,No data,46,144,42,19,No data,16,12,24,43
06/10/2010,-0.8,17.8,11.5,21.2,8.7,21.6,237.2,15,No data,42,89,70,28,41,42,13,No data,76,45,No data,53,167,45,22,No data,11,12,19,42
07/10/2010,8.1,-0.8,21.3,21.3,-34,27.3,177.9,4,No data,53,98,98,25,40,39,29,No data,90,58,No data,68,136,39,51,No data,25,37,36,37
08/10/2010,13.5,-15.8,21.2,26.5,-14.7,27.5,143.3,13,No data,47,63,75,42,46,45,30,No data,92,48,No data,55,No data,30,48,No data,28,40,38,27
09/10/2010,16.9,-18.6,12.4,22.4,-6.6,22.6,123.6,13,No data,30,42,54,22,41,26,15,No data,85,37,No data,51,61,18,39,No data,24,33,36,27
10/10/2010,17.1,-15,2.4,15.2,-6.9,15.6,99.2,12,No data,28,44,44,20,30,20,11,No data,83,38,No data,40,50,13,31,No data,21,33,24,32
11/10/2010,19.2,-9.9,0.1,9.9,-21.1,14.5,90.5,0,No data,52,74,49,46,25,32,15,No data,118,38,No data,59,48,17,33,No data,26,33,45,45
12/10/2010,20.1,-5.1,-1.4,5.3,-18.7,10.7,74.7,0,No data,69,93,62,44,21,40,29,No data,105,43,No data,66,58,20,36,No data,35,37,54,54
13/10/2010,19.7,-1.1,-5.1,5.2,-20.7,11.6,12.1,0,No data,81,91,87,53,29,41,34,No data,112,46,No data,67,57,32,34,No data,29,39,58,55
14/10/2010,19.8,1.2,-6.7,6.9,-20.5,12.4,349.5,0,No data,83,66,109,36,35,48,25,No data,66,42,No data,67,64,49,40,No data,37,40,49,45
15/10/2010,18.9,4.4,-13.7,14.4,-6.7,14.8,342,18,No data,60,74,86,34,41,34,18,No data,72,34,No data,57,61,46,41,No data,21,43,33,46
