Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
01/09/2010,15.7,-2,5.7,6,-32.6,17.4,160.5,0,No data,27,24,19,20,11,No data,22,No data,No data,28,No data,18,No data,No data,No data,19,No data,10,No data,17,13,13,No data
02/09/2010,17,-4.7,7,8.5,-30.8,17.6,146.3,0,No data,23,28,20,22,13,No data,20,No data,No data,34,No data,19,No data,20,No data,19,No data,14,No data,14,16,17,No data
03/09/2010,16.4,-1.8,10.4,10.5,-25.5,16.6,170.4,0,No data,14,21,14,27,8,No data,12,No data,No data,37,No data,12,No data,20,No data,13,No data,7,No data,No data,15,22,No data
04/09/2010,17.2,0.3,14.7,14.8,-9.4,15.5,181.4,14,No data,11,17,17,19,12,No data,11,No data,No data,34,No data,14,No data,18,No data,15,No data,8,No data,No data,14,20,No data
05/09/2010,15.8,-8.1,22.3,23.8,-4.7,23.9,159.9,14,No data,11,13,18,14,15,No data,12,No data,No data,24,No data,17,No data,14,No data,15,No data,13,No data,No data,17,18,No data
06/09/2010,10.7,-11.1,22.7,25.3,27.3,28.7,153.8,23,No data,14,16,21,16,17,No data,No data,No data,No data,22,No data,20,No data,20,No data,18,No data,15,No data,No data,12,11,No data
07/09/2010,6.2,-9.6,14.6,17.4,45.7,28.7,146.8,20,No data,9,16,14,10,9,No data,7,No data,No data,24,No data,12,No data,15,No data,14,No data,7,No data,10,8,7,No data
08/09/2010,7.3,-2,10.5,10.7,32.7,19.5,168.9,20,No data,18,18,34,16,24,No data,13,No data,No data,29,No data,31,No data,23,No data,31,No data,24,No data,25,15,No data,No data
09/09/2010,13.4,6.9,1.9,7.2,2.5,7.3,254.9,16,No data,13,18,12,13,11,No data,9,No data,No data,24,No data,11,No data,17,No data,15,No data,10,No data,14,10,6,No data
10/09/2010,12.5,13.3,8.2,15.7,17.3,17.9,238.4,25,No data,8,12,16,9,11,No data,6,No data,No data,20,No data,14,No data,11,No data,15,No data,8,No data,7,10,5,No data
11/09/2010,12.7,13.9,-2.3,14.1,23.7,18.4,279.2,26,No data,7,8,11,No data,9,No data,6,No data,No data,14,No data,12,No data,9,No data,11,No data,7,No data,5,9,4,No data
12/09/2010,17.3,14.8,-4.2,15.3,-27.2,20.5,286,6,No data,7,10,10,No data,No data,No data,5,No data,No data,11,No data,10,No data,10,No data,11,No data,7,No data,4,8,4,No data
13/09/2010,14.4,25.2,6.9,26.2,10.4,26.7,254.7,16,No data,7,12,12,No data,No data,No data,6,No data,No data,10,No data,11,No data,12,No data,13,No data,10,No data,4,9,5,No data
14/09/2010,8.4,29.3,-7.4,30.2,13.9,31,284.2,16,No data,6,10,8,6,No data,No data,5,No data,No data,10,No data,8,No data,7,No data,11,No data,6,No data,2,8,2,No data
15/09/2010,9.6,17.3,-19.9,26.4,25.2,29.2,319,17,No data,7,9,8,7,No data,No data,6,No data,No data,10,No data,8,No data,8,No data,11,No data,7,No data,2,8,4,No data
16/09/2010,10.7,10.9,-20.1,22.9,-6.3,23.1,331.5,17,No data,8,7,7,8,No data,No data,5,No data,No data,No data,No data,7,No data,8,No data,11,No data,7,No data,2,10,3,No data
17/09/2010,13.1,8.9,-15.6,18,-32.9,24.4,330.2,7,No data,9,11,14,9,No data,No data,6,No data,No data,No data,No data,12,No data,10,No data,12,No data,9,No data,3,10,3,No data
18/09/2010,13.4,10.7,0.7,10.7,-13.7,12.7,266.3,6,No data,8,13,11,6,11,No data,6,No data,No data,No data,No data,11,No data,10,No data,13,No data,10,No data,No data,10,4,No data
19/09/2010,10.1,9.5,6,11.2,10.9,12.5,237.7,15,No data,5,9,9,6,9,No data,5,No data,No data,No data,No data,10,No data,8,No data,11,No data,5,No data,5,7,2,No data
20/09/2010,9.4,5.9,-1.6,6.2,-0.7,6.2,285.1,16,No data,11,15,11,8,11,No data,6,No data,No data,No data,No data,11,No data,11,No data,13,No data,7,No data,4,8,6,No data
21/09/2010,15.1,2.1,15.4,15.6,4.1,15.7,187.9,14,No data,20,19,22,14,12,No data,10,No data,No data,No data,No data,22,No data,18,No data,19,No data,18,No data,13,11,8,No data
22/09/2010,16,2.8,5.5,6.2,40,20.9,207.1,20,No data,18,26,21,16,17,No data,15,No data,No data,22,No data,23,No data,26,No data,22,No data,17,No data,22,16,15,No data
23/09/2010,13.9,-6,-10.9,12.5,40,23.6,29,20,No data,9,14,19,10,16,No data,7,No data,No data,26,No data,19,No data,13,No data,No data,No data,12,No data,10,12,2,No data
24/09/2010,13.6,-6,-20.2,21.1,-7.7,21.4,16.6,18,No data,8,6,16,10,10,No data,4,No data,No data,19,No data,12,No data,10,No data,13,No data,8,No data,4,9,1,No data
25/09/2010,15.7,-0.2,-13.4,13.4,-31.4,20.6,1.1,0,No data,6,8,12,9,7,No data,4,No data,No data,20,No data,9,No data,10,No data,9,No data,5,No data,3,9,4,No data
26/09/2010,14.3,-3.9,-2.3,4.6,-17.7,10,58.9,0,No data,7,9,11,11,6,No data,6,No data,No data,23,No data,9,No data,12,No data,10,No data,4,No data,5,No data,4,No data
27/09/2010,13.4,-5.5,6.7,8.7,-9.5,9.9,140.2,3,No data,17,12,18,15,13,No data,9,No data,No data,30,No data,14,No data,17,No data,16,No data,9,No data,12,No data,9,No data
28/09/2010,13,2.8,16.7,17,-4.1,17.1,189.3,14,No data,20,29,30,No data,24,No data,21,No data,No data,26,No data,28,No data,30,No data,28,No data,20,No data,25,No data,12,No data
29/09/2010,15.2,4.5,4.2,6.1,12,8.6,227.1,25,No data,12,19,16,14,13,No data,8,No data,No data,27,No data,15,No data,22,No data,17,No data,10,No data,13,7,4,No data
30/09/2010,10,4.8,14.5,15.3,8.5,15.9,198.5,14,No data,13,20,15,13,12,No data,9,No data,No data,27,No data,13,No data,15,No data,16,No data,9,No data,8,8,5,No data
01/10/2010,1.2,8.9,22.2,23.9,47.5,33.7,201.9,24,No data,9,14,12,8,6,16,6,No data,No data,20,No data,11,No data,16,No data,11,No data,5,No data,8,6,3,No data
02/10/2010,-1.1,8.6,23.3,24.9,14.1,25.8,200.2,14,No data,7,14,15,8,6,16,8,No data,No data,19,No data,12,No data,16,No data,13,No data,6,No data,8,7,6,No data
03/10/2010,-4.5,8.9,8.3,12.2,36.9,22.1,227.1,20,No data,8,11,11,7,8,15,8,No data,No data,17,No data,12,No data,14,No data,12,No data,5,No data,8,8,5,No data
04/10/2010,-9,12,23.3,26.2,3.1,26.3,207.2,15,No data,15,18,21,9,16,17,8,No data,No data,14,No data,18,No data,18,No data,17,No data,13,No data,7,11,4,No data
05/10/2010,-7.9,20,23.2,30.7,15.9,31.7,220.9,15,No data,9,15,15,9,10,19,8,No data,No data,16,No data,14,No data,13,No data,16,No data,5,No data,10,7,7,No data
06/10/2010,-0.8,17.8,11.5,21.2,8.7,21.6,237.2,15,No data,7,14,12,8,7,15,6,No data,No data,20,No data,9,No data,11,No data,12,No data,4,No data,7,5,2,No data
07/10/2010,8.1,-0.8,21.3,21.3,-34,27.3,177.9,4,No data,10,18,20,11,12,19,10,No data,No data,25,No data,20,No data,19,No data,14,No data,13,No data,11,13,9,No data
08/10/2010,13.5,-15.8,21.2,26.5,-14.7,27.5,143.3,13,No data,37,29,45,26,36,43,25,No data,No data,39,No data,46,No data,42,No data,42,No data,35,No data,30,31,21,No data
09/10/2010,16.9,-18.6,12.4,22.4,-6.6,22.6,123.6,13,No data,35,32,37,25,35,46,26,No data,No data,39,No data,40,No data,39,No data,39,No data,32,No data,36,37,27,No data
10/10/2010,17.1,-15,2.4,15.2,-6.9,15.6,99.2,12,No data,29,32,29,30,26,37,22,No data,No data,40,No data,33,No data,35,No data,30,No data,23,No data,35,27,18,No data
11/10/2010,19.2,-9.9,0.1,9.9,-21.1,14.5,90.5,0,No data,23,31,26,25,24,28,14,No data,No data,31,No data,29,No data,29,No data,24,No data,21,No data,14,25,15,No data
12/10/2010,20.1,-5.1,-1.4,5.3,-18.7,10.7,74.7,0,No data,19,22,18,27,14,22,11,No data,No data,41,No data,20,No data,23,No data,16,No data,12,No data,9,23,20,No data
13/10/2010,19.7,-1.1,-5.1,5.2,-20.7,11.6,12.1,0,No data,28,31,14,29,8,32,13,No data,No data,42,No data,12,No data,24,No data,12,No data,8,No data,12,13,32,No data
14/10/2010,19.8,1.2,-6.7,6.9,-20.5,12.4,349.5,0,No data,33,22,20,19,8,49,No data,No data,No data,22,No data,14,No data,20,14,21,No data,8,No data,8,13,34,No data
15/10/2010,18.9,4.4,-13.7,14.4,-6.7,14.8,342,18,No data,18,18,19,12,12,24,No data,No data,No data,15,No data,14,No data,17,14,No data,No data,10,No data,7,18,13,No data
16/10/2010,20,-1.4,-3.3,3.6,-30.4,15.6,23,0,No data,10,14,14,12,7,16,No data,No data,No data,24,No data,14,No data,13,8,No data,No data,7,No data,6,13,5,No data
17/10/2010,17.5,17,1.7,17.1,-20.6,20,264.3,6,No data,15,18,14,11,9,16,No data,No data,No data,16,No data,19,No data,14,12,No data,No data,9,No data,5,11,9,No data
18/10/2010,14.9,22.8,-11.5,25.5,11.7,26.2,296.7,17,No data,11,14,14,9,12,20,No data,No data,No data,13,No data,16,No data,11,26,No data,No data,No data,No data,4,12,9,No data
19/10/2010,14.9,2.8,-19.9,20.1,9.5,20.6,352.1,18,No data,9,12,8,10,9,15,No data,No data,No data,16,No data,7,No data,11,11,No data,No data,No data,No data,3,9,2,No data
20/10/2010,16.9,8.8,-10.6,13.7,-27.5,19.4,320.4,0,No data,11,12,14,10,8,12,No data,No data,No data,13,No data,10,No data,8,12,No data,No data,No data,No data,2,12,5,No data
