Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool Marton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London N. Kensington,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/09/2010,15.7,-2,5.7,6,-32.6,17.4,160.5,0,NaN,NaN,NaN,NaN,NaN,42,35,NaN,NaN,NaN,NaN,NaN,44,NaN,37,25,40,NaN,32,64,31,56,62,32,33,18,54,31,32,13,NaN,42,14,59,NaN,46,22,43,17,38,NaN,NaN
02/09/2010,17,-4.7,7,8.5,-30.8,17.6,146.3,0,NaN,NaN,NaN,NaN,NaN,44,40,NaN,NaN,NaN,NaN,NaN,20,NaN,24,21,33,NaN,28,58,27,45,51,23,38,15,30,29,36,12,56,36,11,45,NaN,41,16,26,9,40,NaN,NaN
03/09/2010,16.4,-1.8,10.4,10.5,-25.5,16.6,170.4,0,NaN,NaN,NaN,NaN,NaN,37,37,NaN,NaN,NaN,NaN,NaN,40,NaN,24,15,40,NaN,29,52,24,42,47,35,39,18,30,27,30,10,56,39,11,33,NaN,41,13,23,14,28,NaN,NaN
04/09/2010,17.2,0.3,14.7,14.8,-9.4,15.5,181.4,14,NaN,NaN,NaN,NaN,NaN,30,29,NaN,NaN,NaN,NaN,NaN,21,NaN,22,13,30,NaN,26,50,23,46,47,32,22,13,34,23,30,9,47,24,15,27,NaN,35,14,22,6,24,NaN,NaN
05/09/2010,15.8,-8.1,22.3,23.8,-4.7,23.9,159.9,14,NaN,NaN,NaN,NaN,NaN,14,23,NaN,NaN,NaN,NaN,NaN,15,NaN,12,11,17,NaN,26,50,19,41,32,13,24,7,19,19,26,4,32,22,19,11,NaN,23,14,12,3,11,NaN,NaN
06/09/2010,10.7,-11.1,22.7,25.3,27.3,28.7,153.8,23,NaN,NaN,NaN,NaN,NaN,22,24,NaN,NaN,NaN,NaN,NaN,23,NaN,22,16,21,NaN,33,63,28,53,41,15,21,12,27,24,32,9,30,24,23,20,NaN,31,19,18,5,16,NaN,NaN
07/09/2010,6.2,-9.6,14.6,17.4,45.7,28.7,146.8,20,NaN,NaN,NaN,NaN,NaN,27,36,NaN,NaN,NaN,NaN,NaN,22,NaN,29,19,41,NaN,30,49,16,32,46,24,24,12,35,19,32,11,35,21,18,31,NaN,43,14,32,7,25,NaN,NaN
08/09/2010,7.3,-2,10.5,10.7,32.7,19.5,168.9,20,NaN,NaN,NaN,NaN,NaN,29,33,NaN,NaN,NaN,NaN,NaN,21,NaN,38,30,41,NaN,36,64,29,47,53,38,22,19,43,25,29,13,46,28,29,46,NaN,38,22,35,19,32,NaN,NaN
09/09/2010,13.4,6.9,1.9,7.2,2.5,7.3,254.9,16,NaN,NaN,NaN,NaN,NaN,26,23,NaN,NaN,NaN,NaN,NaN,29,NaN,41,26,42,NaN,37,57,23,38,44,32,14,16,42,14,22,11,35,28,23,41,NaN,40,32,38,18,25,NaN,NaN
10/09/2010,12.5,13.3,8.2,15.7,17.3,17.9,238.4,25,NaN,NaN,24,NaN,NaN,20,23,NaN,NaN,NaN,NaN,NaN,22,NaN,34,12,33,NaN,21,36,11,27,38,28,19,12,29,10,16,15,26,12,16,22,NaN,25,15,23,8,21,NaN,NaN
11/09/2010,12.7,13.9,-2.3,14.1,23.7,18.4,279.2,26,NaN,NaN,14,NaN,NaN,14,16,NaN,NaN,NaN,NaN,NaN,22,NaN,30,15,35,NaN,14,31,8,20,39,25,9,5,19,6,18,12,21,13,13,18,NaN,27,7,16,8,12,NaN,NaN
12/09/2010,17.3,14.8,-4.2,15.3,-27.2,20.5,286,6,NaN,NaN,11,NaN,NaN,15,16,NaN,NaN,NaN,NaN,NaN,19,NaN,15,17,23,NaN,24,51,15,27,28,15,16,7,20,11,16,11,17,19,16,18,NaN,16,9,22,4,9,NaN,NaN
13/09/2010,14.4,25.2,6.9,26.2,10.4,26.7,254.7,16,NaN,NaN,22,NaN,NaN,24,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,13,29,NaN,30,41,20,32,33,25,12,6,24,11,26,9,17,18,20,19,NaN,40,21,18,7,20,NaN,NaN
14/09/2010,8.4,29.3,-7.4,30.2,13.9,31,284.2,16,NaN,NaN,12,NaN,NaN,15,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23,13,30,NaN,15,33,11,20,31,18,12,7,19,6,15,7,14,12,12,15,NaN,30,8,17,5,8,NaN,NaN
15/09/2010,9.6,17.3,-19.9,26.4,25.2,29.2,319,17,NaN,NaN,12,NaN,NaN,13,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23,13,28,NaN,18,42,13,24,33,19,9,7,25,8,11,6,16,21,13,15,NaN,38,17,15,5,7,NaN,NaN
16/09/2010,10.7,10.9,-20.1,22.9,-6.3,23.1,331.5,17,NaN,NaN,16,NaN,NaN,15,21,NaN,NaN,NaN,NaN,NaN,30,NaN,19,16,23,NaN,26,53,20,28,27,26,18,12,32,12,17,14,22,27,19,27,NaN,28,19,25,9,7,NaN,NaN
17/09/2010,13.1,8.9,-15.6,18,-32.9,24.4,330.2,7,NaN,NaN,18,NaN,NaN,22,29,NaN,NaN,NaN,NaN,NaN,34,NaN,22,24,34,NaN,35,63,25,37,31,29,32,14,45,20,33,20,33,34,21,39,NaN,36,24,38,11,NaN,NaN,NaN
18/09/2010,13.4,10.7,0.7,10.7,-13.7,12.7,266.3,6,NaN,NaN,36,NaN,NaN,28,23,NaN,NaN,NaN,NaN,NaN,19,NaN,23,22,36,NaN,39,55,28,37,52,27,24,11,36,11,33,12,31,24,27,34,NaN,31,28,30,5,21,NaN,NaN
19/09/2010,10.1,9.5,6,11.2,10.9,12.5,237.7,15,NaN,NaN,18,NaN,NaN,17,13,NaN,NaN,NaN,NaN,NaN,26,NaN,22,9,21,NaN,12,26,9,17,36,32,5,6,17,6,23,7,14,9,10,12,NaN,22,8,14,7,16,NaN,NaN
20/09/2010,9.4,5.9,-1.6,6.2,-0.7,6.2,285.1,16,NaN,NaN,34,NaN,NaN,24,19,NaN,NaN,NaN,NaN,NaN,21,NaN,31,21,37,NaN,24,45,18,NaN,43,27,13,10,30,12,28,6,30,24,14,33,NaN,36,14,22,7,17,NaN,NaN
21/09/2010,15.1,2.1,15.4,15.6,4.1,15.7,187.9,14,NaN,NaN,35,NaN,NaN,42,30,NaN,NaN,NaN,NaN,NaN,30,NaN,35,21,56,NaN,40,66,25,NaN,51,42,31,15,50,31,35,12,44,33,33,39,NaN,44,37,42,16,36,NaN,NaN
22/09/2010,16,2.8,5.5,6.2,40,20.9,207.1,20,NaN,NaN,35,NaN,NaN,30,27,NaN,NaN,NaN,NaN,NaN,23,NaN,41,16,58,NaN,36,61,25,46,56,48,26,16,42,21,45,17,39,27,24,36,NaN,39,28,39,18,38,NaN,NaN
23/09/2010,13.9,-6,-10.9,12.5,40,23.6,29,20,NaN,NaN,30,NaN,NaN,27,NaN,NaN,NaN,NaN,NaN,NaN,28,NaN,35,22,41,NaN,39,55,20,40,49,34,12,15,41,16,26,13,33,25,18,38,NaN,41,17,36,11,21,NaN,NaN
24/09/2010,13.6,-6,-20.2,21.1,-7.7,21.4,16.6,18,NaN,NaN,20,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,NaN,27,NaN,7,17,22,NaN,23,61,13,31,33,29,22,8,35,20,19,12,35,20,14,27,NaN,25,16,29,8,11,NaN,NaN
25/09/2010,15.7,-0.2,-13.4,13.4,-31.4,20.6,1.1,0,NaN,NaN,12,NaN,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,32,NaN,8,17,24,NaN,19,55,15,24,33,19,NaN,4,44,14,29,12,41,19,10,31,NaN,19,13,40,6,21,NaN,NaN
26/09/2010,14.3,-3.9,-2.3,4.6,-17.7,10,58.9,0,NaN,NaN,33,NaN,NaN,21,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN,5,10,16,NaN,15,44,11,16,27,27,NaN,6,26,12,19,5,35,15,8,22,NaN,15,6,25,5,12,NaN,NaN
27/09/2010,13.4,-5.5,6.7,8.7,-9.5,9.9,140.2,3,NaN,NaN,43,NaN,NaN,28,NaN,NaN,NaN,NaN,NaN,NaN,19,NaN,20,22,21,NaN,34,47,27,34,40,35,NaN,13,25,23,25,14,39,24,20,37,NaN,26,20,31,14,19,NaN,NaN
28/09/2010,13,2.8,16.7,17,-4.1,17.1,189.3,14,NaN,NaN,29,NaN,NaN,31,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN,43,19,48,NaN,36,55,27,44,50,45,NaN,13,41,20,37,13,40,27,22,41,NaN,34,21,35,NaN,33,NaN,NaN
29/09/2010,15.2,4.5,4.2,6.1,12,8.6,227.1,25,NaN,NaN,29,NaN,NaN,33,NaN,NaN,NaN,NaN,NaN,NaN,31,NaN,43,23,45,NaN,31,54,16,38,51,35,NaN,13,45,20,27,12,34,24,22,37,NaN,46,19,39,NaN,24,NaN,NaN
30/09/2010,10,4.8,14.5,15.3,8.5,15.9,198.5,14,NaN,NaN,28,NaN,NaN,34,NaN,NaN,NaN,NaN,NaN,NaN,38,NaN,43,23,42,NaN,37,54,22,40,46,43,28,13,45,24,35,11,46,26,27,39,NaN,41,26,39,NaN,35,NaN,NaN
01/10/2010,1.2,8.9,22.2,23.9,47.5,33.7,201.9,24,NaN,NaN,34,NaN,NaN,30,37,NaN,NaN,NaN,NaN,NaN,25,NaN,42,21,52,NaN,20,48,11,30,49,40,18,6,43,12,27,7,33,17,13,35,NaN,33,12,36,NaN,27,NaN,NaN
02/10/2010,-1.1,8.6,23.3,24.9,14.1,25.8,200.2,14,NaN,NaN,22,NaN,NaN,38,34,NaN,NaN,NaN,NaN,NaN,22,NaN,40,15,46,NaN,24,54,13,38,46,46,20,7,38,18,41,11,32,20,13,29,NaN,38,16,33,NaN,28,NaN,NaN
03/10/2010,-4.5,8.9,8.3,12.2,36.9,22.1,227.1,20,NaN,NaN,16,NaN,NaN,27,27,NaN,NaN,NaN,NaN,NaN,19,NaN,29,14,43,NaN,14,40,10,29,47,39,19,7,34,10,20,9,29,18,10,28,NaN,33,7,29,NaN,21,NaN,NaN
04/10/2010,-9,12,23.3,26.2,3.1,26.3,207.2,15,NaN,NaN,22,NaN,NaN,33,32,NaN,NaN,NaN,NaN,NaN,22,NaN,42,26,55,NaN,46,67,33,48,47,43,24,16,46,23,21,17,34,30,27,34,NaN,40,31,37,NaN,28,NaN,NaN
05/10/2010,-7.9,20,23.2,30.7,15.9,31.7,220.9,15,NaN,NaN,24,NaN,NaN,31,33,NaN,NaN,NaN,NaN,NaN,20,NaN,42,23,46,NaN,25,48,14,28,48,40,17,17,36,14,23,12,31,20,16,25,NaN,31,15,35,NaN,29,NaN,NaN
06/10/2010,-0.8,17.8,11.5,21.2,8.7,21.6,237.2,15,NaN,NaN,39,NaN,NaN,26,30,NaN,NaN,NaN,NaN,NaN,23,NaN,40,22,45,NaN,28,55,19,36,50,37,25,13,36,17,24,11,28,24,19,25,NaN,41,14,29,NaN,29,NaN,NaN
07/10/2010,8.1,-0.8,21.3,21.3,-34,27.3,177.9,4,NaN,NaN,33,NaN,NaN,35,34,NaN,NaN,NaN,NaN,NaN,24,NaN,42,19,48,NaN,44,76,36,61,46,39,33,12,45,27,34,19,34,39,30,34,NaN,42,29,31,NaN,33,NaN,NaN
08/10/2010,13.5,-15.8,21.2,26.5,-14.7,27.5,143.3,13,NaN,NaN,26,NaN,NaN,38,43,NaN,NaN,NaN,NaN,NaN,21,NaN,36,31,34,NaN,36,58,38,49,39,26,38,16,39,34,32,21,32,49,37,34,NaN,42,31,30,15,27,NaN,NaN
09/10/2010,16.9,-18.6,12.4,22.4,-6.6,22.6,123.6,13,NaN,NaN,13,NaN,NaN,27,29,NaN,NaN,NaN,NaN,NaN,23,NaN,16,13,19,NaN,31,43,28,38,31,30,15,9,25,18,30,17,17,32,33,17,NaN,NaN,27,15,15,13,NaN,NaN
10/10/2010,17.1,-15,2.4,15.2,-6.9,15.6,99.2,12,NaN,NaN,17,NaN,NaN,21,23,NaN,NaN,NaN,NaN,NaN,25,NaN,17,11,12,NaN,27,44,21,31,26,30,12,11,21,14,19,12,15,23,24,15,NaN,NaN,18,16,17,14,NaN,NaN
11/10/2010,19.2,-9.9,0.1,9.9,-21.1,14.5,90.5,0,NaN,NaN,53,NaN,NaN,24,30,NaN,NaN,NaN,NaN,NaN,29,NaN,19,11,22,NaN,24,48,11,24,44,40,21,15,33,12,27,14,26,21,13,36,NaN,NaN,14,34,16,19,NaN,NaN
12/10/2010,20.1,-5.1,-1.4,5.3,-18.7,10.7,74.7,0,NaN,NaN,39,NaN,NaN,30,33,NaN,NaN,NaN,NaN,NaN,40,NaN,21,19,27,NaN,21,52,10,29,51,43,32,8,40,20,30,20,43,26,10,57,NaN,NaN,13,35,18,29,NaN,NaN
13/10/2010,19.7,-1.1,-5.1,5.2,-20.7,11.6,12.1,0,NaN,NaN,29,NaN,NaN,37,41,NaN,NaN,NaN,NaN,NaN,42,NaN,19,29,29,NaN,15,56,9,27,55,35,37,11,56,17,35,19,46,22,8,58,NaN,35,14,46,23,23,NaN,NaN
14/10/2010,19.8,1.2,-6.7,6.9,-20.5,12.4,349.5,0,NaN,NaN,34,NaN,NaN,47,47,NaN,NaN,NaN,NaN,NaN,47,NaN,17,43,37,NaN,26,62,24,37,48,40,35,13,60,33,40,18,55,27,13,45,NaN,34,16,57,29,31,NaN,NaN
