Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool Marton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London N. Kensington,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/03/2010,7.7,2.9,-4.2,5.1,-18,10.3,325.2,0,24,NaN,56,NaN,NaN,78,55,NaN,NaN,NaN,NaN,NaN,59,NaN,36,61,43,NaN,62,83,48,60,63,39,58,16,57,34,63,46,53,NaN,NaN,82,NaN,76,NaN,60,32,35,34,NaN
02/03/2010,17.1,1.2,3.5,3.7,-31,15.9,199.5,0,33,NaN,NaN,NaN,NaN,72,51,NaN,NaN,NaN,NaN,NaN,64,NaN,41,68,54,NaN,66,105,56,91,70,48,51,27,67,45,49,48,NaN,NaN,NaN,95,NaN,NaN,NaN,63,43,62,53,NaN
03/03/2010,19.1,-4.2,8.7,9.7,-6.2,10.1,154.2,13,56,NaN,NaN,NaN,NaN,49,47,NaN,NaN,NaN,NaN,NaN,62,NaN,55,30,62,NaN,40,68,35,53,56,73,45,21,44,31,NaN,28,NaN,NaN,NaN,91,NaN,NaN,NaN,35,32,47,36,NaN
04/03/2010,23.6,-3.3,-3.3,4.7,-28.4,14.9,45.8,0,44,NaN,NaN,NaN,NaN,42,42,NaN,NaN,NaN,NaN,NaN,56,NaN,47,44,48,NaN,38,71,24,41,54,50,38,19,51,32,NaN,37,45,NaN,NaN,79,NaN,47,NaN,45,38,44,50,NaN
05/03/2010,24.7,7.5,-12.2,14.3,-31.7,21.3,328.4,0,14,NaN,46,NaN,NaN,71,59,NaN,NaN,NaN,NaN,NaN,50,NaN,28,57,38,NaN,62,92,51,61,58,28,52,18,60,34,31,52,50,NaN,NaN,75,NaN,57,NaN,54,16,35,NaN,NaN
06/03/2010,22.5,1.4,0.6,1.5,-43.6,21.9,246.5,0,21,NaN,35,NaN,NaN,46,44,NaN,NaN,NaN,NaN,NaN,42,NaN,16,31,36,NaN,20,56,13,33,52,35,32,8,44,22,27,24,42,NaN,NaN,66,NaN,31,NaN,NaN,13,29,NaN,NaN
07/03/2010,23.7,-0.1,7.8,7.8,-57.1,29.6,178.9,0,39,NaN,28,NaN,NaN,29,26,NaN,NaN,NaN,NaN,NaN,46,NaN,29,27,54,NaN,24,54,18,39,44,35,24,14,40,20,14,17,41,NaN,NaN,66,NaN,31,NaN,NaN,19,33,NaN,NaN
08/03/2010,24.2,-5.4,3.3,6.3,-46.6,24.1,121.5,0,36,NaN,80,NaN,NaN,36,36,NaN,NaN,NaN,NaN,NaN,60,NaN,36,41,53,NaN,29,68,19,39,68,44,41,18,58,26,27,32,53,NaN,NaN,85,NaN,41,NaN,NaN,33,52,NaN,NaN
09/03/2010,25.8,-1.4,-1.3,1.9,-47.1,23.6,47,0,46,NaN,78,NaN,NaN,38,36,NaN,NaN,NaN,NaN,NaN,63,NaN,19,31,32,NaN,24,62,19,30,49,41,32,11,34,19,35,20,39,NaN,NaN,58,NaN,29,NaN,NaN,26,23,42,NaN
10/03/2010,24.1,0.2,-3.1,3.1,-47.6,24,355.4,0,40,NaN,85,NaN,NaN,NaN,31,NaN,NaN,NaN,NaN,NaN,65,NaN,22,18,43,NaN,19,62,13,27,53,43,27,10,38,14,33,19,NaN,NaN,NaN,61,NaN,23,NaN,29,53,35,NaN,NaN
11/03/2010,21.6,9.1,-9.4,13.1,-21.1,16.8,316.2,7,28,NaN,62,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN,44,NaN,29,58,50,NaN,27,78,21,42,57,30,50,27,70,40,53,26,NaN,NaN,NaN,64,NaN,38,NaN,60,28,33,NaN,NaN
12/03/2010,24.4,1.5,-14.4,14.5,-13.2,16,354.1,18,9,NaN,27,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,40,NaN,10,44,28,NaN,45,89,39,51,42,30,25,17,50,29,55,35,31,NaN,NaN,42,NaN,47,NaN,34,9,18,NaN,NaN
13/03/2010,25.9,11.8,-13.5,18,-22.8,21.3,318.8,7,9,NaN,20,NaN,NaN,NaN,33,NaN,NaN,NaN,NaN,NaN,32,NaN,13,31,26,NaN,23,71,16,31,48,22,24,15,41,26,42,23,30,26,NaN,47,NaN,28,NaN,47,10,21,13,NaN
14/03/2010,24.8,9.9,-13.7,16.9,-26.5,21.5,324.2,7,12,NaN,14,NaN,NaN,NaN,27,NaN,NaN,NaN,NaN,NaN,27,NaN,15,22,16,NaN,20,76,12,24,26,14,21,10,25,10,45,24,12,15,NaN,22,NaN,21,NaN,25,6,7,NaN,NaN
15/03/2010,20.8,11.5,-7.6,13.8,-21.6,17.5,303.4,7,20,NaN,31,NaN,NaN,NaN,47,NaN,NaN,NaN,NaN,NaN,35,NaN,15,32,28,NaN,34,85,27,45,45,17,76,NaN,40,22,64,29,20,40,NaN,39,NaN,45,NaN,31,4,12,NaN,NaN
16/03/2010,15,6.8,12,13.8,-33,21.5,209.8,0,37,NaN,47,NaN,NaN,NaN,48,NaN,NaN,NaN,NaN,NaN,33,NaN,42,40,42,NaN,44,69,31,53,62,43,73,NaN,55,34,76,35,44,38,NaN,46,NaN,58,NaN,44,29,37,41,NaN
17/03/2010,9.9,17.4,13.6,22.1,-12.7,23,232,15,27,NaN,44,NaN,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,17,NaN,42,37,47,NaN,40,58,22,46,56,40,35,20,43,29,74,42,31,32,NaN,33,NaN,53,NaN,35,12,32,16,NaN
18/03/2010,2.7,13.9,28.4,31.7,11.9,32.2,206,15,26,NaN,33,NaN,NaN,NaN,39,NaN,NaN,NaN,NaN,NaN,8,NaN,37,31,42,NaN,33,65,17,43,54,36,45,16,45,24,69,36,26,27,NaN,29,NaN,51,NaN,36,13,26,18,NaN
19/03/2010,1.7,22.1,6.4,23.1,-1.3,23.1,253.9,16,19,NaN,37,NaN,NaN,NaN,37,NaN,NaN,NaN,NaN,NaN,18,NaN,38,29,47,NaN,25,45,14,30,52,28,31,12,38,16,60,27,23,21,NaN,34,NaN,37,NaN,31,15,20,23,NaN
20/03/2010,4,8.3,-10.4,13.3,-0.7,13.3,321.2,17,19,NaN,22,NaN,NaN,NaN,29,NaN,NaN,NaN,NaN,NaN,34,NaN,23,25,31,NaN,15,40,10,20,48,42,14,9,36,12,34,12,37,14,NaN,38,NaN,24,NaN,36,29,28,21,NaN
21/03/2010,10,13,8.4,15.5,-16.9,17.7,237.2,5,25,NaN,28,NaN,NaN,NaN,32,NaN,NaN,NaN,NaN,NaN,24,NaN,28,24,33,NaN,NaN,43,15,23,51,23,24,10,42,16,50,16,30,18,NaN,32,NaN,27,NaN,25,11,25,14,NaN
22/03/2010,10.3,18.8,14.8,23.9,23,26.5,231.8,15,29,NaN,37,NaN,NaN,NaN,32,NaN,NaN,NaN,NaN,NaN,14,NaN,35,39,44,NaN,NaN,47,15,31,49,27,29,12,37,19,65,26,22,24,NaN,36,NaN,41,NaN,27,8,23,15,NaN
23/03/2010,6.9,9.3,21.1,23.1,-8.7,23.5,203.7,15,34,NaN,38,NaN,NaN,NaN,45,NaN,NaN,NaN,NaN,NaN,20,NaN,35,31,51,NaN,NaN,67,23,50,56,46,46,15,51,21,68,36,38,32,NaN,56,NaN,52,NaN,38,19,40,23,NaN
24/03/2010,3.3,2.4,14.1,14.3,22.4,18.2,189.7,24,45,NaN,46,NaN,NaN,NaN,39,NaN,NaN,NaN,NaN,NaN,26,NaN,39,35,50,NaN,55,76,35,59,55,46,29,28,56,30,61,31,35,32,NaN,41,NaN,59,NaN,36,15,33,31,NaN
25/03/2010,-0.3,-10.6,11.3,15.5,17.9,17.9,136.9,23,34,NaN,54,NaN,NaN,NaN,34,NaN,NaN,NaN,NaN,NaN,35,NaN,30,29,45,NaN,31,55,14,32,56,55,NaN,19,47,20,55,24,36,17,NaN,44,NaN,38,NaN,34,28,33,30,NaN
26/03/2010,0.8,2.3,7,7.4,49,25.6,198.5,20,31,NaN,43,NaN,NaN,NaN,29,NaN,NaN,NaN,NaN,NaN,21,NaN,27,26,37,NaN,20,41,10,21,NaN,32,NaN,10,33,12,51,12,34,14,NaN,27,NaN,25,NaN,36,7,30,22,NaN
27/03/2010,7.2,14.8,-11.7,18.8,35.1,25.7,308.2,27,16,NaN,NaN,NaN,NaN,24,31,NaN,NaN,NaN,NaN,NaN,20,NaN,23,23,32,NaN,28,64,22,28,44,15,NaN,13,37,14,39,18,20,20,NaN,32,NaN,31,NaN,35,4,14,12,NaN
28/03/2010,7.7,6.1,-12.4,13.8,31.5,20.9,333.7,20,7,NaN,NaN,NaN,NaN,21,31,NaN,NaN,NaN,NaN,NaN,19,NaN,19,20,33,NaN,18,42,14,24,34,12,NaN,10,24,8,43,17,17,17,NaN,24,NaN,35,NaN,24,5,13,11,NaN
