Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool Marton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London N. Kensington,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/06/2010,14.3,5.9,1.7,6.1,-9.4,7.7,254.3,6,26,NaN,29,NaN,NaN,39,28,NaN,NaN,NaN,NaN,NaN,26,NaN,31,27,47,NaN,40,67,29,NaN,56,43,26,12,42,28,34,25,42,27,NaN,42,NaN,35,NaN,39,16,28,NaN,NaN
02/06/2010,15.4,8.8,2.1,9,-32.8,18.7,256.3,0,18,NaN,29,NaN,NaN,31,31,NaN,NaN,NaN,NaN,NaN,22,NaN,32,29,34,NaN,30,65,21,NaN,46,23,31,9,47,23,58,22,29,17,NaN,40,NaN,31,NaN,41,11,18,NaN,NaN
03/06/2010,17.5,-4.9,8.4,9.8,-30.8,18.2,149.9,0,27,NaN,48,NaN,NaN,NaN,29,NaN,NaN,NaN,NaN,NaN,25,NaN,32,14,35,NaN,31,71,25,48,52,22,25,10,46,23,57,19,24,34,NaN,37,NaN,39,NaN,26,10,21,NaN,NaN
04/06/2010,18.2,-0.9,8.8,8.9,-9.4,10,173.9,4,24,NaN,37,NaN,NaN,NaN,27,NaN,NaN,NaN,NaN,NaN,23,NaN,25,18,43,NaN,52,77,44,68,56,37,28,16,39,25,80,25,30,21,NaN,38,NaN,43,NaN,33,8,22,NaN,NaN
05/06/2010,17.9,1.8,-0.7,1.9,-1.7,2.1,292.9,-1,17,NaN,44,NaN,NaN,34,22,NaN,NaN,NaN,NaN,NaN,30,NaN,34,22,33,NaN,51,84,40,70,48,26,20,16,38,31,29,43,27,25,NaN,40,NaN,62,NaN,46,13,16,NaN,NaN
06/06/2010,14.4,0,-6,6,-2.7,6.1,0.5,-1,8,NaN,7,NaN,NaN,15,15,NaN,NaN,NaN,NaN,NaN,9,NaN,16,18,20,NaN,22,51,18,25,25,18,8,16,30,9,16,18,15,15,NaN,18,NaN,13,NaN,26,9,6,NaN,NaN
07/06/2010,9.7,-3.8,7.8,8.6,6.5,9.2,154.3,13,10,NaN,32,NaN,NaN,18,17,NaN,NaN,NaN,NaN,NaN,16,NaN,21,18,33,NaN,25,36,16,22,38,30,10,12,26,11,45,9,25,12,NaN,24,NaN,31,NaN,26,10,15,NaN,NaN
08/06/2010,9,-9,-0.1,9,32.1,18.4,89.4,20,6,NaN,34,NaN,NaN,24,18,NaN,NaN,NaN,NaN,NaN,12,NaN,30,21,29,NaN,21,37,13,25,47,24,16,16,34,13,41,14,25,13,NaN,36,NaN,24,NaN,22,11,23,NaN,NaN
09/06/2010,13.2,-14.8,-4,15.3,13.5,16.7,75,12,4,NaN,31,NaN,NaN,24,18,NaN,NaN,NaN,NaN,NaN,8,NaN,17,17,15,NaN,35,55,22,38,38,24,20,13,34,13,45,17,15,21,NaN,28,NaN,37,NaN,17,9,12,NaN,NaN
10/06/2010,12.8,-10.2,-9,13.6,-16.8,16,48.7,1,10,NaN,24,NaN,NaN,20,20,NaN,NaN,NaN,NaN,NaN,11,NaN,9,14,16,NaN,18,49,10,20,31,24,11,10,23,6,25,17,20,14,NaN,23,NaN,19,NaN,25,6,7,NaN,NaN
