Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
01/01/2010,10.9,-2.8,-15.6,15.9,13.2,17.2,10.3,18,NaN,41,59,NaN,19,NaN,30,20,NaN,106,NaN,NaN,42,68,32,NaN,NaN,14,33,36,59
02/01/2010,22.1,-6.2,-7.2,9.5,16.8,12.6,40.6,21,NaN,52,79,NaN,38,NaN,49,24,NaN,82,NaN,NaN,46,110,37,NaN,NaN,20,24,66,80
03/01/2010,21.5,-9.2,-0.5,9.2,-21.9,14.3,86.8,0,NaN,42,61,NaN,25,NaN,22,26,NaN,88,NaN,NaN,48,45,31,NaN,NaN,21,33,42,64
04/01/2010,16.7,4.9,-11.6,12.6,-10.8,13.7,337,17,NaN,82,133,NaN,38,NaN,49,29,NaN,127,NaN,NaN,56,116,71,NaN,NaN,23,44,69,77
05/01/2010,14,-8.3,-15.5,17.6,34.2,24.5,28.2,21,NaN,74,56,NaN,63,NaN,55,32,NaN,136,NaN,NaN,57,153,67,NaN,NaN,36,54,61,84
06/01/2010,13.4,-10.7,-14.6,18.1,6.1,18.4,36.2,11,NaN,51,53,NaN,56,NaN,24,25,NaN,118,NaN,NaN,54,68,41,48,NaN,24,20,NaN,60
07/01/2010,17.4,-2.5,-6,6.5,15.5,10.1,22.1,20,NaN,86,157,NaN,68,NaN,33,27,NaN,148,NaN,NaN,71,76,48,45,NaN,47,40,NaN,59
08/01/2010,24.4,-4.3,-4,5.9,-22.6,12.7,47.1,0,NaN,85,108,NaN,67,NaN,36,36,NaN,144,57,NaN,67,62,51,48,NaN,48,43,55,80
09/01/2010,26.2,-10.4,-1,10.4,-35.2,20.5,84.7,0,NaN,38,45,NaN,58,NaN,27,19,NaN,139,36,NaN,55,35,21,16,NaN,28,19,26,77
10/01/2010,25.3,-18.9,-2.3,19,-17.9,21.1,82.9,12,NaN,25,43,NaN,32,NaN,17,14,NaN,97,34,NaN,37,39,8,23,NaN,13,24,28,32
11/01/2010,19.8,-12.3,10,15.9,-9,16.5,129.1,13,NaN,58,100,NaN,46,NaN,43,51,NaN,99,76,NaN,70,84,29,67,NaN,30,41,51,96
12/01/2010,6,-17.9,33.7,38.1,21.4,39.6,152,13,NaN,58,82,NaN,19,NaN,45,38,NaN,76,74,NaN,73,105,32,48,NaN,26,40,36,63
13/01/2010,3.1,-5.5,16.4,17.3,18.5,19.6,161.3,24,NaN,65,87,NaN,30,NaN,45,47,NaN,85,92,NaN,73,103,46,58,NaN,46,37,57,72
14/01/2010,2.9,1.4,11.3,11.3,0.5,11.4,186.8,14,NaN,99,119,NaN,37,NaN,56,57,NaN,111,84,NaN,96,76,58,76,NaN,48,65,74,88
15/01/2010,5.4,11.9,31.5,33.7,1.1,33.7,200.7,14,NaN,67,109,86,20,NaN,60,41,NaN,86,85,NaN,94,145,53,42,NaN,43,38,58,65
16/01/2010,0.8,13.1,20.6,24.4,25.3,27.5,212.4,25,NaN,50,62,75,19,NaN,45,19,NaN,64,69,NaN,74,109,31,22,NaN,25,18,47,64
