Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
01/03/2010,7.7,2.9,-4.2,5.1,-18,10.3,325.2,0,No data,86,90,113,35,No data,55,32,No data,110,No data,No data,56,118,71,76,No data,29,42,65,72
02/03/2010,17.1,1.2,3.5,3.7,-31,15.9,199.5,0,No data,100,108,167,46,No data,40,52,No data,121,No data,No data,76,123,53,85,No data,43,46,69,76
03/03/2010,19.1,-4.2,8.7,9.7,-6.2,10.1,154.2,13,No data,62,106,87,52,No data,42,49,No data,122,38,No data,87,128,17,36,No data,42,37,47,77
04/03/2010,23.6,-3.3,-3.3,4.7,-28.4,14.9,45.8,0,No data,84,90,79,49,No data,36,44,No data,101,46,No data,74,58,31,No data,No data,51,43,59,No data
05/03/2010,24.7,7.5,-12.2,14.3,-31.7,21.3,328.4,0,No data,67,71,97,40,No data,57,27,No data,81,49,No data,46,106,58,No data,No data,17,60,46,No data
06/03/2010,22.5,1.4,0.6,1.5,-43.6,21.9,246.5,0,No data,38,77,66,16,No data,37,39,No data,109,31,No data,71,58,15,27,No data,16,36,39,No data
07/03/2010,23.7,-0.1,7.8,7.8,-57.1,29.6,178.9,0,No data,47,80,59,21,No data,23,34,No data,64,37,No data,71,62,15,29,No data,16,32,34,No data
08/03/2010,24.2,-5.4,3.3,6.3,-46.6,24.1,121.5,0,No data,81,94,77,55,No data,36,51,No data,113,54,No data,83,54,27,40,No data,51,41,52,No data
09/03/2010,25.8,-1.4,-1.3,1.9,-47.1,23.6,47,0,No data,62,68,77,62,No data,35,38,No data,114,42,No data,66,47,14,41,No data,42,32,56,No data
10/03/2010,24.1,0.2,-3.1,3.1,-47.6,24,355.4,0,No data,63,77,55,54,No data,32,40,No data,104,41,No data,74,45,7,33,No data,59,26,49,No data
