Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
01/03/2010,7.7,2.9,-4.2,5.1,-18,10.3,325.2,0,No data,16,19,No data,18,No data,13,16,No data,No data,22,No data,No data,No data,15,21,22,No data,No data,No data,6,No data,14,No data
02/03/2010,17.1,1.2,3.5,3.7,-31,15.9,199.5,0,No data,29,30,No data,21,No data,18,22,No data,No data,29,No data,No data,No data,20,28,25,No data,No data,No data,9,No data,10,No data
03/03/2010,19.1,-4.2,8.7,9.7,-6.2,10.1,154.2,13,No data,10,18,No data,23,No data,20,18,No data,No data,40,No data,13,No data,24,20,13,No data,No data,No data,16,15,10,No data
04/03/2010,23.6,-3.3,-3.3,4.7,-28.4,14.9,45.8,0,No data,19,18,No data,35,No data,14,18,No data,No data,40,No data,11,No data,23,10,11,No data,No data,No data,15,14,10,No data
05/03/2010,24.7,7.5,-12.2,14.3,-31.7,21.3,328.4,0,No data,25,26,No data,28,No data,26,22,No data,No data,17,No data,21,No data,24,27,25,No data,No data,No data,10,26,19,No data
06/03/2010,22.5,1.4,0.6,1.5,-43.6,21.9,246.5,0,No data,12,17,No data,10,No data,13,12,No data,No data,25,No data,18,No data,16,15,14,No data,No data,No data,4,14,6,No data
07/03/2010,23.7,-0.1,7.8,7.8,-57.1,29.6,178.9,0,No data,13,20,No data,23,No data,16,21,No data,No data,31,No data,14,No data,25,14,14,No data,No data,No data,11,15,10,No data
08/03/2010,24.2,-5.4,3.3,6.3,-46.6,24.1,121.5,0,No data,21,29,No data,32,No data,15,19,No data,No data,39,No data,17,No data,33,13,16,No data,No data,No data,24,16,10,No data
09/03/2010,25.8,-1.4,-1.3,1.9,-47.1,23.6,47,0,No data,17,21,No data,26,No data,20,20,No data,No data,40,No data,13,No data,30,12,14,No data,No data,No data,14,13,24,No data
10/03/2010,24.1,0.2,-3.1,3.1,-47.6,24,355.4,0,No data,8,23,No data,28,No data,12,18,No data,No data,31,No data,11,No data,25,10,9,No data,No data,No data,15,13,20,No data
11/03/2010,21.6,9.1,-9.4,13.1,-21.1,16.8,316.2,7,No data,25,23,No data,26,No data,30,18,No data,No data,25,No data,22,No data,26,20,25,No data,No data,No data,12,19,20,No data
12/03/2010,24.4,1.5,-14.4,14.5,-13.2,16,354.1,18,No data,11,10,No data,16,No data,18,9,No data,No data,22,No data,20,No data,16,23,16,No data,No data,No data,3,24,8,No data
13/03/2010,25.9,11.8,-13.5,18,-22.8,21.3,318.8,7,No data,8,12,No data,10,No data,16,9,No data,No data,12,No data,27,No data,13,14,13,No data,No data,No data,2,17,5,No data
14/03/2010,24.8,9.9,-13.7,16.9,-26.5,21.5,324.2,7,No data,6,9,No data,7,No data,12,8,No data,No data,12,No data,18,No data,11,10,13,No data,No data,No data,3,13,7,No data
15/03/2010,20.8,11.5,-7.6,13.8,-21.6,17.5,303.4,7,No data,7,10,No data,8,No data,18,8,No data,No data,11,No data,11,No data,13,16,12,No data,No data,No data,No data,12,14,No data
16/03/2010,15,6.8,12,13.8,-33,21.5,209.8,0,No data,15,20,No data,11,No data,24,17,No data,No data,16,No data,15,No data,22,29,17,No data,No data,No data,11,15,18,No data
17/03/2010,9.9,17.4,13.6,22.1,-12.7,23,232,15,No data,21,22,No data,13,No data,25,17,No data,No data,20,No data,27,No data,21,43,27,No data,No data,No data,12,27,15,No data
18/03/2010,2.7,13.9,28.4,31.7,11.9,32.2,206,15,No data,24,27,No data,13,No data,31,25,No data,No data,18,No data,32,No data,27,43,31,No data,No data,No data,16,31,19,No data
19/03/2010,1.7,22.1,6.4,23.1,-1.3,23.1,253.9,16,No data,11,15,No data,13,No data,17,14,No data,No data,15,No data,14,No data,18,31,15,No data,No data,No data,6,13,7,No data
20/03/2010,4,8.3,-10.4,13.3,-0.7,13.3,321.2,17,No data,8,12,No data,18,No data,12,No data,No data,No data,18,No data,9,No data,20,20,9,No data,No data,No data,10,8,3,No data
21/03/2010,10,13,8.4,15.5,-16.9,17.7,237.2,5,No data,10,16,No data,15,No data,15,No data,No data,No data,16,No data,13,No data,17,19,17,No data,No data,No data,7,11,6,No data
22/03/2010,10.3,18.8,14.8,23.9,23,26.5,231.8,15,No data,8,13,No data,7,No data,16,No data,No data,No data,13,No data,14,No data,13,26,14,No data,No data,No data,5,8,5,No data
23/03/2010,6.9,9.3,21.1,23.1,-8.7,23.5,203.7,15,No data,11,18,No data,12,No data,15,12,No data,No data,23,No data,20,No data,19,29,16,No data,No data,No data,8,16,8,No data
24/03/2010,3.3,2.4,14.1,14.3,22.4,18.2,189.7,24,No data,19,21,No data,13,No data,25,9,No data,No data,22,No data,36,No data,23,39,30,No data,No data,No data,19,25,15,No data
25/03/2010,-0.3,-10.6,11.3,15.5,17.9,17.9,136.9,23,No data,15,19,No data,26,No data,19,10,No data,No data,37,No data,20,No data,28,30,24,No data,No data,No data,30,13,8,No data
26/03/2010,0.8,2.3,7,7.4,49,25.6,198.5,20,No data,6,11,10,9,No data,14,18,No data,No data,22,No data,10,No data,12,24,11,No data,No data,No data,4,7,7,No data
27/03/2010,7.2,14.8,-11.7,18.8,35.1,25.7,308.2,27,No data,8,10,10,6,No data,15,19,No data,No data,11,No data,11,No data,15,19,12,No data,No data,No data,5,9,7,No data
28/03/2010,7.7,6.1,-12.4,13.8,31.5,20.9,333.7,20,No data,6,10,11,6,No data,13,9,No data,No data,11,No data,10,No data,10,21,12,No data,No data,No data,No data,9,4,No data
29/03/2010,1.5,-8.7,8.3,12,26,17.7,133.5,20,No data,13,17,15,9,No data,15,14,No data,No data,20,No data,17,No data,23,26,16,No data,No data,No data,6,10,7,No data
30/03/2010,1.5,-10.5,-10.5,14.9,72.4,39.1,44.9,20,No data,7,16,9,11,No data,10,10,No data,No data,16,No data,10,No data,21,23,12,No data,No data,No data,17,7,4,No data
31/03/2010,3.6,6,-27.8,28.5,60.5,41.5,347.8,20,No data,4,7,5,7,No data,10,14,No data,No data,12,No data,6,No data,9,18,7,No data,No data,No data,No data,5,2,No data
01/04/2010,4.3,15.9,-5,16.7,12.2,17.8,287.4,16,No data,4,9,9,8,No data,12,10,No data,No data,10,No data,9,No data,11,25,9,No data,No data,No data,No data,6,5,No data
02/04/2010,4.9,-2.3,10,10.2,46.1,25.2,166.7,20,No data,5,12,7,12,No data,9,5,No data,No data,28,No data,9,No data,19,16,9,No data,No data,No data,12,5,3,No data
03/04/2010,8.3,-2.5,-3.3,4.1,46.4,23.6,38,20,No data,6,9,9,12,No data,9,6,No data,No data,23,No data,9,No data,17,14,9,No data,No data,No data,8,7,3,No data
04/04/2010,10,10.1,-1.2,10.2,-6.8,10.7,276.9,16,No data,6,8,9,7,No data,9,11,No data,No data,12,No data,10,No data,11,12,11,No data,No data,No data,5,6,2,No data
05/04/2010,8,21.8,31.6,38.4,12.6,38.9,214.5,15,No data,4,6,7,6,No data,8,8,No data,No data,12,No data,9,No data,9,15,10,No data,No data,No data,3,6,4,No data
06/04/2010,8.7,12.1,16.1,20.1,22,22.9,216.9,25,No data,9,11,14,9,No data,15,9,No data,No data,15,No data,15,No data,13,19,13,No data,No data,No data,5,10,5,No data
07/04/2010,17.5,9.6,-2.1,9.9,-7.3,10.5,282.5,16,No data,11,13,25,12,No data,9,7,No data,No data,15,No data,22,No data,14,20,20,No data,No data,No data,6,18,3,No data
08/04/2010,23,12.4,-2.9,12.7,-30.3,19.8,283,0,No data,11,18,19,10,No data,15,No data,No data,No data,12,No data,19,No data,15,17,17,No data,No data,No data,6,13,6,No data
09/04/2010,25,3.9,9.4,10.2,-41.4,23.1,202.9,0,No data,23,21,28,17,No data,14,6,No data,No data,24,No data,26,No data,20,32,24,No data,No data,No data,11,17,14,No data
10/04/2010,25.9,0.6,9.4,9.4,-41.7,22.9,183.4,0,No data,24,30,20,20,No data,24,11,No data,No data,23,No data,21,No data,30,20,19,No data,No data,No data,20,18,26,No data
11/04/2010,27.2,-3.4,2.8,4.5,-34.1,17.6,129.3,0,No data,7,22,10,26,No data,10,14,No data,No data,30,No data,11,No data,17,10,11,No data,No data,No data,15,11,13,No data
12/04/2010,27.5,-5.8,-5,7.6,-24.9,14.6,49,0,No data,28,29,20,16,No data,28,28,No data,No data,29,No data,21,No data,28,19,19,No data,No data,No data,12,19,16,No data
13/04/2010,26.5,-8.6,-6,10.5,-18.7,14.1,55.4,1,No data,16,14,15,20,No data,21,14,No data,No data,25,No data,15,No data,20,12,12,No data,No data,No data,9,16,17,No data
14/04/2010,23.5,-6.5,-4,7.7,-16.5,11.3,58.9,0,No data,No data,14,21,14,No data,19,24,No data,No data,22,No data,21,No data,15,19,18,No data,No data,No data,5,19,15,No data
15/04/2010,22.6,-3.2,-7,7.7,-32.9,18.2,24.7,0,No data,22,15,22,15,No data,31,14,No data,No data,25,No data,21,No data,20,18,17,No data,No data,No data,6,25,27,No data
16/04/2010,21.1,5.5,-2.6,6.1,-46,23.8,294.8,0,No data,23,21,17,17,No data,19,14,No data,No data,24,No data,14,No data,27,15,15,No data,No data,No data,12,15,14,No data
17/04/2010,15.9,11.1,-5.4,12.4,-13.2,14,295.6,7,No data,33,31,24,16,No data,19,15,No data,No data,10,No data,25,No data,29,26,26,No data,No data,No data,12,18,23,No data
18/04/2010,16.2,-3,-6,6.6,-12.9,9.3,26.3,1,No data,27,30,29,9,No data,31,22,No data,No data,15,No data,31,No data,25,32,29,No data,No data,No data,6,34,25,No data
19/04/2010,16.6,7.9,-0.6,8,-6.5,8.6,274.1,16,No data,19,14,22,11,No data,No data,28,No data,No data,11,No data,19,No data,18,27,17,No data,No data,No data,8,29,24,No data
20/04/2010,17.4,5.8,-15.8,16.8,-10.4,17.6,339.7,18,No data,11,11,15,10,No data,No data,22,No data,No data,11,No data,15,No data,11,15,18,No data,No data,No data,4,19,7,No data
21/04/2010,17.3,1.2,-6.6,6.7,-32.4,17.5,349.2,0,No data,10,10,21,9,No data,No data,19,No data,No data,11,No data,13,No data,11,11,13,No data,No data,No data,4,12,11,No data
