Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
01/06/2010,14.3,5.9,1.7,6.1,-9.4,7.7,254.3,6,No data,54,97,136,35,No data,44,36,No data,86,71,No data,70,122,37,46,No data,24,41,35,40
02/06/2010,15.4,8.8,2.1,9,-32.8,18.7,256.3,0,No data,69,61,115,38,No data,33,24,No data,67,45,No data,47,76,30,38,No data,5,33,42,43
03/06/2010,17.5,-4.9,8.4,9.8,-30.8,18.2,149.9,0,No data,51,85,109,45,No data,41,27,No data,115,42,No data,56,119,19,45,No data,18,34,51,41
04/06/2010,18.2,-0.9,8.8,8.9,-9.4,10,173.9,4,No data,44,104,136,37,No data,47,28,No data,102,60,No data,49,143,22,48,No data,15,36,39,36
05/06/2010,17.9,1.8,-0.7,1.9,-1.7,2.1,292.9,-1,No data,44,62,132,28,No data,44,22,No data,87,70,No data,37,182,30,54,No data,14,33,20,40
06/06/2010,14.4,0,-6,6,-2.7,6.1,0.5,-1,No data,25,41,55,22,No data,25,11,No data,100,37,No data,34,112,33,36,No data,18,14,11,29
07/06/2010,9.7,-3.8,7.8,8.6,6.5,9.2,154.3,13,No data,30,71,53,44,No data,37,14,No data,108,34,No data,43,148,41,35,No data,30,16,27,36
08/06/2010,9,-9,-0.1,9,32.1,18.4,89.4,20,No data,44,80,57,48,No data,37,32,No data,124,42,No data,48,134,28,21,No data,30,17,28,35
09/06/2010,13.2,-14.8,-4,15.3,13.5,16.7,75,12,No data,56,55,99,37,No data,33,24,No data,116,48,No data,36,117,23,33,No data,17,25,40,35
10/06/2010,12.8,-10.2,-9,13.6,-16.8,16,48.7,1,No data,47,26,79,51,No data,27,14,No data,119,38,No data,No data,33,13,24,No data,13,31,20,36
11/06/2010,11.2,5.4,-12.6,13.7,0.2,13.7,336.6,17,No data,43,42,113,31,No data,29,11,No data,61,36,No data,No data,47,40,32,No data,10,39,11,36
12/06/2010,13.9,4.8,-10,11.2,-27.8,17.8,334.2,0,No data,25,30,84,17,No data,21,6,No data,54,27,No data,24,39,16,24,No data,20,22,6,28
