Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
01/06/2010,14.3,5.9,1.7,6.1,-9.4,7.7,254.3,6,No data,18,27,No data,19,No data,18,19,No data,No data,20,No data,28,No data,30,No data,25,No data,No data,No data,No data,19,10,No data
02/06/2010,15.4,8.8,2.1,9,-32.8,18.7,256.3,0,No data,30,25,No data,14,No data,20,21,No data,No data,15,No data,22,No data,No data,No data,21,No data,No data,No data,No data,22,12,No data
03/06/2010,17.5,-4.9,8.4,9.8,-30.8,18.2,149.9,0,No data,21,20,No data,15,No data,23,14,No data,No data,23,No data,16,No data,No data,No data,15,No data,No data,No data,10,15,17,No data
04/06/2010,18.2,-0.9,8.8,8.9,-9.4,10,173.9,4,No data,15,26,No data,20,No data,23,18,No data,No data,29,No data,25,No data,No data,No data,23,No data,No data,No data,13,18,20,No data
05/06/2010,17.9,1.8,-0.7,1.9,-1.7,2.1,292.9,-1,No data,23,34,No data,25,No data,34,25,No data,No data,30,No data,42,No data,No data,No data,36,No data,No data,No data,19,27,16,No data
06/06/2010,14.4,0,-6,6,-2.7,6.1,0.5,-1,No data,17,22,No data,16,No data,15,13,No data,No data,29,No data,38,No data,31,No data,42,No data,No data,No data,26,18,7,No data
07/06/2010,9.7,-3.8,7.8,8.6,6.5,9.2,154.3,13,No data,7,15,No data,17,No data,14,10,No data,No data,25,No data,10,No data,20,No data,14,No data,No data,No data,13,7,5,No data
08/06/2010,9,-9,-0.1,9,32.1,18.4,89.4,20,No data,11,17,No data,20,No data,15,15,No data,No data,28,No data,12,No data,17,No data,12,No data,No data,No data,12,8,7,No data
09/06/2010,13.2,-14.8,-4,15.3,13.5,16.7,75,12,No data,25,21,No data,12,No data,17,24,No data,No data,24,No data,15,No data,31,No data,16,No data,No data,No data,9,10,10,No data
10/06/2010,12.8,-10.2,-9,13.6,-16.8,16,48.7,1,No data,18,13,No data,15,No data,21,13,No data,No data,22,No data,22,No data,22,No data,21,No data,No data,No data,8,22,13,No data
11/06/2010,11.2,5.4,-12.6,13.7,0.2,13.7,336.6,17,No data,14,14,No data,11,No data,16,11,No data,No data,12,No data,19,No data,17,No data,17,No data,No data,No data,5,16,8,No data
12/06/2010,13.9,4.8,-10,11.2,-27.8,17.8,334.2,0,No data,10,11,No data,8,No data,13,7,No data,No data,10,No data,14,No data,No data,No data,14,No data,No data,No data,5,11,5,No data
13/06/2010,17.2,4.3,-3.7,5.7,19.3,11.2,311,20,No data,10,13,No data,8,No data,15,10,No data,No data,15,No data,14,No data,19,No data,17,No data,No data,No data,6,9,6,No data
14/06/2010,21.7,-4.8,-8,9.3,-16.4,12.4,31,1,No data,14,13,No data,No data,No data,15,9,No data,No data,20,No data,21,No data,16,No data,15,No data,No data,No data,4,15,7,No data
15/06/2010,24.8,1.4,-1.7,2.2,-32.6,16.4,319.7,0,No data,12,12,No data,No data,No data,15,9,No data,No data,14,No data,9,No data,16,No data,10,No data,No data,No data,4,8,10,No data
16/06/2010,22.2,1.8,-2,2.7,-28.7,14.6,318,0,No data,11,16,No data,No data,No data,13,10,No data,No data,12,No data,10,No data,No data,No data,11,No data,No data,No data,5,9,15,No data
17/06/2010,21.4,-0.4,-5.6,5.6,-21.5,12.2,4.6,0,No data,11,17,No data,No data,No data,13,9,No data,No data,11,No data,11,No data,No data,No data,11,No data,No data,No data,7,11,15,No data
18/06/2010,20.8,-2.1,-10.7,10.9,-22.9,15.8,11.1,0,No data,22,17,16,13,No data,20,12,No data,No data,24,No data,13,No data,24,No data,11,No data,No data,No data,4,12,12,No data
19/06/2010,18.3,-2.8,-14.2,14.5,-22.7,18.4,11.2,8,No data,9,9,12,8,No data,14,6,No data,No data,No data,No data,8,No data,11,No data,10,No data,No data,No data,3,7,15,No data
20/06/2010,19,3.9,-7,8,-22.9,14,330.7,0,No data,11,10,14,8,No data,15,7,No data,No data,No data,No data,12,No data,No data,No data,17,No data,No data,No data,5,9,7,No data
21/06/2010,19.8,3,1.2,3.2,-21.4,11.2,247.9,0,No data,16,14,21,10,No data,16,10,No data,No data,No data,No data,17,No data,No data,No data,17,No data,No data,No data,6,12,8,No data
22/06/2010,18.7,5.8,5.6,8,-14,10.6,225.7,5,No data,15,20,17,14,No data,19,11,No data,No data,No data,No data,16,No data,No data,No data,18,No data,No data,No data,6,12,12,No data
23/06/2010,17.3,10.2,6.9,12.3,-3.1,12.4,236,15,No data,18,21,17,12,No data,19,13,No data,No data,No data,No data,16,No data,No data,No data,17,No data,No data,No data,7,12,14,No data
24/06/2010,15.1,9.6,-2.1,9.8,-15.6,12.5,282.3,6,No data,13,15,14,10,No data,19,10,No data,No data,11,No data,12,No data,No data,No data,16,No data,No data,No data,4,12,8,No data
25/06/2010,14.6,1.5,2.7,3.1,-15.6,8.4,210.3,0,No data,17,18,24,12,No data,13,10,No data,No data,19,No data,18,No data,No data,No data,18,No data,No data,No data,No data,12,9,No data
26/06/2010,14.3,-0.2,10,10,-10.5,11.3,178.9,4,No data,24,21,33,18,No data,22,17,No data,No data,25,No data,27,No data,No data,No data,25,No data,No data,No data,No data,26,12,No data
27/06/2010,16.2,7.6,10.2,12.7,11.7,14,216.7,15,No data,20,20,23,11,No data,20,17,No data,No data,17,No data,24,No data,No data,No data,22,No data,No data,No data,No data,16,12,No data
