Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
01/01/2010,10.9,-2.8,-15.6,15.9,13.2,17.2,10.3,18,No data,41,59,No data,19,No data,30,20,No data,106,No data,No data,42,68,32,No data,No data,14,33,36,59
02/01/2010,22.1,-6.2,-7.2,9.5,16.8,12.6,40.6,21,No data,52,79,No data,38,No data,49,24,No data,82,No data,No data,46,110,37,No data,No data,20,24,66,80
03/01/2010,21.5,-9.2,-0.5,9.2,-21.9,14.3,86.8,0,No data,42,61,No data,25,No data,22,26,No data,88,No data,No data,48,45,31,No data,No data,21,33,42,64
04/01/2010,16.7,4.9,-11.6,12.6,-10.8,13.7,337,17,No data,82,133,No data,38,No data,49,29,No data,127,No data,No data,56,116,71,No data,No data,23,44,69,77
05/01/2010,14,-8.3,-15.5,17.6,34.2,24.5,28.2,21,No data,74,56,No data,63,No data,55,32,No data,136,No data,No data,57,153,67,No data,No data,36,54,61,84
06/01/2010,13.4,-10.7,-14.6,18.1,6.1,18.4,36.2,11,No data,51,53,No data,56,No data,24,25,No data,118,No data,No data,54,68,41,48,No data,24,20,No data,60
07/01/2010,17.4,-2.5,-6,6.5,15.5,10.1,22.1,20,No data,86,157,No data,68,No data,33,27,No data,148,No data,No data,71,76,48,45,No data,47,40,No data,59
08/01/2010,24.4,-4.3,-4,5.9,-22.6,12.7,47.1,0,No data,85,108,No data,67,No data,36,36,No data,144,57,No data,67,62,51,48,No data,48,43,55,80
09/01/2010,26.2,-10.4,-1,10.4,-35.2,20.5,84.7,0,No data,38,45,No data,58,No data,27,19,No data,139,36,No data,55,35,21,16,No data,28,19,26,77
10/01/2010,25.3,-18.9,-2.3,19,-17.9,21.1,82.9,12,No data,25,43,No data,32,No data,17,14,No data,97,34,No data,37,39,8,23,No data,13,24,28,32
11/01/2010,19.8,-12.3,10,15.9,-9,16.5,129.1,13,No data,58,100,No data,46,No data,43,51,No data,99,76,No data,70,84,29,67,No data,30,41,51,96
12/01/2010,6,-17.9,33.7,38.1,21.4,39.6,152,13,No data,58,82,No data,19,No data,45,38,No data,76,74,No data,73,105,32,48,No data,26,40,36,63
13/01/2010,3.1,-5.5,16.4,17.3,18.5,19.6,161.3,24,No data,65,87,No data,30,No data,45,47,No data,85,92,No data,73,103,46,58,No data,46,37,57,72
14/01/2010,2.9,1.4,11.3,11.3,0.5,11.4,186.8,14,No data,99,119,No data,37,No data,56,57,No data,111,84,No data,96,76,58,76,No data,48,65,74,88
15/01/2010,5.4,11.9,31.5,33.7,1.1,33.7,200.7,14,No data,67,109,86,20,No data,60,41,No data,86,85,No data,94,145,53,42,No data,43,38,58,65
16/01/2010,0.8,13.1,20.6,24.4,25.3,27.5,212.4,25,No data,50,62,75,19,No data,45,19,No data,64,69,No data,74,109,31,22,No data,25,18,47,64
17/01/2010,9.3,18,8.1,19.8,-11.7,20.6,245.7,15,No data,52,82,62,15,No data,54,31,No data,54,51,No data,55,120,43,56,No data,16,20,47,98
18/01/2010,16.6,11.1,0.8,11.1,-19.9,14.9,266,6,No data,78,96,92,40,No data,63,41,No data,83,80,No data,69,170,68,80,No data,28,No data,50,104
19/01/2010,13.1,-6,26.8,27.4,-26.1,30.4,167.3,14,No data,69,87,123,35,No data,37,35,No data,95,96,No data,70,131,35,60,No data,41,31,38,78
20/01/2010,12.9,-4.7,12.3,13.1,2.6,13.2,159,14,No data,61,76,92,22,No data,38,35,No data,No data,56,No data,65,82,34,44,No data,27,46,59,62
21/01/2010,10.5,1.8,38.5,38.5,5,38.6,182.6,14,No data,68,91,99,22,No data,49,42,No data,No data,76,No data,73,114,59,59,No data,38,42,62,84
22/01/2010,17.7,5.8,5.6,8,17.4,11.9,226.2,20,No data,62,81,87,39,No data,53,48,No data,No data,81,No data,82,130,45,25,No data,41,18,38,73
23/01/2010,22.5,-4.1,-5.4,6.8,-7.6,7.8,37.2,1,No data,48,56,115,30,No data,41,23,No data,79,52,No data,58,64,54,44,No data,26,38,44,91
