Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
01/01/2010,10.9,-2.8,-15.6,15.9,13.2,17.2,10.3,18,No data,9,No data,No data,11,No data,No data,10,No data,No data,29,No data,22,No data,11,14,14,No data,14,No data,No data,15,No data,No data
02/01/2010,22.1,-6.2,-7.2,9.5,16.8,12.6,40.6,21,No data,7,No data,No data,14,No data,No data,11,No data,No data,20,No data,14,No data,11,21,15,No data,20,No data,4,12,No data,No data
03/01/2010,21.5,-9.2,-0.5,9.2,-21.9,14.3,86.8,0,No data,11,No data,No data,18,No data,No data,14,No data,No data,27,No data,19,No data,16,14,19,No data,14,No data,7,20,No data,No data
04/01/2010,16.7,4.9,-11.6,12.6,-10.8,13.7,337,17,No data,24,No data,No data,36,No data,No data,12,No data,No data,39,No data,30,No data,17,37,29,No data,30,No data,6,32,No data,No data
05/01/2010,14,-8.3,-15.5,17.6,34.2,24.5,28.2,21,No data,18,No data,No data,20,No data,No data,14,No data,No data,29,No data,29,No data,14,38,24,No data,23,No data,5,21,11,No data
06/01/2010,13.4,-10.7,-14.6,18.1,6.1,18.4,36.2,11,No data,10,No data,No data,17,No data,No data,9,No data,No data,24,No data,18,No data,10,16,22,No data,16,No data,2,8,4,No data
07/01/2010,17.4,-2.5,-6,6.5,15.5,10.1,22.1,20,No data,18,No data,No data,52,No data,No data,9,No data,No data,43,No data,15,No data,12,16,17,No data,13,No data,8,18,8,No data
08/01/2010,24.4,-4.3,-4,5.9,-22.6,12.7,47.1,0,No data,17,No data,No data,62,No data,No data,12,No data,No data,54,No data,22,No data,14,18,21,No data,19,No data,11,22,6,No data
09/01/2010,26.2,-10.4,-1,10.4,-35.2,20.5,84.7,0,No data,10,No data,13,49,No data,No data,11,No data,No data,56,No data,12,No data,15,9,13,No data,11,No data,10,10,6,No data
10/01/2010,25.3,-18.9,-2.3,19,-17.9,21.1,82.9,12,No data,5,No data,11,10,No data,No data,8,No data,No data,24,No data,11,No data,11,9,10,No data,9,No data,6,13,5,No data
